task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
d_exp_CH4,1,1,110,330,440,0.8371875257219545,114,29,0.4576013466866514,0.734228449490464
d_exp_CH4,1,2,17,51,68,0.6930215627000496,114,29,0.5803910673301457,0.7456241815747346
d_exp_CH4,1,3,37,111,148,0.795235373849124,114,29,0.7349882981351965,0.5666189834881772
d_exp_CH4,1,4,73,219,292,0.8338525415097241,115,28,0.034945271271564216,1.0332340480008262
d_exp_CH4,1,5,20,60,80,0.8397999290968478,115,28,0.8563421869932303,0.3877636182864942
d_exp_CH4,2,1,133,399,532,0.8581142299127203,114,29,0.4707095881647383,0.8244916477299512
d_exp_CH4,2,2,8,24,50,0.5760798907014334,114,29,0.5758245490470584,0.7068569490346643
d_exp_CH4,2,3,125,375,500,0.7886855402246274,114,29,0.46297584272917813,0.757746601778624
d_exp_CH4,2,4,106,318,424,0.5934779357446186,115,28,0.8093944543514127,0.5339512301546564
d_exp_CH4,2,5,84,252,336,0.7376850599337539,115,28,0.6251456305135084,0.44394194724288794
d_exp_CH4,3,1,41,123,164,0.675690849245999,114,29,0.3004284864110167,0.7789637008620898
d_exp_CH4,3,2,35,105,140,0.7620784361952909,114,29,0.8032058874906168,0.5503825409551546
d_exp_CH4,3,3,50,150,200,0.7369250080873285,114,29,0.7111536005332085,0.562684379812317
d_exp_CH4,3,4,16,48,64,0.7361535183039598,115,28,0.6790631643669218,0.5187120309651503
d_exp_CH4,3,5,170,510,680,0.7553084509896819,115,28,0.7630611173819913,0.5787587846421759
d_exp_CO2,1,1,11,33,50,0.7765278498205588,118,30,0.27286364398942664,0.5713197415300021
d_exp_CO2,1,2,126,378,504,0.712528925557204,118,30,0.6823503241239419,0.5643441603447212
d_exp_CO2,1,3,61,183,244,0.3329952298608302,118,30,0.6100964079430067,0.5259919533226367
d_exp_CO2,1,4,113,339,452,0.6823541063571559,119,29,0.5279173853971793,0.8202165229175311
d_exp_CO2,1,5,19,57,76,0.6402303461341545,119,29,0.6249850548508286,0.5604838427720021
d_exp_CO2,2,1,77,231,308,0.7533529409002226,118,30,0.6052243434076068,0.5941996664888933
d_exp_CO2,2,2,78,234,312,0.5697995235146879,118,30,0.5464676540754932,0.5577433269061013
d_exp_CO2,2,3,14,42,56,0.5884850918563889,118,30,0.4108471190167896,0.5455967083953516
d_exp_CO2,2,4,9,27,50,0.5272451060455441,119,29,0.4095387656589412,0.9415536351125005
