task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
d_exp_CH4,1,1,72,216,288,0.8013668933604617,114,29,0.3881848605652184,0.7797978199942784
d_exp_CH4,1,2,10,30,50,0.5291618882908138,114,29,0.5240574989402973,0.7940993967374341
d_exp_CH4,1,3,23,69,92,0.6672880385853184,114,29,0.7313843147553745,0.5704587940400139
d_exp_CH4,1,4,15,45,60,0.827049757048818,115,28,0.5089885261639466,0.7370018156840632
d_exp_CH4,1,5,91,273,364,0.9104246727142238,115,28,0.8791797921610489,0.35560857362372245
d_exp_CH4,2,1,40,120,160,0.8463164664014821,114,29,0.61082804419284,0.7069847005869863
d_exp_CH4,2,2,79,237,316,0.7809224081406122,114,29,0.6056994664201578,0.6815103395553375
d_exp_CH4,2,3,32,96,128,0.6062187081308779,114,29,0.6765498594095813,0.5880723475198697
d_exp_CH4,2,4,44,132,176,0.5735189500984459,115,28,0.8101004092567282,0.53296150248311
d_exp_CH4,2,5,21,63,84,0.7404625207944922,115,28,0.6272531226039014,0.4426922314092924
d_exp_CH4,3,1,8,24,50,0.834878729607468,114,29,0.5064970934342744,0.6542534469042574
d_exp_CH4,3,2,43,129,172,0.8171629662879462,114,29,0.8823645194404887,0.42552762909010333
d_exp_CH4,3,3,18,54,72,0.6625177548237569,114,29,0.5908529003881307,0.6696858435682252
d_exp_CH4,3,4,71,213,284,0.7546093710939015,115,28,0.6132994049248591,0.5693822944497762
d_exp_CH4,3,5,31,93,124,0.7739263412245687,115,28,0.7100397735889303,0.6402486082082172
d_exp_CO2,1,1,94,282,376,0.7524851173573841,118,30,0.003976313169545054,0.6686612173659494
d_exp_CO2,1,2,27,81,108,0.6845652949295359,118,30,0.5763509146388032,0.6517378802596273
d_exp_CO2,1,3,10,30,50,0.2536838930714075,118,30,0.7531877738737215,0.41848877814481833
d_exp_CO2,1,4,40,120,160,0.8095713581432504,119,29,0.4990322012432338,0.844937170096709
d_exp_CO2,1,5,13,39,52,0.7831589169873178,119,29,0.5303611315349213,0.6272213404342016
d_exp_CO2,2,1,5,15,50,0.6206634919399958,118,30,0.7210432762113654,0.49948866639567613
d_exp_CO2,2,2,10,30,50,0.6219762429281733,118,30,0.559940548662948,0.549396547830265
d_exp_CO2,2,3,31,93,124,0.42500725144631624,118,30,0.6565817487627952,0.41655219265004634
d_exp_CO2,2,4,6,18,50,0.43920165583240134,119,29,0.48107588561429604,0.8826759543235181
d_exp_CO2,2,5,144,432,576,0.8258088059440841,119,29,0.5337706537639607,0.5707392255433634
d_exp_CO2,3,1,10,30,50,0.6607862996248923,118,30,0.42784680206791714,0.5375625927935028
d_exp_CO2,3,2,9,27,50,0.7244678384057844,118,30,0.454778710722061,0.9798309589296088
d_exp_CO2,3,3,38,114,152,0.5273432989097183,118,30,0.4328207270022446,0.5484734346881984
d_exp_CO2,3,4,5,15,50,0.4948041305672167,119,29,0.3762544895516726,0.7094537870606148
d_exp_CO2,3,5,17,51,68,0.6864881272204373,119,29,0.7382094317820562,0.4681771147023913
d_exp_H2,1,1,64,64,128,-0.5550324426872331,40,11,0.5423936398447757,0.4761576977162684
d_exp_H2,1,2,15,15,50,0.5266844694454781,41,10,0.31380088096725167,0.40105482476922777
d_exp_H2,1,3,73,73,146,0.48228599632094504,41,10,0.2907994391127082,0.6617344243693709
d_exp_H2,1,4,54,54,108,0.5244227082322126,41,10,0.5139228916277931,0.6920180164783875
d_exp_H2,1,5,46,46,92,0.7316137587233502,41,10,0.5469570709784275,0.27019346177696574
d_exp_H2,2,1,11,11,50,0.6259233794263697,40,11,0.6224025486678036,0.4976677632489215
d_exp_H2,2,2,26,26,52,0.6938613533627342,41,10,0.5084580311598877,0.3739082682183444
