task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
d_exp_CH4,1,1,8,24,50,0.8349627562147522,114,29,0.5933282129545036,0.6357610673061492
d_exp_CH4,1,2,4,12,50,0.6763123139208104,114,29,0.7726178238079172,0.5488780092750727
d_exp_CH4,1,3,12,36,50,0.8487581534227316,114,29,0.7871440633274691,0.5078102687837235
d_exp_CH4,1,4,9,27,50,0.8283922255385916,115,28,0.3825345009015301,0.82647379056859
d_exp_CH4,1,5,111,333,444,0.9223387195181054,115,28,0.8844605910371128,0.3477502930940314
d_exp_CH4,2,1,73,219,292,0.8159523955058856,114,29,0.6746078913011753,0.6464616335552449
d_exp_CH4,2,2,133,399,532,0.7312555485878556,114,29,0.6886807872598023,0.6055663418421727
d_exp_CH4,2,3,6,18,50,0.7560147812223422,114,29,0.8016578156229509,0.46050529926017325
d_exp_CH4,2,4,55,165,220,0.5836716272863791,115,28,0.8443037967132517,0.4825839084065481
d_exp_CH4,2,5,17,51,68,0.7739609482704537,115,28,0.39530978367645997,0.5638471178194897
d_exp_CH4,3,1,54,162,216,0.7904822595185077,114,29,0.3472273746090476,0.7524577658373144
d_exp_CH4,3,2,121,363,484,0.8256496921199549,114,29,0.9020977785194548,0.388199410326203
d_exp_CH4,3,3,1,3,50,0.7029131232197985,114,29,0.6549790469623438,0.6149702621885719
d_exp_CH4,3,4,4,12,50,0.627642082359917,115,28,0.6844025526959172,0.5143790581105333
d_exp_CH4,3,5,40,120,160,0.6475191009445522,115,28,0.8258328060869138,0.49620667868324914
d_exp_CO2,1,1,51,153,204,0.763201115855016,118,30,0.31173113649982254,0.5558407244924526
d_exp_CO2,1,2,6,18,50,0.6993974503587288,118,30,0.7007807085886668,0.5477275958188665
d_exp_CO2,1,3,95,285,380,0.4497411649008156,118,30,0.7710298075640529,0.4030787998354525
d_exp_CO2,1,4,57,171,228,0.615944104744435,119,29,0.6487342105821899,0.707517909512558
d_exp_CO2,1,5,47,141,188,0.7902316590548427,119,29,0.566270232171302,0.6027655522510869
d_exp_CO2,2,1,3,9,50,0.6660887052859521,118,30,0.7565354384196368,0.46663262418926565
d_exp_CO2,2,2,58,174,232,0.7574036612437854,118,30,0.6897585937128108,0.4612964685374415
d_exp_CO2,2,3,4,12,50,0.6186138356758772,118,30,0.25355217644779493,0.6141259751066277
d_exp_CO2,2,4,45,135,180,0.6164396989266132,119,29,0.7645123169512176,0.5946117236859808
d_exp_CO2,2,5,9,27,50,0.8358101666485871,119,29,0.6178515059187101,0.5167184809114033
d_exp_CO2,3,1,3,9,50,0.6943115934376907,118,30,0.32160009017454283,0.585350193017025
d_exp_CO2,3,2,17,51,68,0.7788966876258997,118,30,0.7017114659037751,0.7247413399623783
d_exp_CO2,3,3,5,15,50,0.4643048307988832,118,30,0.6616828730340775,0.4236014261587519
d_exp_CO2,3,4,3,9,50,0.5002845046461303,119,29,0.5871268147763751,0.5772032049126975
d_exp_CO2,3,5,65,195,260,0.5188549502876351,119,29,0.7516940051251972,0.45596004242451416
d_exp_H2,1,1,15,15,50,-0.24607669750861794,40,11,0.6119804984664774,0.4384615960289363
d_exp_H2,1,2,9,9,50,0.6985159642918035,41,10,0.01622262603176794,0.4802054472977735
d_exp_H2,1,3,16,16,50,0.3830670272314982,41,10,0.6099211782674132,0.4907670297917569
d_exp_H2,1,4,1,1,50,0.7352206574444875,41,10,0.47191692153723563,0.7213000175527194
d_exp_H2,1,5,1,1,50,0.6967450078488331,41,10,0.3775998232297819,0.31669412808444614
d_exp_H2,2,1,2,2,50,0.833813885468841,40,11,0.6860678142709726,0.45377744418413085
d_exp_H2,2,2,5,5,50,0.8674657538049028,41,10,0.5011538663534976,0.37667610564734455
d_exp_H2,2,3,1,1,50,0.6014664802953342,41,10,0.6098188913966116,0.5481571100955352
d_exp_H2,2,4,1,1,50,0.8224163791316946,41,10,0.5229005946784152,0.4529591907381916
d_exp_H2,2,5,9,9,50,0.6894825206081441,41,10,0.7149174712171438,0.3326264019277162
d_exp_H2,3,1,16,16,50,0.5800779076426268,40,11,0.5129354100528707,0.4813552315975171
d_exp_H2,3,2,1,1,50,0.7981813650616887,41,10,0.7168132173312656,0.3319658013116087
d_exp_H2,3,3,4,4,50,0.9186224276879407,41,10,0.5810940822868398,0.41124779372760717
d_exp_H2,3,4,3,3,50,0.9338678757056383,41,10,0.5345241832985335,0.6613291039802734
d_exp_H2,3,5,3,3,50,0.33320172387996194,41,10,0.22229418689071356,0.44551484313455575
d_exp_He,1,1,1,1,50,0.2740786151392267,40,11,-0.4035238823349856,0.43550310443756185
d_exp_He,1,2,2,2,50,0.5721824564894457,41,10,0.4889639613521054,0.28291833103332803
d_exp_He,1,3,43,43,86,0.348512582191012,41,10,-0.48676435512996274,0.4352901853306707
d_exp_He,1,4,3,3,50,0.44330177999010123,41,10,0.1639391674109013,0.9246471013620744
d_exp_He,1,5,2,2,50,0.2647471331642095,41,10,0.588877096122947,0.45636462690887464
d_exp_He,2,1,15,15,50,0.6514202885703906,40,11,0.25442630104013464,0.7653756711963504
d_exp_He,2,2,11,11,50,0.5644481229297991,41,10,0.5506195796867865,0.30592567357422407
d_exp_He,2,3,1,1,50,-0.2194844572480772,41,10,0.2970828764540495,0.36412621226221425
d_exp_He,2,4,10,10,50,0.22041251655395833,41,10,-0.5054486757694681,0.48437146777732026
d_exp_He,2,5,37,37,74,0.48536742159314517,41,10,0.25539944562569306,0.6260939468150657
d_exp_He,3,1,1,1,50,0.5695452499644145,40,11,0.41751033743400545,0.260941186153483
d_exp_He,3,2,35,35,70,0.47763351176568847,41,10,0.23787831067728793,0.4994783503576353
d_exp_He,3,3,3,3,50,0.6855199518489632,41,10,-0.3381445877266891,0.3552263171934367
d_exp_He,3,4,21,21,50,0.8057006559795767,41,10,0.1816707366420699,0.9407861839450383
d_exp_He,3,5,2,2,50,0.6906542313489992,41,10,0.27301371519859163,0.31122403152608097
d_exp_N2,1,1,11,33,50,0.6102195618587198,120,31,0.4653749307905435,0.881647871886836
d_exp_N2,1,2,5,15,50,0.5477555647924832,121,30,0.8236664897745076,0.4482896179342062
d_exp_N2,1,3,70,210,280,0.5395376522214326,121,30,0.5779058689680078,0.7369169560410659
d_exp_N2,1,4,2,6,50,0.7217982677271169,121,30,0.8414002204762931,0.3676892793126301
d_exp_N2,1,5,59,177,236,0.7500427051889387,121,30,0.7318708709221697,0.48379325130941414
d_exp_N2,2,1,48,144,192,0.8907749494411139,120,31,0.7867837686401113,0.41613908744455913
d_exp_N2,2,2,5,15,50,0.7343748751000648,121,30,0.7367146896012886,0.47736674962841075
d_exp_N2,2,3,52,156,208,0.7549857062563486,121,30,0.7210746963444556,0.5766804113274518
d_exp_N2,2,4,10,30,50,0.6881803702150378,121,30,0.7335819486005073,0.47118606166762317
d_exp_N2,2,5,9,27,50,0.8646934463562517,121,30,0.5575500378195197,0.9005790148989979
d_exp_N2,3,1,2,6,50,0.8002052073067029,120,31,0.6705932683912212,0.6054033688186271
d_exp_N2,3,2,52,156,208,0.49259668445008786,121,30,0.8211227156850442,0.531826483528456
d_exp_N2,3,3,58,174,232,0.8551425517306698,121,30,0.5167153166670115,0.8556617294676813
d_exp_N2,3,4,23,69,92,0.49225797402655047,121,30,0.5204518270442143,0.5679268567862561
d_exp_N2,3,5,7,21,50,0.3262353416484217,121,30,0.7448063076365696,0.4406015029546501
d_exp_O2,1,1,11,33,50,0.8018117228463556,120,30,0.6768769223488389,0.5836709917948546
d_exp_O2,1,2,3,9,50,0.7494758694900328,120,30,0.7487762860959185,0.48149223818275244
d_exp_O2,1,3,8,24,50,0.8193895062342951,120,30,0.795140805803431,0.36430501324185716
d_exp_O2,1,4,95,285,380,0.8581628613455947,120,30,0.6474438179153212,0.4431162973577489
d_exp_O2,1,5,118,354,472,0.8157528687114932,120,30,0.8884899068429559,0.2751444841612949
d_exp_O2,2,1,6,18,50,0.7344129954336079,120,30,0.7554222151499986,0.5177853760773218
d_exp_O2,2,2,5,15,50,0.8086905093384436,120,30,0.7611196314156219,0.425674699906225
d_exp_O2,2,3,19,57,76,0.5125205029722396,120,30,0.7442051096497647,0.39478769561061683
d_exp_O2,2,4,13,39,52,0.8032919027236128,120,30,0.7624187703338363,0.4107222549573284
d_exp_O2,2,5,23,69,92,0.8620557730573221,120,30,0.7737004526470301,0.3854715893681564
d_exp_O2,3,1,31,93,124,0.7553178553632085,120,30,0.7955593559546816,0.32656294748353565
d_exp_O2,3,2,4,12,50,0.6717987702961183,120,30,0.7767571992002775,0.5457751802912445
d_exp_O2,3,3,42,126,168,0.812609428893027,120,30,0.7777975425716619,0.3601897304540796
d_exp_O2,3,4,15,45,60,0.8041685137330538,120,30,0.6058910649247364,0.4563756102036236
d_exp_O2,3,5,57,171,228,0.8645281533602349,120,30,0.7335031389197761,0.49760217033145354
p_exp_CH4,1,1,175,2100,2625,0.8475645394097624,454,114,0.8894748663469033,0.5272351614683093
p_exp_CH4,1,2,17,204,255,0.869262587855002,454,114,0.8445581468017511,0.5898455509752211
p_exp_CH4,1,3,98,1176,1470,0.8716082246641259,455,113,0.7777899032314367,0.6800913908295113
p_exp_CH4,1,4,45,540,675,0.7951565817257557,455,113,0.8561769203822144,0.48125298302559705
p_exp_CH4,1,5,34,408,510,0.8049247187796087,454,114,0.8041494476316313,0.6299254065452493
p_exp_CH4,2,1,41,492,615,0.8324175422432061,454,114,0.8752549051116943,0.49749883698326397
p_exp_CH4,2,2,50,600,750,0.8412205631723948,454,114,0.8670616205221012,0.5617999964729617
p_exp_CH4,2,3,50,600,750,0.864102494656294,455,113,0.8220577432858367,0.5831294425728021
p_exp_CH4,2,4,58,696,870,0.8177508357302089,455,113,0.8957681798089246,0.5063092857754616
p_exp_CH4,2,5,107,1284,1605,0.9013026956985839,454,114,0.785613145747708,0.6014523467196613
p_exp_CH4,3,1,9,108,135,0.8527682384392595,453,115,0.8515234425037495,0.5696828113689499
p_exp_CH4,3,2,28,336,420,0.8290961606548202,454,114,0.8041600518229611,0.6280425176043687
p_exp_CH4,3,3,91,1092,1365,0.9103236421982315,455,113,0.8803560301402457,0.5122793985068322
p_exp_CH4,3,4,114,1368,1710,0.8336850753593921,455,113,0.7810823215730205,0.6258020192855325
p_exp_CH4,3,5,22,264,330,0.8676119075943166,455,113,0.8910541386931378,0.4940798710061327
p_exp_CO2,1,1,51,663,867,0.8393699237957097,515,129,0.8495555116785023,0.5001358552111901
p_exp_CO2,1,2,21,273,357,0.8022405878632826,514,130,0.8599634433695638,0.417923555614212
p_exp_CO2,1,3,8,104,136,0.7736919695564737,515,129,0.6749642194099243,0.685700545823951
p_exp_CO2,1,4,49,637,833,0.8352354511684902,516,128,0.8545006416709576,0.4245727685106952
p_exp_CO2,1,5,12,156,204,0.8436224147192076,516,128,0.7000193497586144,0.610898454895944
p_exp_CO2,2,1,21,273,357,0.8290175236776822,515,129,0.8097654806855042,0.541506231479944
p_exp_CO2,2,2,47,611,799,0.8312141998016122,515,129,0.8212672331426993,0.5406123884217856
p_exp_CO2,2,3,60,780,1020,0.8745277216044902,515,129,0.6689322746679562,0.5855260631395592
p_exp_CO2,2,4,18,234,306,0.8251053079475594,515,129,0.726979456368569,0.5786306279418587
