task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
d_exp_CH4,1,1,22,66,88,0.827897960963244,114,29,0.32794342644332064,0.8172874380063525
d_exp_CH4,1,2,7,21,50,0.6886365020007372,114,29,0.8355047872915022,0.46684665723623103
d_exp_CH4,1,3,22,66,88,0.8245555818690029,114,29,0.7524296689032897,0.5476560551962165
d_exp_CH4,1,4,16,48,64,0.800065807403955,115,28,0.3727692878790142,0.8329834927326606
d_exp_CH4,1,5,27,81,108,0.9034083375087817,115,28,0.8686626070699732,0.37076320655586187
d_exp_CH4,2,1,6,18,50,0.8162275109039883,114,29,0.5934023803249651,0.7226394439535592
d_exp_CH4,2,2,57,171,228,0.710274803829321,114,29,0.6084585509260341,0.6791217483600626
d_exp_CH4,2,3,3,9,50,0.6687301389745738,114,29,0.7406258570183331,0.5266116053909284
d_exp_CH4,2,4,74,222,296,0.5771839998338932,115,28,0.820764084884876,0.5177812791334906
d_exp_CH4,2,5,31,93,124,0.7375139710794387,115,28,0.33797911865318186,0.5899710997979235
d_exp_CH4,3,1,41,123,164,0.7987064447613766,114,29,0.41695939305187235,0.7111325595471556
d_exp_CH4,3,2,38,114,152,0.8126920430409795,114,29,0.815933138297585,0.5322876648725101
d_exp_CH4,3,3,1,3,50,0.6818091446249257,114,29,0.6588178207595041,0.6115395502419689
d_exp_CH4,3,4,4,12,50,0.7204370993073717,115,28,0.6945871856001187,0.5060112418711089
d_exp_CH4,3,5,174,522,696,0.7295488853301155,115,28,0.7380463053270857,0.6085435898254677
d_exp_CO2,1,1,29,87,116,0.780204707580037,118,30,0.19603664899108486,0.6007439796021784
d_exp_CO2,1,2,179,537,716,0.7128149042268193,118,30,0.7474629777968815,0.503190409097321
d_exp_CO2,1,3,30,90,120,0.5038765267906169,118,30,0.6021527142598375,0.531323080536186
d_exp_CO2,1,4,37,111,148,0.7018524824475392,119,29,0.583849262293402,0.7700959593223263
d_exp_CO2,1,5,35,105,140,0.736714551197803,119,29,0.6063438830135803,0.5742451182920824
d_exp_CO2,2,1,2,6,50,0.6551623733364675,118,30,0.7065845577788961,0.5122697424962861
d_exp_CO2,2,2,10,30,50,0.7870536229408994,118,30,0.6463786226341975,0.4924923687302319
d_exp_CO2,2,3,58,174,232,0.6122321787788448,118,30,0.35003825011506384,0.5730620358238409
d_exp_CO2,2,4,69,207,276,0.7016428787274175,119,29,0.7691132163326413,0.5887743834415887
d_exp_CO2,2,5,11,33,50,0.8135609287363191,119,29,0.5855531517227176,0.5381115814081869
d_exp_CO2,3,1,3,9,50,0.6908565892749541,118,30,0.24894837323625385,0.6158965490697141
d_exp_CO2,3,2,10,30,50,0.787472194157995,118,30,0.6629317177089946,0.7704131705263417
d_exp_CO2,3,3,8,24,50,0.4687598078211136,118,30,0.571949924012213,0.4764778438400366
d_exp_CO2,3,4,9,27,50,0.39922739940473473,119,29,0.6034460577873478,0.5656809202846065
d_exp_CO2,3,5,26,78,104,0.5786947639019114,119,29,0.6952348838034408,0.5051447116801031
d_exp_H2,1,1,4,4,50,0.13001580002114999,40,11,0.5439531207215973,0.4753456542088015
d_exp_H2,1,2,3,3,50,0.8209235103973992,41,10,0.16714864846275612,0.4418373390488859
d_exp_H2,1,3,2,2,50,0.4471207823757213,41,10,0.5761292443085763,0.5115827824932628
d_exp_H2,1,4,14,14,50,0.5916066782547014,41,10,0.5956514006678648,0.6311648264954989
d_exp_H2,1,5,13,13,50,0.6048625667224667,41,10,0.4064799105161587,0.30925937166829176
d_exp_H2,2,1,8,8,50,0.7939253645033544,40,11,0.6312979636753037,0.4917708146702296
d_exp_H2,2,2,3,3,50,0.8806405725936284,41,10,0.6894697471823992,0.29719173329766413
d_exp_H2,2,3,11,11,50,0.5935445456092729,41,10,0.6484623507460284,0.5203048265943346
d_exp_H2,2,4,5,5,50,0.699582181386372,41,10,0.5214937944966703,0.453626508721331
d_exp_H2,2,5,25,25,50,0.6717705700538261,41,10,0.6157606893399736,0.38616447091796763
d_exp_H2,3,1,13,13,50,0.7088888871356438,40,11,0.5482946646926032,0.46355367436736056
d_exp_H2,3,2,13,13,50,0.829525296107384,41,10,0.6799444394586376,0.35291453408263046
d_exp_H2,3,3,43,43,86,0.9231644150093359,41,10,0.5530944613529492,0.4247693792644107
d_exp_H2,3,4,8,8,50,0.8856975078447471,41,10,0.6304870799840662,0.5892286949179478
d_exp_H2,3,5,3,3,50,0.5536820645096578,41,10,0.2802457635888258,0.4285945262735809
d_exp_He,1,1,8,8,50,0.3427351768457163,40,11,-0.6508733261053095,0.47232205671517385
d_exp_He,1,2,13,13,50,0.5537991726869691,41,10,0.39511551889596275,0.3078020760206561
d_exp_He,1,3,3,3,50,0.41195061364435825,41,10,-1.0457767292263003,0.5106071852946399
d_exp_He,1,4,3,3,50,0.30162517466789385,41,10,0.14404635771337693,0.935582727912212
d_exp_He,1,5,4,4,50,0.09908563672128612,41,10,0.4417993244619748,0.5317669200125007
d_exp_He,2,1,15,15,50,0.7262522202396807,40,11,0.1786674302158655,0.8033205670438509
d_exp_He,2,2,10,10,50,0.6006401804037953,41,10,0.7722528132598938,0.21778870993601615
d_exp_He,2,3,55,55,110,0.10403383110929054,41,10,0.20207693523886716,0.38795414059751016
d_exp_He,2,4,1,1,50,0.35058479168729173,41,10,-0.6631317109924679,0.5091068001934484
d_exp_He,2,5,60,60,120,0.43636961969716237,41,10,0.261625594418308,0.6234708376028291
d_exp_He,3,1,1,1,50,0.5557038825697429,40,11,0.2338430650595843,0.2992660073420684
d_exp_He,3,2,63,63,126,0.5229155237603681,41,10,-0.06453175667291866,0.5903149999222234
d_exp_He,3,3,8,8,50,0.6823447439391033,41,10,0.13814030044563363,0.28508337997524646
d_exp_He,3,4,18,18,50,0.7223165247200022,41,10,0.13940146540892595,0.9647775545916387
d_exp_He,3,5,8,8,50,0.542842080910028,41,10,0.5169453989804311,0.25369279130059885
d_exp_N2,1,1,45,135,180,0.6412654318534143,120,31,0.37405854918504844,0.9539758044395902
d_exp_N2,1,2,3,9,50,0.5305338143121795,121,30,0.7589299866173654,0.5241587626556987
d_exp_N2,1,3,5,15,50,0.5165029116950013,121,30,0.5237694162692209,0.7827490225762677
d_exp_N2,1,4,3,9,50,0.6872853910476895,121,30,0.8042699678650663,0.4084683503718274
d_exp_N2,1,5,10,30,50,0.7545877440008416,121,30,0.7430070917466148,0.473640004578701
d_exp_N2,2,1,55,165,220,0.8519341757512721,120,31,0.7634553256478426,0.43831362039747684
d_exp_N2,2,2,6,18,50,0.6884805928874085,121,30,0.7317085772467189,0.48188370998031066
d_exp_N2,2,3,26,78,104,0.7774241987096954,121,30,0.727200873160309,0.5703122895800408
d_exp_N2,2,4,3,9,50,0.6744389189801019,121,30,0.6882068974030049,0.509734305586046
