task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
d_exp_CH4,1,1,10,30,50,0.8033851738933178,114,29,0.6242659767003718,0.6110998378120365
d_exp_CH4,1,2,7,21,50,0.6329681680188749,114,29,0.701619888626311,0.6287566012765331
d_exp_CH4,1,3,164,492,656,0.7828930577025914,114,29,0.7969433765898757,0.4959834385539382
d_exp_CH4,1,4,8,24,50,0.811041701156052,115,28,0.5838971261724684,0.6784581988257874
d_exp_CH4,1,5,37,111,148,0.8724725124215273,115,28,0.864182935553501,0.3770332082551591
d_exp_CH4,2,1,22,66,88,0.8562151724403494,114,29,0.4858474676961315,0.812615752229906
d_exp_CH4,2,2,13,39,52,0.6578547390818017,114,29,0.6549738113757069,0.6375067640992521
d_exp_CH4,2,3,95,285,380,0.700132100351188,114,29,0.7656183743547053,0.5005977200875943
d_exp_CH4,2,4,117,351,468,0.5611410973833411,115,28,0.8502506398041818,0.4732779956402335
d_exp_CH4,2,5,54,162,216,0.6888199678299798,115,28,0.22239238596154154,0.6394037014707152
d_exp_CH4,3,1,5,15,50,0.6754104997786818,114,29,0.6285279222816904,0.5676285739995871
d_exp_CH4,3,2,102,306,408,0.7535722203898443,114,29,0.8473731409273473,0.48470118513797683
d_exp_CH4,3,3,17,51,68,0.7228487916364205,114,29,0.658258383549776,0.6120407162939836
d_exp_CH4,3,4,136,408,544,0.7369547689574791,115,28,0.6434329683106504,0.5467479090400655
d_exp_CH4,3,5,74,222,296,0.6890843536528792,115,28,0.7355718247194861,0.6114110620717474
d_exp_CO2,1,1,48,144,192,0.6462507827780037,118,30,0.49940654169413645,0.4740387959258648
d_exp_CO2,1,2,7,21,50,0.729592708594748,118,30,0.5386083063423681,0.6801500167157289
d_exp_CO2,1,3,24,72,96,0.3001419901882356,118,30,0.8312075633218643,0.3460803756939993
d_exp_CO2,1,4,10,30,50,0.5434301154790236,119,29,0.5394761187308033,0.8101129756319646
d_exp_CO2,1,5,85,255,340,0.6256203861960253,119,29,0.49988776036651317,0.6472507338558089
d_exp_CO2,2,1,3,9,50,0.7187866551301112,118,30,0.6516974143475041,0.5581302619332035
d_exp_CO2,2,2,12,36,50,0.7378316547527233,118,30,0.6551502916550296,0.48634581285343004
d_exp_CO2,2,3,5,15,50,0.5972142605001173,118,30,0.3709605392755657,0.5637631483698934
d_exp_CO2,2,4,7,21,50,0.48177810179423153,119,29,0.6872880747450734,0.6852066845124192
d_exp_CO2,2,5,27,81,108,0.7504097068688896,119,29,0.4028241275050176,0.6459353382836607
d_exp_CO2,3,1,68,204,272,0.7348852374213786,118,30,-0.04040135337834472,0.7248920375875988
d_exp_CO2,3,2,28,84,112,0.7452648890513536,118,30,0.6638473033647154,0.7693661142683194
d_exp_CO2,3,3,7,21,50,0.5253758523965737,118,30,0.5916637355922658,0.46537644451062227
d_exp_CO2,3,4,25,75,100,0.5505862266707807,119,29,0.42995513949551656,0.6782267458703086
d_exp_CO2,3,5,43,129,172,0.2713186159704446,119,29,0.8239109389809267,0.38397183718983247
d_exp_H2,1,1,9,9,50,0.21768512806613127,40,11,0.7131291948546116,0.3770057376991745
d_exp_H2,1,2,7,7,50,0.7645075755970391,41,10,0.7299465078674807,0.2515959037728854
d_exp_H2,1,3,2,2,50,0.39478987916637565,41,10,0.5913520843336664,0.502312327704962
d_exp_H2,1,4,7,7,50,0.513295177572326,41,10,0.6183013982344838,0.6132324125725919
d_exp_H2,1,5,33,33,66,0.754537789041836,41,10,-0.0007252999975413399,0.40157123589000454
d_exp_H2,2,1,9,9,50,0.7988746347378751,40,11,0.7636747939406497,0.3937132270415886
d_exp_H2,2,2,25,25,50,0.9739433768780889,41,10,0.5563345826726789,0.35523238802278145
d_exp_H2,2,3,8,8,50,0.663449855458893,41,10,0.8265921065726611,0.3654318223866294
d_exp_H2,2,4,3,3,50,0.6145859152318347,41,10,0.7645056660666549,0.3182327484521262
d_exp_H2,2,5,13,13,50,0.6707123276822856,41,10,0.8824811586546534,0.2135625841312222
d_exp_H2,3,1,17,17,50,0.7103497022978112,40,11,0.6668750353010416,0.3980851782045315
d_exp_H2,3,2,24,24,50,0.8607291537529458,41,10,0.607128735584027,0.391004709318017
d_exp_H2,3,3,10,10,50,0.9100390330017035,41,10,0.5591001653672911,0.4219056110813169
d_exp_H2,3,4,16,16,50,0.9469394582164976,41,10,0.6921959396765618,0.5377819810109402
d_exp_H2,3,5,7,7,50,0.37377019714367177,41,10,0.6985710858967348,0.27736199972219616
d_exp_He,1,1,115,115,230,0.07084494767376781,40,11,-1.219669402848898,0.5476782567574995
d_exp_He,1,2,16,16,50,0.7939003337379011,41,10,-0.3195507402519222,0.454619825360862
d_exp_He,1,3,3,3,50,0.3913508207548573,41,10,-0.5251332911596716,0.4408711756516184
d_exp_He,1,4,10,10,50,0.3035497912769308,41,10,0.09824681865954121,0.9602867023927905
d_exp_He,1,5,12,12,50,0.13379911128464717,41,10,0.5962115225963192,0.45227553844873797
d_exp_He,2,1,4,4,50,0.24915371282207177,40,11,0.1679475461648462,0.8085459693920779
d_exp_He,2,2,79,79,158,0.5330138776940669,41,10,0.47228411413361404,0.3315193909381841
d_exp_He,2,3,9,9,50,-0.18689086676516653,41,10,0.11082270505192982,0.4095378671522361
d_exp_He,2,4,1,1,50,0.07726969052472721,41,10,-0.39742211239625913,0.4666694609330619
d_exp_He,2,5,4,4,50,0.46847460425001275,41,10,0.11133499119954915,0.6839854564480017
d_exp_He,3,1,48,48,96,-0.4621505248714497,40,11,0.25025093038761725,0.2960441535396146
d_exp_He,3,2,45,45,90,0.38216301757044824,41,10,0.2222760882734247,0.5045651304108651
d_exp_He,3,3,11,11,50,0.6777555448458386,41,10,-0.7160722410081026,0.402273473505516
d_exp_He,3,4,8,8,50,0.4464231475519834,41,10,-0.45955799471708114,1.2564278894659335
d_exp_He,3,5,15,15,50,0.15468000429039463,41,10,0.2583781520808911,0.3143411756425242
d_exp_N2,1,1,22,66,88,0.47876100057387827,120,31,0.5574271344512907,0.8021634976252401
d_exp_N2,1,2,4,12,50,0.5662787217585146,121,30,0.8111494119177185,0.4639278296371703
d_exp_N2,1,3,158,474,632,0.4958055037513498,121,30,0.37886819718119147,0.8939346592090198
d_exp_N2,1,4,115,345,460,0.6478025707547882,121,30,0.8599835657092626,0.3454770356646772
d_exp_N2,1,5,43,129,172,0.6848528488804991,121,30,0.6836026607471962,0.5255381142872313
d_exp_N2,2,1,12,36,50,0.8422969684332104,120,31,0.555326788590937,0.6009645612355485
d_exp_N2,2,2,5,15,50,0.8105443223933994,121,30,0.7245780031931737,0.4882454022759091
d_exp_N2,2,3,7,21,50,0.8231115116380296,121,30,0.5712486550241016,0.7149801587886083
d_exp_N2,2,4,27,81,108,0.5403544531841643,121,30,0.8536101717843416,0.349273842252444
d_exp_N2,2,5,70,210,280,0.8001926030449131,121,30,0.46546030938312577,0.9898735521020363
d_exp_N2,3,1,10,30,50,0.6963121569710792,120,31,0.526831534870916,0.7255819906188116
d_exp_N2,3,2,59,177,236,0.36846066303481795,121,30,0.8393105450338687,0.5040644308261463
d_exp_N2,3,3,5,15,50,0.798659846492161,121,30,0.4854128022221553,0.882937741063131
d_exp_N2,3,4,2,6,50,0.36553708653305317,121,30,0.6234296017853104,0.5032680673640727
d_exp_N2,3,5,52,156,208,0.13065705370195557,121,30,0.5891393539323224,0.559059817972943
d_exp_O2,1,1,33,99,132,0.6732729441723764,120,30,0.7119371010328338,0.5510966673494294
d_exp_O2,1,2,89,267,356,0.7222538029533643,120,30,0.8009864045881945,0.4285488634424152
d_exp_O2,1,3,8,24,50,0.689103341348833,120,30,0.8301805159876703,0.3316890817927325
