task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
d_exp_CH4,1,1,35,105,140,0.7527271829610687,114,29,0.25586337152383687,0.8599995978057744
d_exp_CH4,1,2,1,3,50,0.7313257174189361,114,29,0.7309074865583864,0.5971018674655021
d_exp_CH4,1,3,51,153,204,0.8729684328943539,114,29,0.7175269928860388,0.5849881540533396
d_exp_CH4,1,4,129,387,516,0.8025501123236266,115,28,0.2607779483759307,0.9042951348389494
d_exp_CH4,1,5,3,9,50,0.8265132006838691,115,28,0.794405590289662,0.4638826022043581
d_exp_CH4,2,1,44,132,176,0.843424710314971,114,29,0.4942970872372081,0.805910797949339
d_exp_CH4,2,2,6,18,50,0.6773600286220233,114,29,0.5249412837669696,0.748053074359652
d_exp_CH4,2,3,32,96,128,0.7002226828568918,114,29,0.530257202568192,0.7086913812983907
d_exp_CH4,2,4,76,228,304,0.5767343184856382,115,28,0.7641861334231232,0.5939070696170471
d_exp_CH4,2,5,86,258,344,0.7290832052764405,115,28,0.48778659737610797,0.518943842106489
d_exp_CH4,3,1,26,78,104,0.7490919501037339,114,29,0.5447739768939731,0.6283689289421498
d_exp_CH4,3,2,22,66,88,0.7949927213934361,114,29,0.7786631974807745,0.5836942485912298
d_exp_CH4,3,3,24,72,96,0.7020985691791463,114,29,0.5456386507979225,0.7057194229367103
d_exp_CH4,3,4,19,57,76,0.7409057197469467,115,28,0.7354000873601083,0.4709896745078081
d_exp_CH4,3,5,135,405,540,0.7480750780414751,115,28,0.7677691858056312,0.5729798512869849
d_exp_CO2,1,1,3,9,50,0.7456219802605011,118,30,0.580760747839923,0.4338127081601193
d_exp_CO2,1,2,30,90,120,0.8095408093996463,118,30,0.604115288731065,0.6300197908620893
d_exp_CO2,1,3,112,336,448,0.5706651400761364,118,30,0.761234457191997,0.4116103705753248
d_exp_CO2,1,4,62,186,248,0.7128715426760833,119,29,0.5696073405335582,0.7831625973761772
d_exp_CO2,1,5,15,45,60,0.6392913320491971,119,29,0.4637861837258559,0.6702052256555384
d_exp_CO2,2,1,5,15,50,0.7198239480752526,118,30,0.5426723447386481,0.639544772910221
d_exp_CO2,2,2,36,108,144,0.7040989350390561,118,30,0.5297658867026844,0.5679201994512559
d_exp_CO2,2,3,6,18,50,0.5603806078542595,118,30,0.40492445116273623,0.5483322525875319
d_exp_CO2,2,4,15,45,60,0.4585655363906702,119,29,0.48313855459375044,0.8809199353743699
d_exp_CO2,2,5,21,63,84,0.7756824609452159,119,29,0.29494390039957297,0.701858809767004
d_exp_CO2,3,1,74,222,296,0.6200958102782268,118,30,0.24201357867796514,0.6187334392793683
d_exp_CO2,3,2,32,96,128,0.7636839735696019,118,30,0.5191367418886462,0.9201858528370715
d_exp_CO2,3,3,2,6,50,0.5936320129413319,118,30,0.3229438322834136,0.5992496249721125
d_exp_CO2,3,4,8,24,50,0.44004499964092225,119,29,0.4853452381337413,0.6444339216311302
d_exp_CO2,3,5,178,534,712,0.6581218104509601,119,29,0.7677315164512808,0.44098957736816147
d_exp_H2,1,1,30,30,60,-0.2882819038547533,40,11,0.733597259967369,0.3633073025546319
d_exp_H2,1,2,6,6,50,0.6937608356782125,41,10,0.10138896594981395,0.4589491192680204
d_exp_H2,1,3,13,13,50,0.24042952078952373,41,10,0.5738270011092454,0.5129702254971623
d_exp_H2,1,4,131,131,262,0.4651774290979038,41,10,0.5637458731471461,0.6555934277589628
d_exp_H2,1,5,9,9,50,0.699529864492664,41,10,0.5477020527812402,0.26997121790420675
d_exp_H2,2,1,17,17,50,0.8101117312442108,40,11,0.5942737156388741,0.5158715229316385
d_exp_H2,2,2,42,42,84,0.8530546306898923,41,10,0.5149852330968465,0.37141740142495405
d_exp_H2,2,3,1,1,50,0.5328630665746412,41,10,0.7135985281526077,0.4696340263440827
d_exp_H2,2,4,13,13,50,0.8129515375842072,41,10,0.5142282187254774,0.45705743694668105
d_exp_H2,2,5,54,54,108,0.6390896717862022,41,10,0.5349074977811037,0.42485534452714985
d_exp_H2,3,1,32,32,64,0.6855220747350489,40,11,0.5537691844193873,0.4607360523352489
d_exp_H2,3,2,22,22,50,0.7904435935107006,41,10,0.5180357480372573,0.4330761521068938
d_exp_H2,3,3,9,9,50,0.8768066221115347,41,10,0.40149131827940066,0.4915645557382051
d_exp_H2,3,4,10,10,50,0.8427212914046653,41,10,0.5474787936197613,0.6520614757113391
d_exp_H2,3,5,7,7,50,0.4151656585651432,41,10,0.6802873531316422,0.28565012163424325
d_exp_He,1,1,6,6,50,0.20712605373999005,40,11,-3.026240330506412,0.7376174783917935
d_exp_He,1,2,1,1,50,0.016224549660154963,41,10,-0.40974324109264604,0.4698998798838009
d_exp_He,1,3,5,5,50,0.3397630157269592,41,10,-0.7658352519627796,0.47438712768902186
d_exp_He,1,4,17,17,50,0.5056900622178339,41,10,0.06765937828231594,0.9764373350700233
d_exp_He,1,5,4,4,50,0.3182543354438536,41,10,-0.01437587851903821,0.7168455525929524
d_exp_He,2,1,5,5,50,0.6331292429210664,40,11,0.012727469706728667,0.8807403437197492
d_exp_He,2,2,3,3,50,-0.19237609187405824,41,10,-0.467544844703601,0.5528464719431789
d_exp_He,2,3,3,3,50,0.2956962171431434,41,10,0.366685095474222,0.34562865107516433
d_exp_He,2,4,6,6,50,0.3803397097852508,41,10,-0.8016879676854445,0.5298895622923112
d_exp_He,2,5,5,5,50,0.3175380139665186,41,10,-0.42452760129982026,0.8659907667751768
d_exp_He,3,1,7,7,50,0.6076742065651926,40,11,-0.17858246998656013,0.3711748226005757
d_exp_He,3,2,63,63,126,0.46675838277310666,41,10,-0.009175937582359017,0.5747618730116095
d_exp_He,3,3,5,5,50,0.5507073108101441,41,10,-0.7810482064583273,0.4098183963561992
d_exp_He,3,4,135,135,270,0.5598474528983179,41,10,-0.16587384358083157,1.1229299611420642
d_exp_He,3,5,2,2,50,0.5524405804857895,41,10,-0.2652022825403235,0.41057263388252974
d_exp_N2,1,1,38,114,152,0.7308716909097328,120,31,0.4363927368522802,0.9052296999252433
d_exp_N2,1,2,20,60,80,0.6298821382314626,121,30,0.8710207171790934,0.3833992274286039
d_exp_N2,1,3,140,420,560,0.5855647933139161,121,30,0.44973581484811087,0.8413942043263026
d_exp_N2,1,4,23,69,92,0.6270667311880097,121,30,0.7933315707526468,0.4197268452555033
d_exp_N2,1,5,35,105,140,0.7423218989776554,121,30,0.7137827149284954,0.4998454417988653
d_exp_N2,2,1,45,135,180,0.8574632359946852,120,31,0.6994870108924145,0.4940375999119763
d_exp_N2,2,2,36,108,144,0.7633896581198197,121,30,0.6043414068883411,0.5851930400021835
d_exp_N2,2,3,32,96,128,0.8492087930869846,121,30,0.6967789674334961,0.6012718938429561
d_exp_N2,2,4,69,207,276,0.6707348929827438,121,30,0.8623266764247988,0.3387158421588978
d_exp_N2,2,5,31,93,124,0.8589570288419444,121,30,0.535214639029181,0.9230303095900388
d_exp_N2,3,1,14,42,56,0.7851550137279938,120,31,0.6233714132389616,0.6473441663329764
d_exp_N2,3,2,66,198,264,0.47719278226181594,121,30,0.7873384105831069,0.5798783460339484
d_exp_N2,3,3,98,294,392,0.7782583244287192,121,30,0.536878401284155,0.8376220671003339
d_exp_N2,3,4,107,321,428,0.3668318298557651,121,30,0.5440061995635236,0.5538035754807051
d_exp_N2,3,5,95,285,380,0.49011237467527846,121,30,0.7257403942057683,0.4567640658383016
d_exp_O2,1,1,23,69,92,0.7672803967609053,120,30,0.7506901937381064,0.5126887666308299
d_exp_O2,1,2,40,120,160,0.7888865984390583,120,30,0.7590586290343041,0.4715357917883809
d_exp_O2,1,3,11,33,50,0.6922659894902461,120,30,0.751802508007751,0.40099237269084276
d_exp_O2,1,4,75,225,300,0.8561257731988615,120,30,0.5115354892821009,0.5215789597198773
d_exp_O2,1,5,48,144,192,0.7691296837893168,120,30,0.8698757211689971,0.2972233257664117
d_exp_O2,2,1,16,48,64,0.643216486375926,120,30,0.7804678672955276,0.4905579575892149
d_exp_O2,2,2,9,27,50,0.7123728812909474,120,30,0.5167710566165917,0.6054301959635732
d_exp_O2,2,3,65,195,260,0.4914186433134333,120,30,0.6342736685200296,0.47205846612038055
d_exp_O2,2,4,27,81,108,0.820568171372651,120,30,0.7697324157676199,0.40435104997440185
d_exp_O2,2,5,13,39,52,0.7596711324456713,120,30,0.7592790362523978,0.3975644001368553
d_exp_O2,3,1,47,141,188,0.7583904654756524,120,30,0.7978501256374999,0.32472821472228525
d_exp_O2,3,2,46,138,184,0.6952146942693435,120,30,0.6863668367408697,0.6468983444158394
d_exp_O2,3,3,24,72,96,0.763484799929518,120,30,0.7376649787630647,0.3913677481366161
d_exp_O2,3,4,9,27,50,0.6926902109853238,120,30,0.5931953871688065,0.4636681028638566
d_exp_O2,3,5,135,405,540,0.8498636889490546,120,30,0.7271061567145275,0.5035389682824646
p_exp_CH4,1,1,121,1452,1815,0.8299882746474957,454,114,0.8981185857195392,0.5061990478550713
