task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
d_exp_CH4,1,1,8,24,50,0.7216107555239664,114,29,0.6267217283050299,0.6090995271220153
d_exp_CH4,1,2,4,12,50,0.7524439568366416,114,29,0.6811336137888139,0.6499829906514222
d_exp_CH4,1,3,12,36,50,0.7762120972208177,114,29,0.729741150608622,0.5722009266968676
d_exp_CH4,1,4,9,27,50,0.7738767374960197,115,28,0.6015805214004042,0.6638852486084108
d_exp_CH4,1,5,6,18,50,0.7899986982396303,115,28,0.8649832696398508,0.375920688333294
d_exp_CH4,2,1,28,84,112,0.8664457406698762,114,29,0.6433313544267297,0.6768177088110457
d_exp_CH4,2,2,17,51,68,0.6813693279977112,114,29,0.6981736380321271,0.5962623003753721
d_exp_CH4,2,3,5,15,50,0.7003790830863363,114,29,0.7838663249284901,0.4807156989684654
d_exp_CH4,2,4,33,99,132,0.6223820538512292,115,28,0.7885275496016283,0.5624199586050503
d_exp_CH4,2,5,75,225,300,0.7483535915744692,115,28,0.4049688270734648,0.5593256719963913
d_exp_CH4,3,1,129,387,516,0.6485247191530117,114,29,0.4897719946859116,0.6652475873232971
d_exp_CH4,3,2,73,219,292,0.7865160625911476,114,29,0.8325989971645414,0.5076187155281892
d_exp_CH4,3,3,19,57,76,0.7127256056792888,114,29,0.7283228483309261,0.5457050059636686
d_exp_CH4,3,4,122,366,488,0.7330734087468476,115,28,0.7010082036515699,0.5006637802800058
d_exp_CH4,3,5,34,102,136,0.7737926665606633,115,28,0.6929076802502999,0.6588915007635057
d_exp_H2,1,1,17,17,50,-0.6196014075356713,40,11,0.7046849600744993,0.3825142038637318
d_exp_H2,1,2,3,3,50,0.7286628303085549,41,10,0.1191592883170834,0.4543885266271224
d_exp_H2,1,3,1,1,50,0.0931880527542613,41,10,0.5610606194376633,0.5205967659555221
d_exp_H2,1,4,2,2,50,0.3480256018309871,41,10,0.4997987979100848,0.7020001138624158
d_exp_H2,1,5,4,4,50,0.698219711078113,41,10,-0.1222038213238643,0.4252467753319037
d_exp_H2,2,1,19,19,50,0.6992546577623109,40,11,0.6156984077171441,0.5020663039060738
d_exp_H2,2,2,4,4,50,0.9160045666587644,41,10,0.6017745661150418,0.3365497432036539
d_exp_H2,2,3,8,8,50,0.5428465020008992,41,10,0.7013124481308937,0.4796014573981214
d_exp_H2,2,4,5,5,50,0.7280287006240269,41,10,0.7381686072991955,0.3355563767712061
d_exp_H2,2,5,33,33,66,0.6469610752393562,41,10,0.4744133431924316,0.4516412308702438
d_exp_H2,3,1,21,21,50,0.7445893136835229,40,11,0.5959876477415045,0.438399186357523
d_exp_H2,3,2,14,14,50,0.7866042313344863,41,10,0.7281072632842256,0.3252787249233153
d_exp_H2,3,3,3,3,50,0.8855823905808498,41,10,0.5518313363723071,0.4253692355966219
d_exp_H2,3,4,16,16,50,0.8985316719286017,41,10,0.5566730339996981,0.6454032510810416
d_exp_H2,3,5,4,4,50,0.4291974293816598,41,10,0.5667356412197402,0.332530118883856
d_exp_He,1,1,1,1,50,0.119544838477,40,11,-0.7998677228191349,0.4931756732083496
d_exp_He,1,2,2,2,50,0.3996736087212309,41,10,0.0332359091034708,0.3891307748703457
d_exp_He,1,3,3,3,50,0.2835953736846079,41,10,-1.3245741844616772,0.5442889406914806
d_exp_He,1,4,1,1,50,0.1324884563848938,41,10,-0.2226346598324997,1.118163792125236
d_exp_He,1,5,13,13,50,0.1535562620430745,41,10,0.3274615119045352,0.5836933025483353
d_exp_He,2,1,46,46,92,0.498443360954211,40,11,0.2097135615949851,0.7879916732625222
d_exp_He,2,2,1,1,50,-0.0657223345953545,41,10,0.6733180905565266,0.2608383201159521
d_exp_He,2,3,3,3,50,-0.11156095132192,41,10,0.1329395205728555,0.4044125064765742
d_exp_He,2,4,15,15,50,0.4080715259391483,41,10,-1.3559000543218351,0.6059321649090874
d_exp_He,2,5,14,14,50,0.3467780008222968,41,10,0.0421749163773254,0.7101023182187279
d_exp_He,3,1,2,2,50,-0.2330116674450464,40,11,-0.2190363358337337,0.3774912126554872
d_exp_He,3,2,16,16,50,0.1921520688146175,41,10,0.1001706293140292,0.5427309521268697
d_exp_He,3,3,15,15,50,0.7021452233703398,41,10,-1.165118743457644,0.4518501931242821
d_exp_He,3,4,9,9,50,0.4011540164905353,41,10,-0.1990498544755681,1.1387948916705666
d_exp_He,3,5,2,2,50,0.607868103041167,41,10,0.3449260920635005,0.2954303888642833
p_exp_CH4,1,1,103,1236,1545,0.8364962914062006,454,114,0.907269091502992,0.4829321280868395
p_exp_CH4,1,2,51,612,765,0.8677215352721522,454,114,0.8413134155706395,0.5959700450905834
p_exp_CH4,1,3,76,912,1140,0.8632087094611016,455,113,0.7935498395026699,0.655530639441559
p_exp_CH4,1,4,81,972,1215,0.8503365915387523,455,113,0.8098581896644144,0.5533475033567159
p_exp_CH4,1,5,35,420,525,0.775145521219168,454,114,0.8075373980334614,0.624453207932043
p_exp_CH4,2,1,55,660,825,0.7752886853461418,454,114,0.8866996340811005,0.4741284187092179
p_exp_CH4,2,2,36,432,540,0.8367724902144531,454,114,0.8751804428371689,0.5443746093023967
p_exp_CH4,2,3,57,684,855,0.8535855798480186,455,113,0.7988530499479544,0.619986379596542
p_exp_CH4,2,4,93,1116,1395,0.8384705643359229,455,113,0.9114303710429744,0.4667218617576346
p_exp_CH4,2,5,23,276,345,0.896833757031827,454,114,0.7385693073251272,0.6641718040229321
p_exp_CH4,3,1,3,36,50,0.8106153339260138,453,115,0.850070140921389,0.5724640748196902
p_exp_CH4,3,2,35,420,525,0.836387182509705,454,114,0.8223911109656318,0.5980957989917267
p_exp_CH4,3,3,154,1848,2310,0.8773009954278292,455,113,0.895026307188106,0.4798458257754085
p_exp_CH4,3,4,130,1560,1950,0.8542565975012688,455,113,0.7522499950309416,0.6657380493074397
p_exp_CH4,3,5,199,2388,2985,0.8424175444448576,455,113,0.8869099996571465,0.5033892018247011
p_exp_CO2,1,1,111,1443,1887,0.8301326113898392,515,129,0.8244812892403125,0.5402086823294179
p_exp_CO2,1,2,123,1599,2091,0.8117925366275999,514,130,0.8288396897876746,0.4620379741422947
p_exp_CO2,1,3,14,182,238,0.7207571005967203,515,129,0.7801558850506384,0.563931470830991
p_exp_CO2,1,4,59,767,1003,0.8441443740357394,516,128,0.7889109184049111,0.511392650044363
