task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Eat,1,1,111,888,1110,0.9736455797697725,312,78,0.967807058514085,0.06375651985639105
Eat,1,2,112,896,1120,0.9724227311839323,312,78,0.9734911043647243,0.0613014569815983
Eat,1,3,136,1088,1360,0.9619843117799243,312,78,0.9709224444275084,0.05553013084154893
Eat,1,4,136,1088,1360,0.9703201095572538,312,78,0.946989246825181,0.0873901286479604
Eat,1,5,33,264,330,0.9565190139265594,312,78,0.9659586116917909,0.0666252149090187
Eat,2,1,96,768,960,0.9335364648272971,312,78,0.9611071907262767,0.0753424585525191
Eat,2,2,30,240,300,0.9545939676624098,312,78,0.9494202262067282,0.08581698393858173
Eat,2,3,110,880,1100,0.9548450791128826,312,78,0.9643561898485538,0.06112910775762596
Eat,2,4,101,808,1010,0.9647026447964027,312,78,0.946865041560747,0.0850149728274999
Eat,2,5,55,440,550,0.9701050877832758,312,78,0.9646144098027136,0.06222629531498518
Eat,3,1,54,432,540,0.950548960063958,312,78,0.9503222175816071,0.08043749540058631
Eat,3,2,104,832,1040,0.9676692918484621,312,78,0.9702654237270113,0.0613793417776629
Eat,3,3,46,368,460,0.9579328436874173,312,78,0.9465458903725685,0.08323387776787063
Eat,3,4,147,1176,1470,0.950550763949729,312,78,0.9720552162682058,0.056697264349203885
Eat,3,5,143,1144,1430,0.9701333377482466,312,78,0.9352005772489604,0.09713634823138499
Eea,1,1,35,280,350,0.8944551569275754,294,74,0.8997006515282233,0.3491585971620596
Eea,1,2,25,200,250,0.9098900786845842,294,74,0.740069043290095,0.515628510333414
Eea,1,3,193,1544,1930,0.8862294849357428,294,74,0.9178042963359961,0.31612070539355996
Eea,1,4,47,376,470,0.8776300559093871,295,73,0.8807626995998367,0.3898832804939646
Eea,1,5,25,200,250,0.870014429841052,295,73,0.8657346592447328,0.39654918536774625
Eea,2,1,62,496,620,0.8949351325011772,294,74,0.8731078602135621,0.3780346417397417
Eea,2,2,94,752,940,0.9360870567145839,294,74,0.8975488873883012,0.34400479452982047
Eea,2,3,194,1552,1940,0.9129708093802601,294,74,0.917568745361077,0.3386169758457787
Eea,2,4,53,424,530,0.9436480543708039,295,73,0.9081956559552765,0.31596957371956946
Eea,2,5,102,816,1020,0.9342629330116692,295,73,0.8443877335961141,0.4061367933632522
Eea,3,1,102,816,1020,0.8856938430056923,294,74,0.9184547369309564,0.34132762666443656
Eea,3,2,87,696,870,0.9079636236878895,294,74,0.902664540982061,0.3384414500245927
Eea,3,3,57,456,570,0.8824432652220157,294,74,0.9085396304735088,0.3270808827311444
Eea,3,4,52,416,520,0.8815038023651744,295,73,0.8903537947551804,0.35223384629850274
Eea,3,5,51,408,510,0.8923617016627177,295,73,0.8765309734548579,0.3487102140151344
Egb,1,1,27,324,378,0.9257756165218248,448,113,0.9136478722157604,0.6178544427471878
Egb,1,2,94,1128,1410,0.9396468854619211,449,112,0.8701204819955253,0.7280662784947854
Egb,1,3,21,252,315,0.8574144015750715,449,112,0.8378885660876317,0.752276526215473
Egb,1,4,75,900,1125,0.9040025371010807,449,112,0.9065087187768941,0.5453723890901053
Egb,1,5,47,564,705,0.8808416123186297,449,112,0.9295365992482187,0.5151877380580606
Egb,2,1,43,516,602,0.9371888557253718,448,113,0.7359070437195722,0.948402028110796
Egb,2,2,88,1056,1320,0.8830420578129025,449,112,0.9265058061616347,0.576324075933138
Egb,2,3,173,2076,2595,0.9205175739199662,449,112,0.8834921143356952,0.6259937561402367
Egb,2,4,38,456,570,0.9096410885050962,449,112,0.8728956703808807,0.7151985207866981
Egb,2,5,104,1248,1560,0.8813584297666192,449,112,0.866702539655623,0.6676541178506117
Egb,3,1,69,828,966,0.882162874002158,448,113,0.845593219281503,0.8105799245687741
Egb,3,2,65,780,975,0.9006362166115546,449,112,0.9242703600021454,0.5290766977137062
Egb,3,3,56,672,840,0.8790283161137055,449,112,0.914127520632148,0.5556023178537814
Egb,3,4,158,1896,2370,0.8954180089047509,449,112,0.900198918168809,0.6353097112109163
Egb,3,5,144,1728,2160,0.9067917546385811,449,112,0.8775602431081856,0.6428323385595144
Egc,1,1,46,3128,3910,0.8934196761842621,2704,676,0.8492366005298848,0.6165882487422125
Egc,1,2,53,3604,4505,0.889064655483096,2703,677,0.8550548156498923,0.6058384610901328
Egc,1,3,113,7684,9605,0.9024825049844405,2704,676,0.8921353013360461,0.5190313906923242
Egc,1,4,108,7344,9180,0.8813752268885129,2704,676,0.8610382424826071,0.5787811113408502
Egc,1,5,157,10676,13345,0.8961247889545839,2705,675,0.883137727693721,0.5108764049807489
Egc,2,1,82,5576,6970,0.9005599969482689,2703,677,0.8677496497310504,0.561083164577885
Egc,2,2,104,7072,8840,0.8997669945039003,2704,676,0.8692449075593485,0.5570307682000839
Egc,2,3,39,2652,3315,0.8746001437311368,2704,676,0.8393784723340632,0.6401195030212533
Egc,2,4,65,4420,5525,0.8879214582459631,2704,676,0.8885002925635268,0.5176944676036563
Egc,2,5,28,1904,2380,0.8580175998890223,2705,675,0.8745508268280848,0.5598955905862772
Egc,3,1,34,2312,2890,0.8823989174028146,2704,676,0.8779713120531345,0.5519965329699588
Egc,3,2,30,2040,2550,0.8789496772078176,2704,676,0.8706687855959944,0.5588882445403531
Egc,3,3,77,5236,6545,0.8873645682190867,2703,677,0.8863906231728155,0.5249237291082174
Egc,3,4,114,7752,9690,0.8873207427117594,2704,676,0.8753270083864466,0.5508965315984978
Egc,3,5,52,3536,4420,0.882180738816745,2705,675,0.8418115615149011,0.6196918549342364
Ei,1,1,23,184,230,0.8594731303132267,296,74,0.7959353734976394,0.4587964439730045
Ei,1,2,111,888,1110,0.9123553630346619,296,74,0.5494822744988416,0.596895229444891
Ei,1,3,115,920,1150,0.6812516826674658,296,74,0.8856640823066684,0.39979034608802183
Ei,1,4,4,32,50,0.6282688020975663,296,74,0.7173533346639365,0.5007738285304271
Ei,1,5,46,368,460,0.8297643581970855,296,74,0.5317251908302192,0.5825040571263587
