task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Eat,1,1,29,232,290,0.9625249721832027,312,78,0.9741194332879716,0.05716512585493059
Eat,1,2,71,568,710,0.9707905294345303,312,78,0.940546417047404,0.09180450541657115
Eat,1,3,92,736,920,0.9778662116255911,312,78,0.9638594102213254,0.061908084589830825
Eat,1,4,83,664,830,0.9796176748698094,312,78,0.9207379766490212,0.10685945837279973
Eat,1,5,165,1320,1650,0.9488271257345621,312,78,0.9559294403633266,0.0758069936710735
Eat,2,1,64,512,640,0.9707892116332785,312,78,0.9679993817156174,0.06834146992913938
Eat,2,2,178,1424,1780,0.9702066792928701,312,78,0.9533738999980521,0.08239471409535694
Eat,2,3,109,872,1090,0.9751981071718587,312,78,0.9725075460004343,0.053686210448449866
Eat,2,4,74,592,740,0.9604587295539727,312,78,0.9541584889965601,0.07896501274887821
Eat,2,5,183,1464,1830,0.9630090008836217,312,78,0.9371417576743444,0.08293576221664677
Eat,3,1,109,872,1090,0.9424465517820776,312,78,0.961172732910811,0.0711124842386583
Eat,3,2,25,200,250,0.9547353975364531,312,78,0.9594855024764177,0.0716467637473197
Eat,3,3,126,1008,1260,0.9712489296455398,312,78,0.963236792062732,0.06902656766502809
Eat,3,4,99,792,990,0.9671930333502334,312,78,0.9831733065500388,0.04399578991489664
Eat,3,5,88,704,880,0.9857157827347208,312,78,0.9798279316319475,0.054196522318605715
Eea,1,1,23,184,230,0.912946140875434,294,74,0.8939228806482628,0.3590744820463431
Eea,1,2,13,104,130,0.8937758487876264,294,74,0.8524811845734208,0.38844687151421076
Eea,1,3,68,544,680,0.9140637601637049,294,74,0.9300079620287763,0.2917109308192338
Eea,1,4,79,632,790,0.8892226972579869,295,73,0.8635449871387324,0.4170837710337704
Eea,1,5,124,992,1240,0.8762318498318622,295,73,0.9254601523344619,0.29546725217531006
Eea,2,1,177,1416,1770,0.9207818282628065,294,74,0.9032302793367255,0.3301292323837852
Eea,2,2,59,472,590,0.9272500300751937,294,74,0.8707157082640236,0.3864372974784912
Eea,2,3,75,600,750,0.9005790149355734,294,74,0.8342392707992854,0.48017947895585417
Eea,2,4,98,784,980,0.9515780770159867,295,73,0.9131806593552649,0.3072712236723419
Eea,2,5,57,456,570,0.9377057319103596,295,73,0.8917295851704681,0.3387702946861329
Eea,3,1,68,544,680,0.9005834006268911,294,74,0.89880628603717,0.3802321538718042
Eea,3,2,24,192,240,0.9376657338339502,294,74,0.9185717462818611,0.30955339183651115
Eea,3,3,10,80,100,0.9084681529050365,294,74,0.8386990711849868,0.4343672960980354
Eea,3,4,26,208,260,0.9101212857386625,295,73,0.9115180457129257,0.3164183309908926
Eea,3,5,19,152,190,0.901106524705921,295,73,0.8459435727440197,0.3895162381897095
Egb,1,1,51,612,714,0.9269564972182589,448,113,0.7182037100126015,1.1161364408830408
Egb,1,2,24,288,360,0.9317039945909842,449,112,0.8614322137247566,0.7520240363056606
Egb,1,3,183,2196,2745,0.8927036085528834,449,112,0.8025402747351322,0.8302520393788543
Egb,1,4,137,1644,2055,0.8751692225630936,449,112,0.885750289612103,0.602885925167892
Egb,1,5,61,732,915,0.9130810183354273,449,112,0.9515265374978925,0.42730280086453315
Egb,2,1,6,72,84,0.5580400621099582,448,113,0.714335098997459,0.9863760220663691
Egb,2,2,56,672,840,0.8462311336336312,449,112,0.9241566702435723,0.585462311651236
Egb,2,3,72,864,1080,0.9134748054464976,449,112,0.8359821681333641,0.7427418145570059
Egb,2,4,52,624,780,0.9394404830023158,449,112,0.8977243998362255,0.6415528722847497
Egb,2,5,86,1032,1290,0.8533376924007975,449,112,0.9045035554809018,0.5651115654864985
Egb,3,1,31,372,434,0.9183423219255644,448,113,0.5412776371215636,1.3971325654792288
Egb,3,2,92,1104,1380,0.8924282820330934,449,112,0.9230188177941342,0.5334306626730448
Egb,3,3,120,1440,1800,0.8826335031048496,449,112,0.8979323137790155,0.6057329277192388
Egb,3,4,181,2172,2715,0.887610631149699,449,112,0.9175258611113852,0.5775329463038196
Egb,3,5,99,1188,1485,0.849092006577288,449,112,0.8982591664305121,0.5859818072639095
Egc,1,1,99,6732,8415,0.917493967614214,2704,676,0.8853589996210133,0.5376718089444017
Egc,1,2,28,1904,2380,0.8977635005033949,2703,677,0.8861056779174499,0.5370391937155835
Egc,1,3,16,1088,1360,0.8931657710855709,2704,676,0.8682756631860409,0.5735707127435028
Egc,1,4,40,2720,3400,0.8729968253927368,2704,676,0.8861001734932554,0.5239963134646412
Egc,1,5,48,3264,4080,0.897931348695671,2705,675,0.8999755283179758,0.4726414596590639
Egc,2,1,69,4692,5865,0.9018534663936031,2703,677,0.8765291266865651,0.5421395391835746
Egc,2,2,32,2176,2720,0.8995021835243894,2704,676,0.873886715137829,0.5470541254154333
Egc,2,3,28,1904,2380,0.9047447209672602,2704,676,0.8495960667545917,0.6194250722736944
Egc,2,4,37,2516,3145,0.8776506846954267,2704,676,0.8883592161268538,0.518021873859243
Egc,2,5,138,9384,11730,0.8862931486472315,2705,675,0.877962859443746,0.552228933342162
Egc,3,1,25,1700,2125,0.8777803058027719,2704,676,0.9042892161802077,0.4888614769676958
Egc,3,2,59,4012,5015,0.8848605559430961,2704,676,0.867873448171126,0.564895802515767
Egc,3,3,41,2788,3485,0.8988933667305841,2703,677,0.90329783232061,0.4842919177913514
Egc,3,4,50,3400,4250,0.9102936692331705,2704,676,0.8781080672334441,0.5447175018283459
Egc,3,5,55,3740,4675,0.8706677699301025,2705,675,0.898038003639616,0.4975166087101721
Ei,1,1,6,48,60,0.8259112697938786,296,74,0.81716855125539,0.4342718002955824
Ei,1,2,39,312,390,0.9290331634151789,296,74,0.6336827036209829,0.5382336909041568
Ei,1,3,28,224,280,0.7174540426737294,296,74,0.8237648110655471,0.4963491426911268
Ei,1,4,60,480,600,0.7166877288797743,296,74,0.7782664565257422,0.4435426525292341
Ei,1,5,90,720,900,0.8706413140182568,296,74,0.6489129347133815,0.5043778099117857
Ei,2,1,60,480,600,0.8517858240471495,296,74,0.7213888106267188,0.5726350214843737
Ei,2,2,153,1224,1530,0.7859282352202619,296,74,0.8684694094211325,0.3668836943312362
Ei,2,3,64,512,640,0.8952889447223336,296,74,0.7379093312143772,0.47708051228369647
Ei,2,4,48,384,480,0.7956172944362285,296,74,0.8574574531050058,0.381165404975564
Ei,2,5,53,424,530,0.8036782638986906,296,74,0.6225778546363252,0.5511275731559385
Ei,3,1,62,496,620,0.8692056188888,296,74,0.7157032539140077,0.5504320323190657
Ei,3,2,111,888,1110,0.8824575689717585,296,74,0.8369323913426414,0.39976390017431185
Ei,3,3,65,520,650,0.8599163820273834,296,74,0.819667543089076,0.42955495671996086
