task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Eat,1,1,145,1160,1450,0.9926523861442244,312,78,0.990196338904384,0.03518344957871351
Eat,1,2,48,384,480,0.9784669551002516,312,78,0.9915273978942332,0.03465639498765726
Eat,1,3,35,280,350,0.9904250444844259,312,78,0.9832949959338815,0.042089429814870925
Eat,1,4,47,376,470,0.9851078094495621,312,78,0.9772777537439964,0.05721448886542596
Eat,1,5,104,832,1040,0.9812809253297771,312,78,0.9814632721692249,0.04916448879649583
Eat,2,1,95,760,950,0.9935294193139029,312,78,0.9788457992073517,0.05556527167360946
Eat,2,2,54,432,540,0.9922681646970688,312,78,0.9932979988673534,0.031238275743474576
Eat,2,3,81,648,810,0.9903136467164296,312,78,0.9855313318777621,0.038946664862779354
Eat,2,4,112,896,1120,0.9901039940626172,312,78,0.9900758996835675,0.0367409871398911
Eat,2,5,53,424,530,0.956443844491578,312,78,0.9811407518126671,0.04542792622912707
Eat,3,1,36,288,360,0.9725562254536934,312,78,0.9741214781256723,0.0580560083162744
Eat,3,2,50,400,500,0.9891180205290371,312,78,0.9887469389166285,0.03775953939220187
Eat,3,3,51,408,510,0.9879051984519323,312,78,0.9883735342745469,0.03881802507177002
Eat,3,4,54,432,540,0.9857587174808664,312,78,0.9879805872731204,0.037183764204973956
Eat,3,5,56,448,560,0.9813899158986763,312,78,0.9890829566413998,0.039870228211472646
Eea,1,1,47,376,470,0.9231285513768386,294,74,0.9369783424235236,0.2767697330141335
Eea,1,2,74,592,740,0.9307665181642986,294,74,0.8810493973567731,0.34881186016191484
Eea,1,3,43,344,430,0.9144323741224134,294,74,0.9379944804120105,0.2745639783690689
Eea,1,4,38,304,380,0.9320502303286343,295,73,0.9334073210174463,0.2913679561229611
Eea,1,5,51,408,510,0.9252500566407696,295,73,0.9446090632304094,0.25470323314670396
Eea,2,1,47,376,470,0.9264178183658213,294,74,0.917063864909431,0.3056230706411281
Eea,2,2,84,672,840,0.9399025170624367,294,74,0.8910411016735755,0.35476233744689184
Eea,2,3,113,904,1130,0.9289331231513914,294,74,0.9298701480429901,0.3123303823030773
Eea,2,4,27,216,270,0.9368159384360059,295,73,0.9191068983527579,0.29659880176098435
Eea,2,5,92,736,920,0.946480123104019,295,73,0.9229656916689565,0.28575412955794255
Eea,3,1,39,312,390,0.9341762093596149,294,74,0.9224575258039512,0.33284489398507294
Eea,3,2,98,784,980,0.9608433831540031,294,74,0.9074076333040577,0.33009245595216086
Eea,3,3,13,104,130,0.9380605274218807,294,74,0.93097622401885,0.2841437071263915
Eea,3,4,34,272,340,0.9255136762635611,295,73,0.9229686267532025,0.2952351772431478
Eea,3,5,29,232,290,0.9132311836514154,295,73,0.8940601958599306,0.3230094581245578
Egb,1,1,45,540,630,0.9503888712250773,448,113,0.9456441898790743,0.4901992456550602
Egb,1,2,92,1104,1380,0.9558264385780983,449,112,0.8576238239314546,0.762288283478507
Egb,1,3,34,408,510,0.8728431286307935,449,112,0.8726094951348182,0.6668669837122558
Egb,1,4,27,324,405,0.9175082034287362,449,112,0.893217851724033,0.5828501573651858
Egb,1,5,17,204,255,0.9028418198801589,449,112,0.9397691357315832,0.4763139111083971
Egb,2,1,22,264,308,0.9444558925716485,448,113,0.7979192619980024,0.8296148639883643
Egb,2,2,47,564,705,0.9147057284476234,449,112,0.9127712675842653,0.6278704270750106
Egb,2,3,6,72,90,0.9174479888818811,449,112,0.8862148757333529,0.6186358517770093
Egb,2,4,22,264,330,0.9523468313724354,449,112,0.9142984317259324,0.5872740621423628
Egb,2,5,123,1476,1845,0.9282049265482963,449,112,0.9086045832689797,0.552844257800023
Egb,3,1,27,324,378,0.9013435288421778,448,113,0.8665111929255569,0.7536766932393477
Egb,3,2,107,1284,1605,0.9148927608012313,449,112,0.9358553776805576,0.4869291947132394
Egb,3,3,136,1632,2040,0.8962648454038873,449,112,0.9153037603280858,0.5517840115059717
Egb,3,4,58,696,870,0.9171235281153075,449,112,0.924898967522692,0.5511132127916196
Egb,3,5,76,912,1140,0.9225128258366014,449,112,0.8712546035847073,0.6591774492070144
Egc,1,1,74,5032,6290,0.8972479236517704,2704,676,0.8869423319938514,0.5339459470249742
Egc,1,2,57,3876,4845,0.8997599539267008,2703,677,0.8673864201042967,0.5794940012807756
Egc,1,3,75,5100,6375,0.9023051949221941,2704,676,0.8907867761486099,0.5222657799700972
Egc,1,4,15,1020,1275,0.8994668893534546,2704,676,0.9080546966017053,0.47079460273198637
Egc,1,5,26,1768,2210,0.8817036373711253,2705,675,0.8983383571700982,0.4764937884268407
Egc,2,1,26,1768,2210,0.8964221400974255,2703,677,0.8700571207141927,0.5561668061111242
Egc,2,2,72,4896,6120,0.9062633435593928,2704,676,0.879274609886443,0.5352407705525586
Egc,2,3,48,3264,4080,0.8868439666071976,2704,676,0.9066535162446259,0.48798690158831404
Egc,2,4,35,2380,2975,0.8923781074965492,2704,676,0.8917826147185144,0.5100176175039655
Egc,2,5,25,1700,2125,0.8602791331860119,2705,675,0.8805615316381947,0.5463176837130248
Egc,3,1,80,5440,6800,0.8719245449408718,2704,676,0.9033684344769871,0.4912073842751194
Egc,3,2,72,4896,6120,0.8917022054970603,2704,676,0.8961667802384597,0.5007736372159548
Egc,3,3,46,3128,3910,0.8885317593061294,2703,677,0.8852744367972719,0.5274960547490452
Egc,3,4,19,1292,1615,0.903856044899041,2704,676,0.8783991801572915,0.5440666421098356
Egc,3,5,32,2176,2720,0.8888414702029861,2705,675,0.8830236101031879,0.5328899447212953
Ei,1,1,15,120,150,0.85901116199328,296,74,0.8534790744384047,0.3887639673849074
Ei,1,2,34,272,340,0.9335984508944755,296,74,0.6280817858268355,0.5423328240599155
Ei,1,3,13,104,130,0.759552135283956,296,74,0.8707981123349868,0.4249867511867897
Ei,1,4,6,48,60,0.7449099514739943,296,74,0.8481876861817648,0.3670060220158667
Ei,1,5,13,104,130,0.8791488180401299,296,74,0.6777589814885445,0.4832133981672768
Ei,2,1,10,80,100,0.8479005693804296,296,74,0.7590366429636933,0.5325423258171081
Ei,2,2,16,128,160,0.770738815758236,296,74,0.8756988988382759,0.35665844640849864
Ei,2,3,10,80,100,0.8626973640187328,296,74,0.7580684369570186,0.45836575445716826
Ei,2,4,31,248,310,0.8191537042034841,296,74,0.872532377948332,0.36044678940203273
Ei,2,5,24,192,240,0.8309287638906145,296,74,0.6788559245160829,0.508379942053288
Ei,3,1,15,120,150,0.8719373160954801,296,74,0.7329513532654826,0.5334736166632804
Ei,3,2,12,96,120,0.8999345232177197,296,74,0.7777281802324861,0.46672592475027774
Ei,3,3,10,80,100,0.8852411402925905,296,74,0.8074486441341947,0.44386926647805813
Ei,3,4,9,72,90,0.8087089058141131,296,74,0.8695346465553773,0.3639797687717029
Ei,3,5,3,24,50,0.7172463518720793,296,74,0.729173790868328,0.4627617614023161
Xc,1,1,20,180,220,0.46208407755219816,345,87,0.033603009999077726,18.956703966905973
Xc,1,2,7,63,77,0.4474432995309017,345,87,0.28332852394005936,21.728983783072284
Xc,1,3,5,45,55,0.3985964169074513,346,86,0.3281517480480609,20.23404998108848
Xc,1,4,59,531,649,0.4169073363733584,346,86,0.6315518369646114,15.956102156988333
Xc,1,5,8,72,88,0.3295270631672931,346,86,0.3847523234732898,16.853174795211935
Xc,2,1,14,126,154,0.6506465984965011,345,87,0.2232042681030565,18.00360417928152
Xc,2,2,8,72,88,0.36150192188964025,346,86,0.4979307558554188,18.503453882393956
Xc,2,3,17,153,187,0.3441813492928528,345,87,0.2974532544325962,20.306314962841377
