task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Eat,1,1,55,440,550,0.9924250034138117,312,78,0.9954395555163368,0.02399649763187447
Eat,1,2,28,224,280,0.9833391655590872,312,78,0.9873679404393674,0.042316726194570844
Eat,1,3,13,104,130,0.9918364510442579,312,78,0.982168313408222,0.04348564947048383
Eat,1,4,51,408,510,0.9898088184632207,312,78,0.9851980505356662,0.04617850298977866
Eat,1,5,91,728,910,0.985780443198989,312,78,0.9878661122992067,0.03977727032011078
Eat,2,1,17,136,170,0.993543228805225,312,78,0.9821071182626336,0.051102868274027234
Eat,2,2,36,288,360,0.9931769586181793,312,78,0.9894634539470231,0.03916822947635491
Eat,2,3,139,1112,1390,0.9934994759342534,312,78,0.980765234205667,0.044905490783014895
Eat,2,4,28,224,280,0.9919294075915255,312,78,0.9863859744028248,0.04303269338921435
Eat,2,5,54,432,540,0.9843614373347697,312,78,0.9810201726053502,0.04557291969890312
Eat,3,1,132,1056,1320,0.9866052889038005,312,78,0.9868436310488198,0.04139476877055292
Eat,3,2,35,280,350,0.9910617359111328,312,78,0.9856312910113546,0.04266779740560054
Eat,3,3,112,896,1120,0.9894659303302821,312,78,0.9912816707907255,0.03361446553853292
Eat,3,4,18,144,180,0.9900614168982617,312,78,0.9908079039044029,0.03251763905715303
Eat,3,5,33,264,330,0.9848875772931274,312,78,0.9891535437871581,0.039741123220159234
Eea,1,1,25,200,250,0.9090324070086864,294,74,0.9088172182337412,0.3329125004192378
Eea,1,2,9,72,90,0.9208274838432567,294,74,0.8534088480684461,0.38722358255101647
Eea,1,3,25,200,250,0.8948418837434462,294,74,0.9148504629483929,0.32175072119367465
Eea,1,4,80,640,800,0.9263119111305014,295,73,0.895610446501917,0.3648018769651348
Eea,1,5,59,472,590,0.9145151429642291,295,73,0.9425784544622111,0.2593298695986827
Eea,2,1,142,1136,1420,0.9271217798896013,294,74,0.9221523614058063,0.2960990132074764
Eea,2,2,13,104,130,0.9310819339548706,294,74,0.850924484077722,0.4149629443165098
Eea,2,3,62,496,620,0.9306850996871334,294,74,0.930323424613265,0.3113193895401384
Eea,2,4,88,704,880,0.9398582472057406,295,73,0.9305380757134756,0.2748445018306617
Eea,2,5,179,1432,1790,0.9438609251349556,295,73,0.9037996161714963,0.3193293404194476
Eea,3,1,43,344,430,0.9220469521367509,294,74,0.910863538335048,0.3568615579644649
Eea,3,2,119,952,1190,0.9599248409496194,294,74,0.9100906713351641,0.32527477406779637
Eea,3,3,28,224,280,0.9242609624040996,294,74,0.9295840741653697,0.28699486891651843
Eea,3,4,56,448,560,0.9176227005303701,295,73,0.9142923244618979,0.31141830797618425
Eea,3,5,23,184,230,0.9179605980697859,295,73,0.9020723829173691,0.31055480254625706
Egb,1,1,36,432,504,0.9543296332606578,448,113,0.9524930887306426,0.4582769876193938
Egb,1,2,46,552,690,0.9519535189895298,449,112,0.8840963431583406,0.6877793805074427
Egb,1,3,60,720,900,0.8676940445661971,449,112,0.8847021555750261,0.634426449783641
Egb,1,4,42,504,630,0.9169928620822292,449,112,0.8898842236709888,0.5918782262091035
Egb,1,5,68,816,1020,0.9104528337980551,449,112,0.9496794466547654,0.43536791716969214
Egb,2,1,73,876,1022,0.9417848254974214,448,113,0.8101740213830437,0.8040663524704271
Egb,2,2,97,1164,1455,0.9260203603431028,449,112,0.9570352406947359,0.44065270349669267
Egb,2,3,130,1560,1950,0.9325553221116805,449,112,0.91988768066708,0.5190892004550149
Egb,2,4,42,504,630,0.9453326219869183,449,112,0.9125376842018719,0.5932761932483301
Egb,2,5,180,2160,2700,0.927614031419528,449,112,0.9061755822010946,0.5601425104434029
Egb,3,1,45,540,630,0.9137452184491873,448,113,0.867769089617039,0.7501172509009628
Egb,3,2,164,1968,2460,0.9283576288700924,449,112,0.9529659055332261,0.4169577798674778
Egb,3,3,31,372,465,0.9098781405623139,449,112,0.9187187292537028,0.5405455420995595
Egb,3,4,46,552,690,0.9043657343675824,449,112,0.9055690229299267,0.6179809833340121
Egb,3,5,47,564,705,0.9039827395291845,449,112,0.8796441396356734,0.6373384326407211
Egc,1,1,84,5712,7140,0.9049016989555184,2704,676,0.8825468620453495,0.544226386888919
Egc,1,2,99,6732,8415,0.9116882773829638,2703,677,0.87712356132488,0.5578137984213993
Egc,1,3,39,2652,3315,0.9026815845542915,2704,676,0.8987628255589339,0.5028332234815537
Egc,1,4,84,5712,7140,0.8991981275132812,2704,676,0.9049549461265297,0.4786647661723729
Egc,1,5,26,1768,2210,0.8882191906367326,2705,675,0.8863607400214036,0.5037822714829264
Egc,2,1,40,2720,3400,0.9051277717455315,2703,677,0.8802278547466931,0.5339575559035011
Egc,2,2,27,1836,2295,0.9047384167821221,2704,676,0.8909297255940785,0.5087484293045564
Egc,2,3,61,4148,5185,0.8976785601986473,2704,676,0.9068838718523279,0.48738441528859605
Egc,2,4,40,2720,3400,0.8994806136892297,2704,676,0.8908726939871667,0.5121573114363888
Egc,2,5,42,2856,3570,0.8678300037848024,2705,675,0.8737874605444576,0.5615965072954544
Egc,3,1,19,1292,1615,0.8813691886222143,2704,676,0.9084485907509442,0.47812108457237823
Egc,3,2,45,3060,3825,0.8930284123090942,2704,676,0.9139996050858574,0.45574668659505
Egc,3,3,67,4556,5695,0.8965715091598091,2703,677,0.887408779194341,0.5225662780859521
Egc,3,4,33,2244,2805,0.9028938792569308,2704,676,0.8775011407852693,0.5460719513636957
Egc,3,5,22,1496,1870,0.8973983058045801,2705,675,0.8751605639484696,0.5505088656835817
Ei,1,1,25,200,250,0.8538211093773667,296,74,0.8747362103154771,0.35945866088971135
