task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Eat,1,1,113,904,1130,0.9685629876746169,312,78,0.9825672155570662,0.04691672114207281
Eat,1,2,60,480,600,0.9807863323735475,312,78,0.9614993430246588,0.07387696563309246
Eat,1,3,104,832,1040,0.9803070290162732,312,78,0.974585325682583,0.051914900252563206
Eat,1,4,10,80,100,0.9473736313840753,312,78,0.9586220502271889,0.07720845738109121
Eat,1,5,57,456,570,0.9588672729205352,312,78,0.9659547281804268,0.06662901517118659
Eat,2,1,114,912,1140,0.9780617428931219,312,78,0.9850420637198497,0.04672410275288855
Eat,2,2,92,736,920,0.9777484651247019,312,78,0.9745319403416588,0.06089515425924696
Eat,2,3,31,248,310,0.9768247784979791,312,78,0.9721261286327042,0.054057336284405594
Eat,2,4,55,440,550,0.9806864664166062,312,78,0.9685108136798534,0.06544643084325394
Eat,2,5,129,1032,1290,0.9805035649365879,312,78,0.9378896398912762,0.08244090441596866
Eat,3,1,21,168,210,0.934623800215391,312,78,0.9490191514459857,0.08148561897176815
Eat,3,2,83,664,830,0.9822365463272671,312,78,0.9357098593259198,0.09025339299946586
Eat,3,3,18,144,180,0.960439307018583,312,78,0.9557654815412946,0.07571644766801075
Eat,3,4,52,416,520,0.9573669036523967,312,78,0.9627083983143667,0.06549637238393827
Eat,3,5,36,288,360,0.9652674452492248,312,78,0.9762151199719595,0.05885002971998852
Eea,1,1,95,760,950,0.9040096334924286,294,74,0.8842954240006687,0.37501526976655364
Eea,1,2,9,72,90,0.8796280157868682,294,74,0.8148039292843352,0.4352349914433002
Eea,1,3,129,1032,1290,0.8983916278823303,294,74,0.9026976081660295,0.3439459036927251
Eea,1,4,35,280,350,0.8709875018122515,295,73,0.859732678558188,0.4228699224025491
Eea,1,5,18,144,180,0.8586082214641483,295,73,0.8181156468129532,0.4615436421295702
Eea,2,1,37,296,370,0.8996318311985111,294,74,0.8849188156410234,0.36001152148554955
Eea,2,2,117,936,1170,0.878747616195907,294,74,0.8704192570023394,0.3868800977061948
Eea,2,3,131,1048,1310,0.9039021818369808,294,74,0.891193215064393,0.389036868364952
Eea,2,4,29,232,290,0.921436821752966,295,73,0.9115805772727958,0.31008980356138643
Eea,2,5,114,912,1140,0.9160977088696063,295,73,0.8712225088245364,0.36946253141108215
Eea,3,1,33,264,330,0.9189068531221866,294,74,0.9058585533523461,0.36674356793935237
Eea,3,2,127,1016,1270,0.9251069548901429,294,74,0.8835148290916337,0.3702399912868928
Eea,3,3,10,80,100,0.8897218166019841,294,74,0.8826307302622864,0.3705236098340939
Eea,3,4,55,440,550,0.8487928960996116,295,73,0.9090365905893698,0.320824589477497
Eea,3,5,172,1376,1720,0.8873895568645779,295,73,0.8903482856886616,0.3286195293478613
Egb,1,1,34,408,476,0.9294653223723763,448,113,0.896381569938551,0.6768121650634771
Egb,1,2,52,624,780,0.912914181198526,449,112,0.792589110049137,0.9200604446350581
Egb,1,3,11,132,165,0.8368860771621366,449,112,0.7324681105136808,0.9664034356836932
Egb,1,4,16,192,240,0.8886711466287662,449,112,0.8218216833915173,0.7528960468976119
Egb,1,5,6,72,90,0.8771985788343105,449,112,0.8922526901331311,0.6370696797166773
