task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Eat,1,1,65,520,650,0.9730022765170044,312,78,0.9779414142372778,0.05277559102405444
Eat,1,2,153,1224,1530,0.9755334145701299,312,78,0.9732628965618417,0.061564755234896414
Eat,1,3,100,800,1000,0.9850000766712455,312,78,0.9808683385127677,0.045042874026783294
Eat,1,4,93,744,930,0.9835623745362718,312,78,0.9731447326881816,0.06220067979220024
Eat,1,5,172,1376,1720,0.9665647196162036,312,78,0.962307250239575,0.0701074065477056
Eat,2,1,112,896,1120,0.9660474928103956,312,78,0.9709698144423464,0.0650923628686623
Eat,2,2,48,384,480,0.9768026946697654,312,78,0.9678398002687384,0.06842962725425986
Eat,2,3,65,520,650,0.9825040730264419,312,78,0.9855554890755223,0.03891413818796651
Eat,2,4,149,1192,1490,0.9815864808327107,312,78,0.9755828452255765,0.05763055152232964
Eat,2,5,44,352,440,0.9788154573456721,312,78,0.9685003852169817,0.05871017099717776
Eat,3,1,78,624,780,0.9715576484976745,312,78,0.9673725713039281,0.06518818112090034
Eat,3,2,134,1072,1340,0.9702825364367984,312,78,0.9842633766579354,0.04465263835736834
Eat,3,3,139,1112,1390,0.9630972726670236,312,78,0.9648747454159713,0.06747133739597258
Eat,3,4,127,1016,1270,0.9708174343290483,312,78,0.979597437119169,0.04844557229854488
Eat,3,5,115,920,1150,0.9732587383340898,312,78,0.9774081230483184,0.057355142208148684
Eea,1,1,174,1392,1740,0.9041440444000887,294,74,0.8904360572238151,0.3649282715942231
Eea,1,2,70,560,700,0.9212570082597286,294,74,0.8601272702381245,0.3782460881626514
Eea,1,3,80,640,800,0.8612129555339515,294,74,0.881760688885203,0.3791484884047174
Eea,1,4,42,336,420,0.8598121975255107,295,73,0.8806030258903322,0.3901442444787578
Eea,1,5,28,224,280,0.846683086156442,295,73,0.8774951945270906,0.37878403438614405
Eea,2,1,87,696,870,0.8814364069887712,294,74,0.9000595523641622,0.33549409726706825
Eea,2,2,59,472,590,0.9213970629984319,294,74,0.8690348382012696,0.3889412878341329
Eea,2,3,27,216,270,0.847408399252198,294,74,0.8917479597473406,0.38804386080976255
Eea,2,4,52,416,520,0.9392033374463193,295,73,0.9005582378584711,0.32885015742930473
Eea,2,5,88,704,880,0.9254110582234514,295,73,0.8616904502193342,0.3828921876926829
Eea,3,1,51,408,510,0.8817522164293475,294,74,0.8851755205718269,0.4050319795126539
Eea,3,2,193,1544,1930,0.8971746091646746,294,74,0.8776522615582484,0.3794425055691484
Eea,3,3,68,544,680,0.8980423490220228,294,74,0.8922434904179656,0.3550262318588904
Eea,3,4,71,568,710,0.8602488705321123,295,73,0.8994812767009416,0.33725450860392286
Eea,3,5,33,264,330,0.9112387345891269,295,73,0.8552592402664593,0.37755574264950165
Egb,1,1,34,408,476,0.9209396850395397,448,113,0.8920092087715292,0.6909442607399561
Egb,1,2,52,624,780,0.9257375500271392,449,112,0.8481163802993548,0.7873286437043073
Egb,1,3,37,444,555,0.8718680178624563,449,112,0.851506507056152,0.7199865746667061
Egb,1,4,42,504,630,0.8892261487694045,449,112,0.8817685203210728,0.6133016788885689
Egb,1,5,88,1056,1320,0.882536836449697,449,112,0.9013979244497993,0.6094340938517775
Egb,2,1,40,480,560,0.9444325210851724,448,113,0.80092452604941,0.823422906165025
Egb,2,2,34,408,510,0.8683071309208564,449,112,0.9233422111582907,0.5885974705395958
Egb,2,3,145,1740,2175,0.8847895488560672,449,112,0.8762189678114517,0.6452371895986498
Egb,2,4,38,456,570,0.9057246668695819,449,112,0.8939444262185801,0.653300791446722
Egb,2,5,116,1392,1740,0.9105937754870046,449,112,0.8656546728605696,0.6702732338593275
Egb,3,1,69,828,966,0.9043233450874677,448,113,0.8413060761730576,0.8217558578035431
Egb,3,2,53,636,795,0.9106219850765479,449,112,0.9294286861032491,0.5107399029771912
