task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Eat,1,1,86,688,860,0.9722499099268844,312,78,0.9844484453601685,0.0443130025953344
Eat,1,2,69,552,690,0.9725208236092616,312,78,0.9782784624329649,0.05549070735425792
Eat,1,3,87,696,870,0.9766216359265595,312,78,0.9669050072784218,0.0592421613337244
Eat,1,4,136,1088,1360,0.9817231297040432,312,78,0.9445061876616334,0.08941341284854246
Eat,1,5,71,568,710,0.9491176219881104,312,78,0.9586069037636946,0.07346812355837264
Eat,2,1,101,808,1010,0.9838072187775614,312,78,0.9694554339055506,0.06676857553866204
Eat,2,2,55,440,550,0.9603814574666067,312,78,0.9794419978839,0.054711076353539834
Eat,2,3,34,272,340,0.9568367000067971,312,78,0.9633870691520119,0.06195455524116267
Eat,2,4,149,1192,1490,0.9692674204264499,312,78,0.9496723708650874,0.08273866013334241
Eat,2,5,60,480,600,0.9774675808881189,312,78,0.9608997285626306,0.06541097310517555
Eat,3,1,39,312,390,0.9690972649738697,312,78,0.978014525024936,0.05351128316628743
Eat,3,2,19,152,190,0.9767117987642083,312,78,0.9559587096021721,0.07470013168134468
Eat,3,3,65,520,650,0.9758011078935234,312,78,0.9434613463867891,0.08560168420392154
Eat,3,4,119,952,1190,0.9597971418561954,312,78,0.9734294838230693,0.05528556138187081
Eat,3,5,54,432,540,0.9656851108897206,312,78,0.953714514565789,0.08209536070396392
Eea,1,1,44,352,440,0.9178827105752644,294,74,0.9126848011755603,0.32577564071620374
Eea,1,2,117,936,1170,0.9314990092970791,294,74,0.8605946312767092,0.37761363679013416
Eea,1,3,65,520,650,0.896143899454569,294,74,0.9278099630953913,0.29625590493197157
Eea,1,4,25,200,250,0.9086818685427683,295,73,0.9020517277320581,0.35336776858659474
Eea,1,5,26,208,260,0.9063585665726359,295,73,0.9103694787027165,0.3239985480634122
Eea,2,1,121,968,1210,0.9337770202328263,294,74,0.9399477449912773,0.26006319780118725
Eea,2,2,14,112,140,0.8888440749067198,294,74,0.8333726873285352,0.4387117346385616
Eea,2,3,28,224,280,0.9027060376923802,294,74,0.93128487961681,0.30916400708898273
Eea,2,4,61,488,610,0.9391784134277827,295,73,0.9213832527020922,0.2923958362810377
Eea,2,5,99,792,990,0.9295157085937638,295,73,0.8833917650958354,0.3515726093390551
Eea,3,1,86,688,860,0.9126878825034108,294,74,0.911136245176317,0.35631524316029295
Eea,3,2,131,1048,1310,0.9171613118732306,294,74,0.9268191085385508,0.2934586087242935
Eea,3,3,93,744,930,0.9210163022999293,294,74,0.9295592354816754,0.28704548208505676
Eea,3,4,15,120,150,0.8913737827160692,295,73,0.8833523351016348,0.36330577971687505
Eea,3,5,41,328,410,0.9052641763182533,295,73,0.9000030497347357,0.3138188552506647
Egb,1,1,39,468,546,0.9252474867430458,448,113,0.9274550506661917,0.5663087123087198
Egb,1,2,63,756,945,0.8961461276644325,449,112,0.8859406217439368,0.6822854067086344
Egb,1,3,15,180,225,0.8636744437595012,449,112,0.7959085403061759,0.8440790140710795
Egb,1,4,83,996,1245,0.8939570511079852,449,112,0.8547439941968501,0.6797897940800054
Egb,1,5,57,684,855,0.8811849916350617,449,112,0.9195070441837624,0.550633532933058
Egb,2,1,78,936,1092,0.8756678668201636,448,113,0.749905345860457,0.9229247004635716
Egb,2,2,36,432,540,0.8993581570487462,449,112,0.8471832086061248,0.8310473821518584
Egb,2,3,103,1236,1545,0.8709886919525457,449,112,0.881877497710381,0.6303164771273078
Egb,2,4,9,108,135,0.8934481027795813,449,112,0.9156316268171142,0.5826882664879723
Egb,2,5,62,744,930,0.8800719489692341,449,112,0.8630194472470661,0.676815118938684
Egb,3,1,77,924,1078,0.9018238530128703,448,113,0.8224233729023733,0.8692717394512219
Egb,3,2,17,204,255,0.8980197467583948,449,112,0.906545317704467,0.587741315594051
Egb,3,3,41,492,615,0.8921271385144507,449,112,0.8812063607652509,0.6534820176096336
Egb,3,4,30,360,450,0.8501533441189395,449,112,0.9058745354703852,0.6169804965208723
Egb,3,5,77,924,1155,0.8325445487799183,449,112,0.8879983640897829,0.6148209676953496
Egc,1,1,63,4284,5355,0.8870806199330934,2704,676,0.87066756481961,0.5710853378552107
Egc,1,2,136,9248,11560,0.8784970368281645,2703,677,0.8629974115538734,0.5890054746289713
Egc,1,3,118,8024,10030,0.8788366243547308,2704,676,0.8804894416774289,0.5463325735578312
Egc,1,4,54,3672,4590,0.8768773163951913,2704,676,0.8802093986246018,0.5373757606405044
Egc,1,5,76,5168,6460,0.8734325655264866,2705,675,0.877048883781473,0.5240164488917419
Egc,2,1,54,3672,4590,0.8915536866465865,2703,677,0.8751566048891888,0.545144465974314
Egc,2,2,42,2856,3570,0.8750806951907375,2704,676,0.8657706158253753,0.5643826798646632
Egc,2,3,79,5372,6715,0.8762028078707564,2704,676,0.8688964851316179,0.5783175220868912
Egc,2,4,20,1360,1700,0.8758705347036968,2704,676,0.872111380012485,0.5544375177186481
Egc,2,5,54,3672,4590,0.8502284194216544,2705,675,0.8515059994747125,0.6091547000240903
Egc,3,1,47,3196,3995,0.8747884299721227,2704,676,0.8812690581203588,0.5444867749280797
Egc,3,2,7,476,595,0.8626665077022018,2704,676,0.8691890703965184,0.5620763511301331
Egc,3,3,44,2992,3740,0.8760141424079058,2703,677,0.8809869038232148,0.5372624565114796
