task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Density,1,1,89,1157,1424,0.8325396287132321,490,123,0.8092569043952189,0.060280998666780175
Density,1,2,7,91,112,0.910270304800904,490,123,0.7344369316835104,0.06872780319714973
Density,1,3,26,338,416,0.8116236330614224,490,123,0.854720332666909,0.05969440282480111
Density,1,4,92,1196,1472,0.8872938415771603,491,122,0.7551382382580903,0.07727772985306984
Density,1,5,71,923,1136,0.9040047635694913,491,122,0.8474592254711447,0.05596494744477194
Density,2,1,36,468,576,0.8785470842222889,490,123,0.5946933270802581,0.09540415740670581
Density,2,2,3,39,50,0.8641044757253792,490,123,0.6296836642479076,0.08130901261101099
Density,2,3,31,403,496,0.8789907893584183,490,123,0.8095045399980291,0.06734837588288542
Density,2,4,58,754,928,0.6521392470514973,491,122,0.9152431811076832,0.03931149915694838
Density,2,5,6,78,96,0.7586889133554874,491,122,0.7067220761275659,0.08368010539145992
Density,3,1,74,962,1184,0.9332997487200432,490,123,0.660608139629555,0.09292050022903267
Density,3,2,54,702,864,0.8134742490181809,490,123,0.8117936850364971,0.06484824315422619
Density,3,3,5,65,80,0.7245839179428771,490,123,0.6553668792117135,0.08797303515478692
Density,3,4,19,247,304,0.7464288583163148,491,122,0.7832204795376092,0.06832355988119244
Density,3,5,158,2054,2528,0.8666166955749661,491,122,0.8051114997210033,0.05299636094316461
FFV,1,1,75,10575,13200,0.832447955053943,5610,1402,0.7081931231096054,0.016863059565435545
FFV,1,2,78,10998,13728,0.877473870389498,5608,1404,0.8196020597484878,0.012444576691509895
FFV,1,3,47,6627,8272,0.8919505988455225,5609,1403,0.8224870100942878,0.012046791103620124
FFV,1,4,127,17907,22352,0.8674174544731825,5610,1402,0.8634349311829858,0.011164480890108889
FFV,1,5,150,21150,26400,0.878483625282467,5611,1401,0.8359836541772719,0.011636772145718899
FFV,2,1,192,27072,33792,0.7218713195762377,5609,1403,0.8137874111589525,0.01309634698492508
FFV,2,2,171,24111,30096,0.8901326341670914,5608,1404,0.868321024725149,0.010477416905365366
FFV,2,3,78,10998,13728,0.8860484725237964,5609,1403,0.7330504203124004,0.015448417597963148
FFV,2,4,87,12267,15312,0.852466683272241,5611,1401,0.8942977923227042,0.008985368258356573
FFV,2,5,96,13536,16896,0.8415193269076882,5611,1401,0.7105493982794306,0.016811066332172865
FFV,3,1,107,15087,18832,0.7766819732658288,5609,1403,0.8749544086945658,0.009801249546205544
FFV,3,2,40,5640,7040,0.7937865847046399,5608,1404,0.8207870318944926,0.012505447290295063
FFV,3,3,61,8601,10736,0.722098531702166,5609,1403,0.867730557733718,0.00963039340659553
FFV,3,4,182,25662,32032,0.7483537704235932,5611,1401,0.663749298398654,0.020039231393524086
FFV,3,5,197,27777,34672,0.8840606921370167,5611,1401,0.8567187911390131,0.011043214312960573
Rg,1,1,96,1248,1536,0.8272886236585513,491,123,0.7481428192868189,2.2779042772060287
Rg,1,2,40,520,640,0.7203146368207229,491,123,0.6672098684244625,2.829308475244329
Rg,1,3,37,481,592,0.7600352614256694,491,123,0.7758320628945065,2.0623904445545045
Rg,1,4,91,1183,1456,0.8149996243281974,491,123,0.7363369954431892,2.25114387663669
Rg,1,5,34,442,544,0.7329574074360379,492,122,0.6649305817698932,2.7394239978071955
Rg,2,1,40,520,640,0.8293037958167127,491,123,0.6146031092672894,2.5430994564870044
Rg,2,2,18,234,288,0.8610053987581197,491,123,0.781732265296283,2.2248418583870486
Rg,2,3,69,897,1104,0.7387799130495425,491,123,0.7342937344237498,2.4724036494133412
Rg,2,4,103,1339,1648,0.7504635191312052,491,123,0.7065525617872368,2.383873081803898
Rg,2,5,146,1898,2336,0.7910294415842212,492,122,0.707536875240352,2.6049507628063764
Rg,3,1,70,910,1120,0.7655571977310032,491,123,0.6761512734447973,2.760308963545677
Rg,3,2,166,2158,2656,0.727367755498888,491,123,0.7680563989059017,2.1323757035958617
Rg,3,3,9,117,144,0.7637445753068993,491,123,0.6908433964016787,2.3765102685017854
Rg,3,4,72,936,1152,0.773425324249561,491,123,0.7793489665950213,2.27462536801004
Rg,3,5,47,611,752,0.7364821244307604,492,122,0.7571649751993822,2.2063229740252748
Tc,1,1,68,1020,1292,0.8085456693694231,589,148,0.7176253868761953,0.046587456136965015
Tc,1,2,6,90,114,0.73290538451276,589,148,0.8393016810654885,0.03634026346766807
Tc,1,3,8,120,152,0.7279478415718944,590,147,0.8247668077979993,0.0360792076311913
Tc,1,4,67,1005,1273,0.8699751489011682,590,147,0.729541594361846,0.04821357965654558
Tc,1,5,7,105,133,0.7617287766722842,590,147,0.781445452417143,0.04121492438790422
Tc,2,1,8,120,152,0.8582978309763786,589,148,0.7517628480652689,0.04219332787398224
Tc,2,2,20,300,380,0.8253366236704704,589,148,0.7947555375858688,0.041879350389282116
Tc,2,3,96,1440,1824,0.8092816456493181,590,147,0.7948819928417478,0.039622652973289804
Tc,2,4,34,510,646,0.7930790156064885,590,147,0.7759058193348214,0.0422907060529315
Tc,2,5,91,1365,1729,0.8573088200763095,590,147,0.7127957846611291,0.04897784909297542
Tc,3,1,21,315,399,0.7865477489469084,589,148,0.7557166143620665,0.04145615627343811
Tc,3,2,120,1800,2280,0.7309133545492968,589,148,0.8699762163739455,0.034368412906389215
Tc,3,3,3,45,57,0.7415203880518673,590,147,0.7292896446630599,0.04467749824148722
Tc,3,4,120,1800,2280,0.8975015631918305,590,147,0.7383815810070009,0.049105353898601954
Tc,3,5,21,315,399,0.7885614178413083,590,147,0.8186950459610196,0.03573234964404693
Tg,1,1,11,121,143,0.6119713978540215,408,103,0.6435068387452281,62.3870642461022
Tg,1,2,22,242,286,0.6911744937885568,409,102,0.699028576448539,61.251422910808586
Tg,1,3,12,132,156,0.615510676484365,409,102,0.5214420974975285,83.01907122470762
Tg,1,4,7,77,91,0.6595710418320113,409,102,0.6196782884745875,69.0491142155389
Tg,1,5,15,165,195,0.6623156357178654,409,102,0.6121527968284936,64.41600820061721
Tg,2,1,16,176,208,0.5467028836215366,408,103,0.7248145907591967,61.64640246762243
Tg,2,2,15,165,195,0.7326879797424715,409,102,0.5372096548209603,64.43127593645919
Tg,2,3,12,132,156,0.7169997421065403,409,102,0.6723776609381072,67.86318680269056
Tg,2,4,18,198,234,0.6182669908791852,409,102,0.5664453707725077,73.90919732263181
Tg,2,5,26,286,338,0.6861561743491281,409,102,0.2731440398020446,91.45557983950675
Tg,3,1,11,121,143,0.5503455621695762,408,103,0.6678441452698247,60.107124575911136
Tg,3,2,18,198,234,0.7486945023982816,409,102,0.5473596101265783,72.57057759959609
Tg,3,3,16,176,208,0.7270812739590738,409,102,0.590655652044547,74.85225701366512
Tg,3,4,19,209,247,0.5874970623620029,409,102,0.6613983306425472,63.002212381999044
Tg,3,5,21,231,273,0.589340794101334,409,102,0.5805328370803875,75.53331472436433
