task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Density,1,1,79,1027,1264,0.8690016840036755,490,123,0.9152722620529317,0.040176197583544876
Density,1,2,51,663,816,0.913042555652919,490,123,0.8706359951270262,0.04796841290587792
Density,1,3,42,546,672,0.8818731275330431,490,123,0.9191706180681192,0.04452621946246343
Density,1,4,104,1352,1664,0.9469820593979296,491,122,0.8146200792483902,0.06723961478622484
Density,1,5,53,689,848,0.9176184226123537,491,122,0.8329053582331928,0.0585739333161501
Density,2,1,74,962,1184,0.9258801219973793,490,123,0.7283056550376414,0.07811163400682936
Density,2,2,39,507,624,0.920677564434558,490,123,0.882816510369079,0.045738873620218744
Density,2,3,57,741,912,0.8905918842987389,490,123,0.923974111296634,0.04254666903494006
Density,2,4,38,494,608,0.8070552768099485,491,122,0.8581420264666993,0.05085798597770431
Density,2,5,12,156,192,0.8267556049965402,491,122,0.9188141722384707,0.04402735986245689
Density,3,1,63,819,1008,0.9477830344123606,490,123,0.8105642857008551,0.06942114266680426
Density,3,2,110,1430,1760,0.9003790189254836,490,123,0.8889575984934439,0.049811032263032365
Density,3,3,4,52,64,0.5429672224297624,490,123,0.754891485118438,0.07419083666107325
Density,3,4,3,39,50,0.7561611122136592,491,122,0.7845016156952914,0.06812136944488728
Density,3,5,65,845,1040,0.8778494276305947,491,122,0.872034886742269,0.042943628306294
FFV,1,1,26,3666,4576,0.8573989911161743,5610,1402,0.734167070264133,0.016095074884579025
FFV,1,2,16,2256,2816,0.8952570726903422,5608,1404,0.8744345555329933,0.010382439529243516
FFV,1,3,107,15087,18832,0.9109949841358057,5609,1403,0.9186935927156489,0.008153023528383922
FFV,1,4,89,12549,15664,0.8944266003483586,5610,1402,0.8799063504337186,0.010469567522919238
FFV,1,5,87,12267,15312,0.9010811378777962,5611,1401,0.8546924703947893,0.01095299840465901
FFV,2,1,57,8037,10032,0.7115879710447492,5609,1403,0.8383669717510494,0.01220142933243251
FFV,2,2,45,6345,7920,0.9222978644998595,5608,1404,0.8808173359177278,0.00996787425189054
FFV,2,3,73,10293,12848,0.9161948113601797,5609,1403,0.8233659454618945,0.01256627614079046
FFV,2,4,17,2397,2992,0.8994248732013229,5611,1401,0.9001096013337352,0.008734855507278082
FFV,2,5,44,6204,7744,0.8018167671293049,5611,1401,0.7269756075324698,0.016327088923989066
FFV,3,1,97,13677,17072,0.8162315117075885,5609,1403,0.9201093861549168,0.007834208641331164
FFV,3,2,23,3243,4048,0.820813504527015,5608,1404,0.8658380315246583,0.010820048927040408
FFV,3,3,15,2115,2640,0.836097745203968,5609,1403,0.9032895603213896,0.008234760001646827
FFV,3,4,116,16356,20416,0.7624169651786632,5611,1401,0.7127397326422729,0.01852197274019706
FFV,3,5,15,2115,2640,0.9130538180347354,5611,1401,0.844416337341025,0.011507550186020007
Rg,1,1,47,611,752,0.7841103086636065,491,123,0.6834196901474155,2.5538786129718747
Rg,1,2,27,351,432,0.7186395404954488,491,123,0.6435994459182491,2.92795411243138
Rg,1,3,62,806,992,0.7681079195914078,491,123,0.7453088238364729,2.1983209042295964
Rg,1,4,24,312,384,0.733356574195593,491,123,0.8023438704019603,1.9490985478795713
Rg,1,5,8,104,128,0.7294299170293209,492,122,0.6531457831025105,2.7871821343730514
Rg,2,1,55,715,880,0.7764510354177054,491,123,0.6050516578124256,2.5744199329012982
Rg,2,2,8,104,128,0.8462811021485306,491,123,0.7452805018329844,2.40345210130707
Rg,2,3,42,546,672,0.7806776280734735,491,123,0.7334030826709658,2.4765439514834373
Rg,2,4,32,416,512,0.7085799511829212,491,123,0.666971382761417,2.5395615644803406
Rg,2,5,8,104,128,0.7838597864113798,492,122,0.76156978936909,2.3520394527712964
Rg,3,1,83,1079,1328,0.7232085350976656,491,123,0.715598867680433,2.586736906535659
Rg,3,2,19,247,304,0.7233372287451778,491,123,0.7512723093054987,2.2081806329503717
Rg,3,3,73,949,1168,0.7731003692523803,491,123,0.7397882761950867,2.180287983842626
Rg,3,4,30,390,480,0.8141638646451846,491,123,0.6847626604367772,2.718790365659485
Rg,3,5,14,182,224,0.7447616750358566,492,122,0.7779920916499512,2.1095880008688592
Tc,1,1,35,525,665,0.8578315432341752,589,148,0.6999197694035795,0.04802582840903321
Tc,1,2,59,885,1121,0.7500980504629414,589,148,0.8708064101095904,0.03258388676767885
Tc,1,3,49,735,931,0.7573712484033323,590,147,0.861705049935012,0.03205176616672032
Tc,1,4,44,660,836,0.8742881043994655,590,147,0.7501020741186823,0.04634474119420593
Tc,1,5,50,750,950,0.7882821449133381,590,147,0.8278096896598317,0.03658296807508088
Tc,2,1,41,615,779,0.8774630851137657,589,148,0.8222295645210281,0.03570591433004593
Tc,2,2,31,465,589,0.8440638316671392,589,148,0.8652148464623306,0.033937921524889225
Tc,2,3,18,270,342,0.795259573604649,590,147,0.8337024467541968,0.035676692591451536
Tc,2,4,8,120,152,0.8594978535097728,590,147,0.7403444922506137,0.045522742285869854
Tc,2,5,26,390,494,0.8659639069312106,590,147,0.7260400972649235,0.04783522328841526
Tc,3,1,22,330,418,0.786395896116133,589,148,0.8068269237647838,0.03686509568641328
Tc,3,2,37,555,703,0.7381229371514659,589,148,0.8361990423812505,0.03857503206829811
Tc,3,3,23,345,437,0.8334650342640442,590,147,0.7619328235357742,0.041897313120570844
Tc,3,4,27,405,513,0.9021154371575414,590,147,0.7664695397628989,0.04639449528794635
Tc,3,5,34,510,646,0.7451587954057772,590,147,0.8577750102571476,0.03164788523034583
Tg,1,1,14,154,182,0.5712216737753711,408,103,0.5615156959799416,69.19042112829294
Tg,1,2,38,418,494,0.6348793236283835,409,102,0.6708905228221753,64.05068005246352
Tg,1,3,5,55,65,0.5666966631469625,409,102,-2.6522398741732522,229.34552529720597
Tg,1,4,11,121,143,0.6606985319794367,409,102,0.5246449392120991,77.19543400716042
Tg,1,5,6,66,78,0.6799784864330735,409,102,0.5833313224741054,66.76654506458841
Tg,2,1,3,33,50,0.5434355584742122,408,103,0.692596791138915,65.15522277222739
Tg,2,2,30,330,390,0.6970504182291359,409,102,0.5242095812013914,65.32996610662777
Tg,2,3,32,352,416,0.7753079739476014,409,102,0.6004645053522983,74.941983008594
Tg,2,4,12,132,156,0.6005860012315014,409,102,0.5663833848071185,73.91448058903012
Tg,2,5,31,341,403,0.6892899053125899,409,102,0.5448803705429912,72.36837371900778
Tg,3,1,7,77,91,0.5728062175737747,408,103,0.058820544640452166,101.17919409308224
Tg,3,2,9,99,117,0.7172503236860633,409,102,0.5257609553878149,74.28182772551209
Tg,3,3,9,99,117,0.7037434694461668,409,102,0.5816235463787778,75.67355175558728
Tg,3,4,10,110,130,0.5483277324907919,409,102,0.6007221448102837,68.41461146633907
Tg,3,5,3,33,50,0.5635757290396994,409,102,-0.049631270684562745,119.48350111329738
