task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Density,1,1,88,1144,1408,0.8711538856611256,490,123,0.7932112804253385,0.06276527664163672
Density,1,2,9,117,144,0.9314455741504004,490,123,0.856236135062779,0.050567734067622994
Density,1,3,26,338,416,0.8853662083616346,490,123,0.9387732930114115,0.03875267129162732
Density,1,4,60,780,960,0.9221533693782286,491,122,0.8177867949632249,0.06666283731531572
Density,1,5,15,195,240,0.9115878011587162,491,122,0.8860241188001309,0.048375961055228844
Density,2,1,76,988,1216,0.9090550030126726,490,123,0.682776796369228,0.0844030025849759
Density,2,2,7,91,112,0.8987347544205777,490,123,0.9128158850615522,0.039452173419696486
Density,2,3,36,468,576,0.9055704770331805,490,123,0.8184430114173482,0.06574932483912205
Density,2,4,7,91,112,0.7442081604789439,491,122,0.9086818997219483,0.04080474949356568
Density,2,5,7,91,112,0.8070459576832376,491,122,0.9308848713736673,0.040622728681947544
Density,3,1,78,1014,1248,0.9609221525851435,490,123,0.7899718085756193,0.07309701193852411
Density,3,2,5,65,80,0.8994176707406492,490,123,0.9272395058795071,0.04032078130919526
Density,3,3,8,104,128,0.8629466336004618,490,123,0.938466119283322,0.03717305224546377
Density,3,4,10,130,160,0.9051768190832437,491,122,0.8829355419651499,0.0502081119464265
Density,3,5,147,1911,2352,0.8987814204679946,491,122,0.8557591469918141,0.04559288598717289
FFV,1,1,59,8319,10384,0.8641633764863672,5610,1402,0.8683226480215839,0.011327763022707266
FFV,1,2,109,15369,19184,0.9090903522409882,5608,1404,0.8790687510679835,0.010189048048355931
FFV,1,3,116,16356,20416,0.9348128736972966,5609,1403,0.9046317473120253,0.008829949563278153
FFV,1,4,155,21855,27280,0.9077185342857025,5610,1402,0.8811935667050314,0.010413307659996884
FFV,1,5,90,12690,15840,0.9056244191480373,5611,1401,0.8744098987508832,0.01018278724822106
FFV,2,1,17,2397,2992,0.7949881035114886,5609,1403,0.8158374652381682,0.013024057233329616
FFV,2,2,137,19317,24112,0.925842907545385,5608,1404,0.9040868520105054,0.008942008508204164
FFV,2,3,185,26085,32560,0.915767084399403,5609,1403,0.8994956225684059,0.009478985716128525
FFV,2,4,104,14664,18304,0.9057982218456404,5611,1401,0.9186005865108803,0.007885050694980649
FFV,2,5,63,8883,11088,0.8759922852541729,5611,1401,0.8385279916229637,0.01255615467317387
FFV,3,1,47,6627,8272,0.8578361250155764,5609,1403,0.8954184169128422,0.008963442983669872
FFV,3,2,46,6486,8096,0.9004497635251749,5608,1404,0.9032962016557137,0.009186208112022537
FFV,3,3,38,5358,6688,0.8539344816110039,5609,1403,0.9100182293103523,0.007943127524116392
FFV,3,4,50,7050,8800,0.8250305092798675,5611,1401,0.7778803171804217,0.016287070746722896
FFV,3,5,165,23265,29040,0.9217905484119507,5611,1401,0.91285273804279,0.008612470659211426
Rg,1,1,29,377,464,0.8152259793620463,491,123,0.7722131587985854,2.1663200404359095
Rg,1,2,37,481,592,0.6775988199140871,491,123,0.5874456225374634,3.150182253704071
Rg,1,3,107,1391,1712,0.7926518595932948,491,123,0.782673962197088,2.030673125664454
Rg,1,4,11,143,176,0.7260738297106928,491,123,0.7593408649572426,2.1506999755508946
Rg,1,5,15,195,240,0.782576679122355,492,122,0.6189435617312249,2.9213696428899927
Rg,2,1,9,117,144,0.7344124736401403,491,123,0.6846115088251286,2.300552573775624
Rg,2,2,17,221,272,0.8461543022204632,491,123,0.7203434679205378,2.518354476430453
Rg,2,3,37,481,592,0.7364649579525442,491,123,0.7502199812322412,2.3971616717308795
Rg,2,4,86,1118,1376,0.7296092435620309,491,123,0.6368103613125775,2.6520682333004686
Rg,2,5,9,117,144,0.7521838953948266,492,122,0.6842994904583213,2.7064599353240086
Rg,3,1,19,247,304,0.7621805015627257,491,123,0.6073921591068251,3.039247605960098
Rg,3,2,4,52,64,0.6118805785624643,491,123,0.7226571890269138,2.3317446242442084
