task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Density,1,1,117,1521,1872,0.8832403643810417,490,123,0.7953678347450748,0.062437136203352304
Density,1,2,14,182,224,0.9277553612727732,490,123,0.8607554407559483,0.04976657360732033
Density,1,3,35,455,560,0.8932096123597932,490,123,0.9211515487196268,0.04397722052006703
Density,1,4,51,663,816,0.9399807047000293,491,122,0.7927626966572676,0.07109316300495461
Density,1,5,24,312,384,0.9225694564555539,491,122,0.8526167689937542,0.0550106989767032
Density,2,1,59,767,944,0.9369170224693886,490,123,0.6956853208768088,0.08266789404701967
Density,2,2,4,52,64,0.921183914582326,490,123,0.8770776284397218,0.046845482581047385
Density,2,3,77,1001,1232,0.9148675063856865,490,123,0.8075817519614974,0.06768741681825015
Density,2,4,14,182,224,0.7458165947121566,491,122,0.8817572668574428,0.04643222676955595
Density,2,5,13,169,208,0.8067866032817719,491,122,0.9152897238567342,0.0449728676308068
Density,3,1,45,585,720,0.9659167926788637,490,123,0.7940692154539105,0.07238048101217837
Density,3,2,5,65,80,0.9208763295710676,490,123,0.903618218539451,0.04640647636380653
Density,3,3,6,78,96,0.8756740218428889,490,123,0.9301572974635253,0.03960331930876572
Density,3,4,7,91,112,0.907473168532978,491,122,0.8790752649788964,0.05102922034974153
Density,3,5,150,1950,2400,0.9196036072261838,491,122,0.9004644976874915,0.03787406748977011
FFV,1,1,33,4653,5808,0.8727973641844196,5610,1402,0.8839118766265368,0.010636102357272074
FFV,1,2,126,17766,22176,0.9099695328288876,5608,1404,0.8966422414285654,0.009419674209674706
FFV,1,3,145,20445,25520,0.9342557114146719,5609,1403,0.9088768144419224,0.008631191590110783
FFV,1,4,38,5358,6688,0.8920336029026412,5610,1402,0.8682180379501683,0.010967223787277252
FFV,1,5,190,26790,33440,0.9115957622021138,5611,1401,0.8850804775032752,0.009740603629626228
