task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Density,1,1,61,793,976,0.8758534752240914,490,123,0.8099726447572606,0.06016779379717161
Density,1,2,4,52,64,0.8255517174417091,490,123,0.7544959762036055,0.06608120149797732
Density,1,3,27,351,432,0.8315862028585106,490,123,0.8244494145099088,0.06561941203597468
Density,1,4,15,195,240,0.8686194283561314,491,122,0.7542398537823927,0.077419363952315
Density,1,5,108,1404,1728,0.897192414743731,491,122,0.8804520573022816,0.04954435513347115
Density,2,1,33,429,528,0.8925139223634024,490,123,0.6765385036666296,0.08522886774274047
Density,2,2,5,65,80,0.8241866446242215,490,123,0.6679666443701541,0.07699155819569971
Density,2,3,45,585,720,0.8217577229401328,490,123,0.8023129758289157,0.06860786332496552
Density,2,4,80,1040,1280,0.7365084931325708,491,122,0.8579156488312546,0.05089854951042093
Density,2,5,106,1378,1696,0.8117564536181272,491,122,0.8228716689716586,0.06503191563761275
Density,3,1,57,741,912,0.913902974528016,490,123,0.6815127066795905,0.09001334127111794
Density,3,2,18,234,288,0.8366476043031286,490,123,0.8403572988149911,0.05972493047806622
Density,3,3,6,78,96,0.4959379641809952,490,123,0.8855053293548977,0.05070650828464629
Density,3,4,82,1066,1312,0.6165239247450036,491,122,0.8514657537526007,0.05655547563186546
Density,3,5,72,936,1152,0.873249243170651,491,122,0.8564365100103176,0.045485706652729364
FFV,1,1,49,6909,8624,0.8252140015204766,5610,1402,0.7881724693038696,0.014367453976436186
FFV,1,2,142,20022,24992,0.8847332940140319,5608,1404,0.8250163581756608,0.012256403965502899
FFV,1,3,103,14523,18128,0.9066270196346328,5609,1403,0.8887455482715341,0.009537070849778635
FFV,1,4,95,13395,16720,0.8923267443044954,5610,1402,0.869041992257937,0.010932884259975907
FFV,1,5,78,10998,13728,0.8743626659571596,5611,1401,0.8514008295059379,0.011076362415741064
FFV,2,1,95,13395,16720,0.6891269717852718,5609,1403,0.7943525537284051,0.01376281634348489
FFV,2,2,79,11139,13904,0.9014790834941787,5608,1404,0.8762474095804235,0.010157180151570296
FFV,2,3,99,13959,17424,0.893160861810667,5609,1403,0.8541498535178457,0.011418861746843244
FFV,2,4,111,15651,19536,0.8718240976393133,5611,1401,0.909790353071902,0.008300807520773713
FFV,2,5,64,9024,11264,0.8000417435456204,5611,1401,0.718813358056942,0.016569346346401274
FFV,3,1,56,7896,9856,0.7259337529264986,5609,1403,0.8884627006493474,0.009256724040875486
FFV,3,2,52,7332,9152,0.864051250668121,5608,1404,0.8716486950558444,0.010583142843668175
FFV,3,3,21,2961,3696,0.7804078400346064,5609,1403,0.8739717127290827,0.009400442225349618
FFV,3,4,36,5076,6336,0.7280731090885475,5611,1401,0.6738194364430874,0.01973687996683986
FFV,3,5,173,24393,30448,0.9045481383244569,5611,1401,0.8642479502902823,0.01074914892367869
Rg,1,1,6,78,96,0.7305827308840298,491,123,0.7016724226937143,2.479162544582762
Rg,1,2,91,1183,1456,0.693678323765802,491,123,0.6703010428035111,2.8161375766778525
Rg,1,3,29,377,464,0.7121175372315934,491,123,0.7400428255677773,2.2209308877455687
Rg,1,4,45,585,720,0.7529705449419662,491,123,0.7936063005489142,1.9917135235483374
Rg,1,5,14,182,224,0.7208728222527694,492,122,0.6826401731952862,2.66604720867204
Rg,2,1,19,247,304,0.7389159562103689,491,123,0.586809779862808,2.6332024989044753
Rg,2,2,33,429,528,0.8126898725685284,491,123,0.7515021642125306,2.373917825834041
Rg,2,3,111,1443,1776,0.7651776184486836,491,123,0.7792883207974666,2.2533628790529585
Rg,2,4,32,416,512,0.7136290207823914,491,123,0.6604407282569313,2.5643409353682176
Rg,2,5,100,1300,1600,0.7517683309408778,492,122,0.7358784227617833,2.4755169371829697
Rg,3,1,114,1482,1824,0.7019628708041623,491,123,0.6829249564182893,2.731288834306578
Rg,3,2,38,494,608,0.6570051866874518,491,123,0.7483942951791183,2.2209192564434477
Rg,3,3,20,260,320,0.6610740605131971,491,123,0.774105117742361,2.0314382585491884
Rg,3,4,52,676,832,0.7981748870520395,491,123,0.6435026573055574,2.89124599351918
Rg,3,5,35,455,560,0.6840306846658719,492,122,0.7602620435429459,2.192208329336514
Tc,1,1,117,1755,2223,0.7999035161181113,589,148,0.7045093692530242,0.047657145928842404
Tc,1,2,80,1200,1520,0.7543208273971784,589,148,0.8027752349187226,0.040259013474428625
Tc,1,3,85,1275,1615,0.7667377569128325,590,147,0.844792605349555,0.03395509963572318
Tc,1,4,3,45,57,0.8834048888282254,590,147,0.7605498947366527,0.04536559920986809
Tc,1,5,44,660,836,0.756248357764948,590,147,0.8198386811121439,0.037420135857026686
Tc,2,1,85,1275,1615,0.9061597403316917,589,148,0.7763784812666965,0.04004674172032268
Tc,2,2,11,165,209,0.8157077611863702,589,148,0.8275329945890149,0.0383899214579646
Tc,2,3,37,555,703,0.8211019013160064,590,147,0.8257934100222933,0.036515222090174805
Tc,2,4,18,270,342,0.8205220818370652,590,147,0.7912122342813133,0.0408208618629703
Tc,2,5,11,165,209,0.8289452363691836,590,147,0.723426030396348,0.048062898212477924
Tc,3,1,7,105,133,0.7982735749775576,589,148,0.7766996801727872,0.03963571893571497
Tc,3,2,9,135,171,0.7263063281931527,589,148,0.8658593860988024,0.03490826163825533
Tc,3,3,3,45,57,0.7827142501394008,590,147,0.7545331024132826,0.04254346697538712
Tc,3,4,40,600,760,0.8984506010930648,590,147,0.7376006263141469,0.04917859125035619
Tc,3,5,4,60,76,0.717435966068284,590,147,0.7837414634936393,0.039025041110294784
Tg,1,1,6,66,78,0.5381556915849354,408,103,0.5533689779719672,69.83021680732813
Tg,1,2,22,242,286,0.6387910710273295,409,102,0.5987484438874182,70.72320208912824
Tg,1,3,4,44,52,0.5051357064925348,409,102,0.5843680425431967,77.36866276181762
Tg,1,4,58,638,754,0.6293475370689975,409,102,0.5219594006707504,77.4131863264298
Tg,1,5,5,55,65,0.6309066465873054,409,102,0.625639618153353,63.286112260263145
Tg,2,1,6,66,78,0.5007335999989837,408,103,0.5648480291878643,77.5203122024049
Tg,2,2,172,1892,2236,0.6569265490521543,409,102,0.5004167860728383,66.9435139925532
Tg,2,3,10,110,130,0.6878017181123746,409,102,0.5899252032972613,75.92399217209558
Tg,2,4,29,319,377,0.615329134905044,409,102,0.4215745159121609,85.3690171097621
Tg,2,5,28,308,364,0.5795237479224511,409,102,0.47875243761344954,77.44761497798751
Tg,3,1,3,33,50,0.445305149035358,408,103,0.6287777776118033,63.543624005783215
Tg,3,2,4,44,52,0.6698126300107587,409,102,0.4591420316278184,79.32782442195148
Tg,3,3,18,198,234,0.7470754228319354,409,102,0.5361942405713578,79.67619203285864
Tg,3,4,5,55,65,0.48742618274087557,409,102,0.6821032007155783,61.045594927676945
Tg,3,5,18,198,234,0.5278017580846226,409,102,0.5674262785898756,76.70428497329563
