task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Density,1,1,199,2587,3184,0.7951807547299099,490,123,0.7095060535482358,0.07439171461010338
Density,1,2,12,156,192,0.9201655089975949,490,123,0.6988869703518454,0.07318353740897875
Density,1,3,61,793,976,0.7907992720221289,490,123,0.7223549976210497,0.08252321208485479
Density,1,4,64,832,1024,0.8805628064500426,491,122,0.7863246630912534,0.07218900723910643
Density,1,5,47,611,752,0.896704505365673,491,122,0.8245522252813795,0.06002014755668291
Density,2,1,23,299,368,0.8877558201214907,490,123,0.5372986225036489,0.1019355849672984
Density,2,2,18,234,288,0.8867071130004159,490,123,0.5260391019331311,0.09198637590422723
Density,2,3,28,364,448,0.809657147055117,490,123,0.8174403763370133,0.06593062278144458
Density,2,4,29,377,464,0.6841305638685646,491,122,0.8439278197006126,0.053345161054902286
Density,2,5,13,169,208,0.7941581611304925,491,122,0.7468635543272105,0.07774274496776777
Density,3,1,161,2093,2576,0.9297270577122095,490,123,0.5922368472290804,0.10185088737867781
Density,3,2,33,429,528,0.8433344865866863,490,123,0.8592913574806187,0.05607141368151233
Density,3,3,8,104,128,0.8185592711493938,490,123,0.890514124312092,0.04958497716527861
Density,3,4,18,234,288,0.7695119021076544,491,122,0.7636747111634241,0.07133726575365801
Density,3,5,110,1430,1760,0.8158884741744811,491,122,0.44310685976851527,0.08958573818995483
FFV,1,1,79,11139,13904,0.8770973082207321,5610,1402,0.8293585166211314,0.012895284309110336
FFV,1,2,113,15933,19888,0.8793425009356564,5608,1404,0.7975768101347693,0.013182399631113116
FFV,1,3,149,21009,26224,0.9094823159055917,5609,1403,0.8705615090495594,0.010286983200734531
FFV,1,4,118,16638,20768,0.8763253173955055,5610,1402,0.870193942123368,0.010884693420811987
FFV,1,5,92,12972,16192,0.8670275873629276,5611,1401,0.8479519705500344,0.01120416156513636
FFV,2,1,143,20163,25168,0.7915869543268557,5609,1403,0.7954678571804408,0.013725445140231168
FFV,2,2,192,27072,33792,0.9027810925024642,5608,1404,0.8770628115323215,0.010123662176759312
FFV,2,3,98,13818,17248,0.8840716085192283,5609,1403,0.8514031599824183,0.011525881945943707
FFV,2,4,199,28059,35024,0.8775286198234145,5611,1401,0.90379651308953,0.00857214006740812
FFV,2,5,142,20022,24992,0.8699375621009232,5611,1401,0.7706168195069618,0.014965416856485614
FFV,3,1,74,10434,13024,0.756739017187642,5609,1403,0.8711264069017356,0.009950140725945245
FFV,3,2,108,15228,19008,0.887963337384422,5608,1404,0.8624434673958081,0.010956078207762324
FFV,3,3,114,16074,20064,0.7638293953087304,5609,1403,0.8530426257499533,0.010151026448313482
FFV,3,4,177,24957,31152,0.7880644907030634,5611,1401,0.7187287155727025,0.018327876878271154
FFV,3,5,188,26508,33088,0.8949139272672828,5611,1401,0.8456325564873854,0.01146248388007121
Rg,1,1,29,377,464,0.8225449600515731,491,123,0.7145993275924662,2.4248551297710415
Rg,1,2,11,143,176,0.7396767441794002,491,123,0.6169975668703656,3.0352596412172463
Rg,1,3,128,1664,2048,0.8307986105340127,491,123,0.7974138183590842,1.9606002318803166
Rg,1,4,188,2444,3008,0.7946727189811433,491,123,0.6650943613419669,2.537113430181857
Rg,1,5,45,585,720,0.7661017840390657,492,122,0.7702649438985125,2.2683261293072134
Rg,2,1,30,390,480,0.8243880091071778,491,123,0.6191354900385476,2.528101432043842
Rg,2,2,18,234,288,0.8546926882477844,491,123,0.7885677203424045,2.1897272471751625
Rg,2,3,35,455,560,0.6579472134833297,491,123,0.6905845388199334,2.6680224754891073
Rg,2,4,10,130,160,0.7472598773939649,491,123,0.6982345781284005,2.4174233103700877
Rg,2,5,67,871,1072,0.810042810235019,492,122,0.7279127756862558,2.512569225607687
Rg,3,1,94,1222,1504,0.7632151380401844,491,123,0.6038984373902534,3.0527404178687165
Rg,3,2,110,1430,1760,0.759877944053205,491,123,0.7328004825241411,2.2887078672098857
Rg,3,3,22,286,352,0.7749680526338361,491,123,0.6800944529566737,2.4174712435185977
Rg,3,4,14,182,224,0.749994642790208,491,123,0.7753247665569415,2.2952737837387294
Rg,3,5,24,312,384,0.6688661698055047,492,122,0.7888498197319322,2.0573546014998465
Tc,1,1,9,135,171,0.830343172582161,589,148,0.7238647904060784,0.04606987836524884
Tc,1,2,44,660,836,0.75867447232471,589,148,0.8873803331776121,0.030422123420088765
Tc,1,3,15,225,285,0.7535721381243797,590,147,0.8564143459401204,0.03265910884660474
Tc,1,4,11,165,209,0.8849205860312157,590,147,0.7243606509917667,0.04867318246501969
Tc,1,5,9,135,171,0.7889147336440856,590,147,0.8240820587536957,0.036976827784241766
Tc,2,1,26,390,494,0.8791658030029093,589,148,0.8115966825941487,0.0367582361295387
Tc,2,2,14,210,266,0.8481296459462188,589,148,0.8272732181054399,0.038418822772302734
Tc,2,3,20,300,380,0.8009657198022303,590,147,0.8213656238835185,0.036976361610243536
Tc,2,4,141,2115,2679,0.8392630042153483,590,147,0.7287870737742332,0.0465248346913924
Tc,2,5,9,135,171,0.8389817838989903,590,147,0.7420183668172973,0.04641931183320734
Tc,3,1,6,90,114,0.7960756926611987,589,148,0.7951992679652498,0.037958393168476344
Tc,3,2,77,1155,1463,0.7051263152014613,589,148,0.8072380620103417,0.04184645949799056
Tc,3,3,75,1125,1425,0.8090889674844947,590,147,0.7223689269372267,0.04524498491695327
Tc,3,4,28,420,532,0.9146739116798979,590,147,0.79230396935731,0.04375309557736501
Tc,3,5,10,150,190,0.793585572526364,590,147,0.8505504849079383,0.03244172918045814
Tg,1,1,10,110,130,0.6538040002970149,408,103,0.6131595009934907,64.98826091069742
Tg,1,2,25,275,325,0.7294082301737654,409,102,0.7256613078803679,58.478615608077156
Tg,1,3,21,231,273,0.6117934951380148,409,102,0.5664639124091001,79.01749385244541
Tg,1,4,27,297,351,0.681315266524323,409,102,0.6206150802176376,68.96402241125323
Tg,1,5,14,154,182,0.6694865058850832,409,102,0.6163900560573845,64.06316703571916
Tg,2,1,9,99,117,0.6143625085381759,408,103,0.7486303965711208,58.91846391978073
Tg,2,2,9,99,117,0.7587966652527063,409,102,0.6270847336695896,57.83752072969007
Tg,2,3,21,231,273,0.7416312738523176,409,102,0.7354104958722703,60.98651302684465
Tg,2,4,55,605,715,0.6579472193513363,409,102,0.537405264438426,76.34435229820173
Tg,2,5,19,209,247,0.7179419068508952,409,102,0.48928937643837545,76.66082267951431
Tg,3,1,10,110,130,0.5879624039031863,408,103,0.6608075700973081,60.74045937687363
Tg,3,2,36,396,468,0.7401050053288176,409,102,0.60111321633964,68.12535072467642
Tg,3,3,25,275,325,0.7410782916979022,409,102,0.668823994629048,67.32710377233283
Tg,3,4,10,110,130,0.6488265403309244,409,102,0.6490081874701759,64.14454751320615
Tg,3,5,8,88,104,0.6052386798693178,409,102,0.6530497234638503,68.69469165035515
