task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Density,1,1,24,312,384,0.821950326938442,490,123,0.7623724821960595,0.06728285182980978
Density,1,2,6,78,96,0.8604398494209275,490,123,0.7363290416030481,0.06848252621018489
Density,1,3,32,416,512,0.8157873953046703,490,123,0.8604296452162191,0.058509688342238686
Density,1,4,79,1027,1264,0.8901708335155512,491,122,0.8235990769453665,0.0655910068109544
Density,1,5,14,182,224,0.9195711194722702,491,122,0.8719552376968366,0.05127480717123051
Density,2,1,56,728,896,0.8711603764583118,490,123,0.6495362560157983,0.08871498253485136
Density,2,2,3,39,50,0.7904660054836502,490,123,0.8175655014640263,0.05706971918140975
Density,2,3,23,299,368,0.8870842926165031,490,123,0.8281293028889957,0.06397138176332294
Density,2,4,49,637,784,0.7312889485764089,491,122,0.8607195881868053,0.05039382262579428
Density,2,5,84,1092,1344,0.7881413580993114,491,122,0.8820205778627279,0.05307446978044526
Density,3,1,20,260,320,0.8876470620188177,490,123,0.7724781993658122,0.07608032093792744
Density,3,2,133,1729,2128,0.8415122785219621,490,123,0.8118488281287342,0.06483874242460572
Density,3,3,6,78,96,0.7538707173990951,490,123,0.9024220629058998,0.04681088863389963
Density,3,4,5,65,80,0.7103553432911041,491,122,0.8029866515763723,0.065134215537401
Density,3,5,14,182,224,0.7902880911725497,491,122,0.8264852968991137,0.05000588101936334
FFV,1,1,95,13395,16720,0.8217812131875111,5610,1402,0.856049795541761,0.011843900652753462
FFV,1,2,69,9729,12144,0.8791483162787282,5608,1404,0.8487990312620641,0.0113930926209011
FFV,1,3,127,17907,22352,0.9083358020020535,5609,1403,0.8853943713597882,0.009679641746261885
FFV,1,4,138,19458,24288,0.877041192611478,5610,1402,0.8721131695928674,0.01080392678964224
FFV,1,5,77,10857,13552,0.8771298213619231,5611,1401,0.8158826844718097,0.012329239296531368
FFV,2,1,30,4230,5280,0.753762149814578,5609,1403,0.8329019359350063,0.012405988186751201
FFV,2,2,72,10152,12672,0.9092864994531332,5608,1404,0.8796627603988991,0.010016039500930085
FFV,2,3,37,5217,6512,0.89184929954583,5609,1403,0.8641476041131555,0.011020543952893303
FFV,2,4,42,5922,7392,0.8728523972448183,5611,1401,0.8782592133149194,0.009642994164468588
FFV,2,5,150,21150,26400,0.8740890093026552,5611,1401,0.8026890375652914,0.01387981382765856
FFV,3,1,68,9588,11968,0.8171121965303028,5609,1403,0.8797688503423946,0.009610716233120365
FFV,3,2,33,4653,5808,0.8862963724641884,5608,1404,0.8638657042932205,0.010899292008594635
FFV,3,3,55,7755,9680,0.8409365803077133,5609,1403,0.8723270802599208,0.00946157993208456
FFV,3,4,67,9447,11792,0.772729916308956,5611,1401,0.7219370565475978,0.018223047968645316
FFV,3,5,148,20868,26048,0.8856603676015331,5611,1401,0.8403052417805137,0.011658594911333373
Rg,1,1,11,143,176,0.7930934563511168,491,123,0.7211568147523804,2.396835998565969
Rg,1,2,133,1729,2128,0.7112595702490138,491,123,0.6427555900818323,2.9314183471878525
Rg,1,3,25,325,400,0.7244217556350173,491,123,0.8045474524740305,1.9257717338294287
Rg,1,4,33,429,528,0.8204390022135535,491,123,0.7487883131119522,2.197346641879349
Rg,1,5,26,338,416,0.7238141250570644,492,122,0.6898892489687258,2.635422634096663
Rg,2,1,10,130,160,0.7867532142046311,491,123,0.6934692359484063,2.268016844006934
Rg,2,2,7,91,112,0.8502279306790788,491,123,0.7538368425064322,2.3627398336741594
Rg,2,3,28,364,448,0.7027815882160482,491,123,0.7636238211767372,2.3319558940462315
Rg,2,4,73,949,1168,0.713068066579662,491,123,0.6422350254156515,2.632187841771083
Rg,2,5,17,221,272,0.7433102036850939,492,122,0.7599705339432139,2.3599143470369617
Rg,3,1,49,637,784,0.7475170387983645,491,123,0.6736448948539944,2.770969874543059
Rg,3,2,31,403,496,0.6603640462434238,491,123,0.8108929039198693,1.9254242643839905
Rg,3,3,30,390,480,0.7683049119506922,491,123,0.7337433090401801,2.205467673670621
Rg,3,4,14,182,224,0.797159910299484,491,123,0.7558931505582488,2.3924720797077645
Rg,3,5,12,156,192,0.67244916698807,492,122,0.80780774856935,1.9628240071771295
Tc,1,1,102,1530,1938,0.834220755482223,589,148,0.7610823145520518,0.042852910300113005
Tc,1,2,81,1215,1539,0.7607948105938689,589,148,0.8520401750072522,0.0348701896413907
Tc,1,3,131,1965,2489,0.7691601702371436,590,147,0.8391228064115334,0.034569734617038314
Tc,1,4,4,60,76,0.8801805721437348,590,147,0.7200785113916077,0.04904980159197978
Tc,1,5,2,30,50,0.7776307386098144,590,147,0.8225701283790253,0.03713538688281106
Tc,2,1,76,1140,1444,0.9083775030156518,589,148,0.810057393307291,0.03690809139528726
Tc,2,2,19,285,361,0.8402362332156565,589,148,0.8217400998776877,0.039029325119628075
Tc,2,3,10,150,190,0.8073145372601556,590,147,0.8262265112498628,0.03646980294392155
Tc,2,4,72,1080,1368,0.8555135470222156,590,147,0.7892347264295001,0.04101372118488133
Tc,2,5,13,195,247,0.8357727315827291,590,147,0.7537491899089905,0.045351654746295565
Tc,3,1,9,135,171,0.761858732333406,589,148,0.8117628760163588,0.0363910600843134
Tc,3,2,22,330,418,0.7423450873151127,589,148,0.8072305653869052,0.04184727320660512
Tc,3,3,31,465,589,0.8131286808210008,590,147,0.7512385311773416,0.04282801717508836
Tc,3,4,16,240,304,0.882428890378139,590,147,0.7794587257747555,0.04508578406164832
Tc,3,5,4,60,76,0.8040403537515333,590,147,0.8307214516742532,0.03452690918044714
Tg,1,1,4,44,52,0.5149071522627939,408,103,0.5281681847689184,71.77324117621383
Tg,1,2,6,66,78,0.6790144480478824,409,102,0.5428318257796172,75.49036853674167
Tg,1,3,21,231,273,0.5566821910941955,409,102,0.562273545077988,79.39844953478266
Tg,1,4,12,132,156,0.6189973781255494,409,102,0.5694447465552951,73.46779383589052
Tg,1,5,56,616,728,0.6096890458143538,409,102,0.5544139147081679,69.04453143026133
Tg,2,1,3,33,50,0.5426212553063833,408,103,0.7168691572657457,62.530028485397985
Tg,2,2,6,66,78,0.65570366348531,409,102,0.5707551741003433,62.05219108800908
Tg,2,3,27,297,351,0.7431854448304451,409,102,0.5940236549696267,75.54363203251187
Tg,2,4,5,55,65,0.5957860375055639,409,102,0.5542712963994856,74.93968668144403
Tg,2,5,7,77,91,0.6157973679453577,409,102,0.43148024981465727,80.88328992141726
Tg,3,1,3,33,50,0.5054477844858969,408,103,0.6742540279024327,59.524331097310714
Tg,3,2,4,44,52,0.6739272766650637,409,102,0.6505318070211754,63.76579150089205
Tg,3,3,32,352,416,0.7285563527033674,409,102,0.49950931499878326,82.76724519152319
Tg,3,4,10,110,130,0.5669562150317726,409,102,0.5885118262039224,69.45282764777332
Tg,3,5,6,66,78,0.5597272411319206,409,102,0.523812751347318,80.47823447655468
