task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
CLTE,1,1,62,7006,8742,0.6950721621677236,35981,8997,0.6803779153484093,1.405628218163848e-05
CLTE,1,2,85,9605,11985,0.7055429686880506,35979,8999,0.6999799564561688,1.348110152277588e-05
CLTE,1,3,174,19662,24534,0.7075097342267784,35984,8994,0.6927416521264779,1.3683023639891637e-05
CLTE,1,4,127,14351,17907,0.6871977144028475,35984,8994,0.7069008932041174,1.3454036460698517e-05
CLTE,1,5,64,7232,9024,0.688570461687753,35984,8994,0.6884916083281765,1.3912112142822928e-05
Cp,1,1,138,27048,33810,0.9015197543621047,62687,15680,0.9003430520871497,171.77220491074536
Cp,1,2,73,14308,17885,0.9014330175611052,62696,15671,0.8984807507424248,171.70813391057516
Cp,1,3,140,27440,34300,0.9027065652253066,62698,15669,0.8992457631073508,171.92082616397974
Cp,1,4,106,20776,25970,0.9070750548826169,62692,15675,0.8921666546844209,179.50467703426122
Cp,1,5,84,16464,20580,0.9015569513276028,62695,15672,0.9033745191117697,170.64934242524947
Cv,1,1,141,27636,34545,0.9323615683002808,62696,15673,0.9264911883785094,135.29358458466538
Cv,1,2,143,28028,35035,0.9268242263846703,62694,15675,0.9282874167461209,133.69330575320734
Cv,1,3,84,16464,20580,0.9290441129297173,62698,15671,0.9313102940903957,132.3045091254657
Cv,1,4,143,28028,35035,0.9279192499193348,62691,15678,0.9268230714228436,134.08779034583398
Cv,1,5,168,32928,41160,0.9278099313190884,62697,15672,0.9230887799407993,140.65905817811327
Rg,1,1,147,28077,35133,0.8271906965343625,61007,15261,0.822144397059785,2.0890143457256127
Rg,1,2,168,32088,40152,0.8411687310110628,61007,15261,0.8251356670420742,2.0949068792480956
Rg,1,3,197,37627,47083,0.8366770078714056,61017,15251,0.8363318331715743,1.9796068433569203
Rg,1,4,133,25403,31787,0.8251218148772543,61022,15246,0.824122133450798,2.064599295865875
Rg,1,5,185,35335,44215,0.8344510588791093,61019,15249,0.8334813433535444,2.025093454299879
bulk_modulus,1,1,105,20580,25725,0.7122557087723077,62669,15666,0.700696654514811,519663710.5212959
bulk_modulus,1,2,100,19600,24500,0.7015591186219147,62670,15665,0.7032840646745072,509313376.32330644
bulk_modulus,1,3,111,21756,27195,0.7119094561093379,62668,15667,0.7066920494700986,506952741.2675309
bulk_modulus,1,4,105,20580,25725,0.711126653710389,62660,15675,0.7026798383642889,514727230.07469475
bulk_modulus,1,5,118,23128,28910,0.7157036811620758,62673,15662,0.7098770794930997,505660955.6256483
compressibility,1,1,84,16296,20412,0.6386736001511386,62078,15521,0.6391612254227368,6.20321603232917e-11
compressibility,1,2,88,17072,21384,0.6381261980853618,62075,15524,0.6558464069824003,6.069087367298831e-11
compressibility,1,3,96,18720,23328,0.6504552152368088,62081,15518,0.6341174027826583,6.22920446947734e-11
compressibility,1,4,95,18525,23085,0.6421142833123008,62081,15518,0.6353691672143447,6.218265692684747e-11
compressibility,1,5,68,13192,16524,0.6578893411885987,62081,15518,0.6399694040667623,6.120320677223678e-11
density,1,1,198,38808,48510,0.9707758732103409,62468,15614,0.9712738311686865,0.021293268944982454
density,1,2,194,38024,47336,0.9735859681175895,62457,15625,0.9732786710745672,0.020568845182312653
density,1,3,198,38808,48312,0.9710290385313258,62463,15619,0.9669774323629377,0.022931621111369805
density,1,4,190,37240,46550,0.9729946216276067,62471,15611,0.9659779070676721,0.023599869461927922
density,1,5,196,38416,48020,0.9704081117109191,62469,15613,0.9659174790955717,0.02342140003071127
isentropic_bulk_modulus,1,1,126,24696,30870,0.7254605534660961,62670,15666,0.6911749376081542,535229172.75017834
isentropic_bulk_modulus,1,2,86,16856,21070,0.7299171515518094,62671,15665,0.7298542303352111,495046315.425386
isentropic_bulk_modulus,1,3,111,21756,27195,0.7345477772204,62669,15667,0.7126603614820646,511451958.8324486
isentropic_bulk_modulus,1,4,63,12348,15435,0.7334762324469086,62660,15676,0.7059040573827855,519556083.9037918
isentropic_bulk_modulus,1,5,104,20384,25480,0.7305754164138354,62674,15662,0.7304212135168018,494389243.02144283
isentropic_compressibility,1,1,91,17745,22113,0.6653492853420202,62086,15521,0.6657334842849987,5.724202659447564e-11
isentropic_compressibility,1,2,66,12870,16038,0.6652309002849729,62084,15523,0.6751433611025905,5.6136562833663193e-11
isentropic_compressibility,1,3,86,16770,20898,0.664565849982317,62083,15524,0.6591563041848314,5.749189055782306e-11
isentropic_compressibility,1,4,78,15210,18954,0.6630050201811436,62090,15517,0.6627583247000332,5.675155123681919e-11
isentropic_compressibility,1,5,101,19695,24543,0.6749720660208613,62085,15522,0.6782087252654687,5.563872847720819e-11
qm_dipole_monomer1,1,1,172,33712,41968,0.5311155080096637,62428,15614,0.5209034711475231,1.497218763822424
qm_dipole_monomer1,1,2,65,12740,15860,0.5224761784763801,62441,15601,0.5245139001046987,1.5183373203539086
qm_dipole_monomer1,1,3,136,26656,33184,0.523078111927384,62435,15607,0.5294203935755788,1.508030463463505
qm_dipole_monomer1,1,4,83,16268,20252,0.5269734890644514,62428,15614,0.5147680391384393,1.521120530057305
qm_dipole_monomer1,1,5,98,19208,23912,0.5423708440565662,62436,15606,0.525552781131694,1.5030636099934251
qm_homo_monomer1,1,1,178,34888,43610,0.8841106026934724,62549,15635,0.8821771529751931,0.27451989484857636
qm_homo_monomer1,1,2,195,38220,47775,0.8844311486687475,62548,15636,0.8802244842940008,0.2768008764919615
qm_homo_monomer1,1,3,189,37044,46305,0.8845357718851542,62549,15635,0.8750520166379837,0.28432956158706
qm_homo_monomer1,1,4,150,29400,36750,0.8819531780658261,62542,15642,0.8846268459469745,0.27350636513069454
qm_homo_monomer1,1,5,135,26460,33075,0.8842307123075807,62548,15636,0.8759046037875757,0.2846552297021859
qm_lumo_monomer1,1,1,200,39000,48800,0.9128018143620227,62388,15597,0.9255473762400985,0.2891328322148003
qm_lumo_monomer1,1,2,98,19110,23912,0.9180385077751229,62391,15594,0.9070957163569657,0.32512345391624586
qm_lumo_monomer1,1,3,160,31200,39040,0.9193086249841739,62388,15597,0.9279166935518015,0.28408599108544436
qm_lumo_monomer1,1,4,186,36270,45384,0.9166800937958234,62384,15601,0.9190656046217518,0.30364758860875674
qm_lumo_monomer1,1,5,177,34515,43188,0.9292433096259012,62389,15596,0.9204668573301761,0.2981633683449399
qm_polarizability_monomer1,1,1,164,31652,39524,0.9960348804738953,61684,15423,0.9933055756950837,1.7334434497822029
qm_polarizability_monomer1,1,2,171,33003,41211,0.994289667550769,61686,15421,0.9915785964399066,1.935317765066146
qm_polarizability_monomer1,1,3,96,18528,23136,0.9954942380154632,61689,15418,0.9871215072240831,2.3883952676923013
qm_polarizability_monomer1,1,4,54,10422,13014,0.9943746330616288,61683,15424,0.9952757414409978,1.4321116390192037
qm_polarizability_monomer1,1,5,178,34354,42898,0.9945075994274051,61686,15421,0.9954082273646796,1.4222284773571705
refractive_index,1,1,198,38214,47718,0.9613465773356302,61656,15416,0.9594720227081635,0.017866340177472125
refractive_index,1,2,170,32810,40970,0.9614140408158542,61661,15411,0.9584367643454407,0.018167159272621414
refractive_index,1,3,192,37056,46272,0.9606987942022052,61659,15413,0.9623596953507544,0.017480383495824363
refractive_index,1,4,158,30494,38078,0.9572661932120974,61651,15421,0.9610097335641069,0.017726419612749494
refractive_index,1,5,186,35898,44826,0.96037951405316,61661,15411,0.9549580427125146,0.018718291224512316
self-diffusion,1,1,71,13916,17324,0.6064271761319868,62454,15609,0.5602774605953194,3.328013748000574e-13
self-diffusion,1,2,98,19208,23912,0.5251901365529053,62454,15609,0.5280332866806701,3.3261079048337317e-13
self-diffusion,1,3,104,20384,25376,0.5726454177619653,62450,15613,0.5128332967824953,3.081668824837758e-13
self-diffusion,1,4,109,21364,26596,0.5577103633860511,62441,15622,0.5862274391878705,3.321970203178277e-13
self-diffusion,1,5,38,7448,9272,0.5555501891323797,62453,15610,0.5129058869807289,3.2564888057792806e-13
static_dielectric_const,1,1,107,20544,25680,0.744590557880449,61217,15303,0.7267800113150475,3.1911179644877534
static_dielectric_const,1,2,81,15552,19440,0.7396971603205702,61217,15303,0.7312652920084795,3.2233812811835776
static_dielectric_const,1,3,153,29376,36720,0.7311814754940726,61214,15306,0.7575990486463956,3.1006563643504372
static_dielectric_const,1,4,106,20352,25440,0.731578036196506,61211,15309,0.7332892653623451,3.1879331401194766
static_dielectric_const,1,5,135,25920,32400,0.7541945888211979,61221,15299,0.7108079693101832,3.208652636395934
tg,1,1,89,10324,12905,0.7517049520555135,36986,9245,0.7506957481083101,60.186483955791104
tg,1,2,117,13572,16965,0.7295135133798356,36985,9246,0.7542319232244354,58.9289153649003
tg,1,3,101,11716,14645,0.7711819800793985,36986,9245,0.7480893087743405,60.52836444771199
tg,1,4,81,9396,11745,0.7732907463298762,36983,9248,0.7597718117976129,59.391648698494144
tg,1,5,79,9164,11455,0.7716490994775012,36984,9247,0.7515525041340658,60.522837152576486
thermal_conductivity,1,1,189,31752,39690,0.8103968377117654,53597,13398,0.820164986549202,0.02023986541989055
thermal_conductivity,1,2,171,28728,35910,0.8124326496837501,53595,13400,0.7871230886187606,0.021981455986390563
thermal_conductivity,1,3,159,26712,33390,0.8041055092994573,53599,13396,0.807156911982338,0.02098346568637271
thermal_conductivity,1,4,86,14448,18060,0.8156544322982612,53596,13399,0.8031203476817892,0.021057840702788322
thermal_conductivity,1,5,182,30576,38220,0.8014114828754978,53593,13402,0.8000491885811183,0.021513830171416146
thermal_diffusivity,1,1,105,17430,21735,0.7351023722157592,52927,13235,0.7312070295350821,6.453969360892059e-09
thermal_diffusivity,1,2,194,32204,40158,0.7346713136280902,52927,13235,0.7366020790413534,6.325831066779484e-09
thermal_diffusivity,1,3,122,20252,25254,0.7364044512457786,52929,13233,0.7496066441315037,6.156124098801047e-09
thermal_diffusivity,1,4,158,26228,32706,0.744341190136137,52933,13229,0.7410669668955553,6.233057647498313e-09
thermal_diffusivity,1,5,192,31872,39744,0.7366558914332189,52932,13230,0.7399461707055224,6.38266439487272e-09
