task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
CLTE,1,1,10,1130,1410,0.7138246244043261,35981,8997,0.6999429800753869,1.3619274492658834e-05
CLTE,1,2,15,1695,2115,0.7189265802315423,35979,8999,0.7061980547915241,1.334066804614318e-05
CLTE,1,3,12,1356,1692,0.7248289717146568,35984,8994,0.7087473893152599,1.3321868585905301e-05
CLTE,1,4,9,1017,1269,0.7025109703789607,35984,8994,0.7229567745896266,1.3080342630814019e-05
CLTE,1,5,13,1469,1833,0.7153675827817318,35984,8994,0.7157096195055155,1.3290437482342018e-05
Cp,1,1,17,3332,4165,0.9101561649851782,62687,15680,0.9009478078268398,171.2502227255577
Cp,1,2,15,2940,3675,0.9083955268411802,62696,15671,0.9098323165537976,161.82369959350473
Cp,1,3,7,1372,1715,0.9110798392206545,62698,15669,0.9088878469888434,163.4876627453807
Cp,1,4,17,3332,4165,0.916222668640433,62692,15675,0.88778169171139,183.1180218161586
Cp,1,5,23,4508,5635,0.9112865632395729,62695,15672,0.9130386277674885,161.8907283821406
Cv,1,1,20,3920,4900,0.940021733944128,62696,15673,0.9334389583179328,128.74120140902588
Cv,1,2,11,2156,2695,0.9353753036844514,62694,15675,0.935656016742047,126.6385559817459
Cv,1,3,4,784,980,0.9372923523080774,62698,15671,0.934240024714704,129.45226034368977
Cv,1,4,7,1372,1715,0.9370252327877114,62691,15678,0.9355665074650205,125.82240486315698
Cv,1,5,11,2156,2695,0.9360154866029773,62697,15672,0.9345562750369278,129.74984872638242
Rg,1,1,51,9741,12189,0.8242267665421611,61007,15261,0.8273808163601981,2.0580322498591417
Rg,1,2,31,5921,7409,0.837657007570978,61007,15261,0.8240975613430195,2.101116026154506
Rg,1,3,71,13561,16969,0.8288080352548116,61017,15251,0.8309372718089861,2.011966632588577
Rg,1,4,37,7067,8843,0.8286583568569871,61022,15246,0.8245706880039904,2.0619648636506622
Rg,1,5,40,7640,9560,0.8265392241731337,61019,15249,0.8405604838307721,1.9815799734641637
bulk_modulus,1,1,8,1568,1960,0.7358589368952853,62669,15666,0.7165307288080184,505731026.00913894
bulk_modulus,1,2,10,1960,2450,0.7139127173978963,62670,15665,0.7263196486304481,489143690.9082418
bulk_modulus,1,3,9,1764,2205,0.7259856699078548,62668,15667,0.714043692438508,500559142.97756743
bulk_modulus,1,4,13,2548,3185,0.7275260212058394,62660,15675,0.7207309741929223,498857319.4889943
bulk_modulus,1,5,10,1960,2450,0.7263127806076717,62673,15662,0.7204939820314344,496322521.2267213
compressibility,1,1,17,3298,4131,0.6483917441759682,62078,15521,0.656655285580562,6.050976823743648e-11
compressibility,1,2,15,2910,3645,0.6513110696035954,62075,15524,0.6628918133392872,6.006643890190023e-11
compressibility,1,3,16,3120,3888,0.6634799508617452,62081,15518,0.6468803928613727,6.119594226513615e-11
compressibility,1,4,17,3315,4131,0.6545967413316143,62081,15518,0.6495068338035506,6.096524973987171e-11
compressibility,1,5,7,1358,1701,0.6679457984656114,62081,15518,0.6559298170290008,5.983123844152273e-11
density,1,1,23,4508,5635,0.9820642646855992,62468,15614,0.9751283449899952,0.019813254940735298
density,1,2,116,22736,28304,0.9849962254696574,62457,15625,0.9823044745834321,0.016738348813918683
density,1,3,70,13720,17080,0.9844321456507197,62463,15619,0.9819281302335773,0.016964102287304272
density,1,4,144,28224,35280,0.9840764703646142,62471,15611,0.9805359099625051,0.017850325503347544
density,1,5,61,11956,14945,0.9842836191875064,62469,15613,0.9787009123094702,0.018515161206493425
isentropic_bulk_modulus,1,1,12,2352,2940,0.7408356937881393,62670,15666,0.7439745872030346,487332129.7355985
isentropic_bulk_modulus,1,2,18,3528,4410,0.7422400898379331,62671,15665,0.7473778936075021,478720938.1152352
isentropic_bulk_modulus,1,3,20,3920,4900,0.7497761995298,62669,15667,0.7404679962921004,486074161.4115666
isentropic_bulk_modulus,1,4,16,3136,3920,0.7482448641079193,62660,15676,0.7447771853016472,484002567.17947817
isentropic_bulk_modulus,1,5,16,3136,3920,0.7419826627513468,62674,15662,0.751004193140919,475140633.65566874
isentropic_compressibility,1,1,13,2535,3159,0.6827229985673627,62086,15521,0.6761197734604493,5.634570031609737e-11
isentropic_compressibility,1,2,12,2340,2916,0.6766684600288856,62084,15523,0.6921711442489726,5.46455257286408e-11
isentropic_compressibility,1,3,15,2925,3645,0.679043426951418,62083,15524,0.6788280254436836,5.580816952770049e-11
isentropic_compressibility,1,4,17,3315,4131,0.6757177500990745,62090,15517,0.6832314007546145,5.500196178634878e-11
isentropic_compressibility,1,5,13,2535,3159,0.687801605422462,62085,15522,0.6811238994883568,5.538613367991758e-11
qm_dipole_monomer1,1,1,17,3332,4148,0.5505335293632315,62428,15614,0.5556025628698595,1.441980946566104
qm_dipole_monomer1,1,2,21,4116,5124,0.5547090619321816,62441,15601,0.5570526565276152,1.465464846093525
qm_dipole_monomer1,1,3,16,3136,3904,0.5436841882966056,62435,15607,0.5606919606594238,1.4570623593873404
qm_dipole_monomer1,1,4,13,2548,3172,0.5487706228389575,62428,15614,0.5461024462136239,1.4711869014320622
qm_dipole_monomer1,1,5,13,2548,3172,0.557798166987709,62436,15606,0.5548474522029209,1.4559210979290735
qm_homo_monomer1,1,1,38,7448,9310,0.9044223260283781,62549,15635,0.9014572322415314,0.2510564858901584
qm_homo_monomer1,1,2,57,11172,13965,0.9057555258343823,62548,15636,0.8983366610084563,0.25501493808054904
qm_homo_monomer1,1,3,25,4900,6125,0.9047726097670183,62549,15635,0.8893020265865299,0.267625335620467
qm_homo_monomer1,1,4,72,14112,17640,0.9006663694087336,62542,15642,0.9050696481543066,0.2480947649758457
