task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
CLTE,1,1,18,2034,2538,0.7169510103081095,35981,8997,0.7041948273573992,1.3522436765991318e-05
CLTE,1,2,25,2825,3525,0.71603246995796,35979,8999,0.7160979354743885,1.3113980083256261e-05
CLTE,1,3,27,3051,3807,0.7260999702542708,35984,8994,0.7126912055160797,1.323136626982367e-05
CLTE,1,4,30,3390,4230,0.7056394709435365,35984,8994,0.7210543721117647,1.3125175894105346e-05
CLTE,1,5,30,3390,4230,0.7074840807196172,35984,8994,0.7178549515013466,1.3240195903273325e-05
Cp,1,1,11,2156,2695,0.9097201842565008,62687,15680,0.9112401143218203,162.10912674340543
Cp,1,2,18,3528,4410,0.9096034574841949,62696,15671,0.9081578364874707,163.3193800069669
Cp,1,3,16,3136,3920,0.910407744810362,62698,15669,0.9103750550436749,162.14788245348163
Cp,1,4,11,2156,2695,0.9161704000203552,62692,15675,0.9025288401707448,170.6621829257253
Cp,1,5,12,2352,2940,0.9102203354946233,62695,15672,0.9128110430051442,162.10243035778944
Cv,1,1,34,6664,8330,0.9400701338141139,62696,15673,0.9338372368560279,128.35545180727755
Cv,1,2,26,5096,6370,0.9352151966997162,62694,15675,0.9356181869045447,126.67577789283852
Cv,1,3,18,3528,4410,0.9360806555736289,62698,15671,0.9337175025793529,129.965550030423
Cv,1,4,16,3136,3920,0.935100101554029,62691,15678,0.9342802346918002,127.07208252049777
Cv,1,5,25,4900,6125,0.9352483542061536,62697,15672,0.9345761877609441,129.73010757094443
Rg,1,1,74,14134,17686,0.8087147823285838,61007,15261,0.812878344181453,2.1427409657682928
Rg,1,2,145,27695,34655,0.8182523670436698,61007,15261,0.8163168247000152,2.14708280705971
Rg,1,3,106,20246,25334,0.8088508793273664,61017,15251,0.815209679100169,2.1034706044990275
Rg,1,4,156,29796,37284,0.8099500444047414,61022,15246,0.8069372017344025,2.1631143517052873
Rg,1,5,100,19100,23900,0.8118197285316457,61019,15249,0.8122860704556386,2.150115901841253
bulk_modulus,1,1,17,3332,4165,0.7293929935753101,62669,15666,0.712880935061197,508976369.768242
bulk_modulus,1,2,17,3332,4165,0.7107326856751921,62670,15665,0.7241132938742563,491111420.97309995
bulk_modulus,1,3,21,4116,5145,0.724377849178682,62668,15667,0.7179189232744032,497155827.5321562
bulk_modulus,1,4,17,3332,4165,0.7230381031172062,62660,15675,0.7167114343872256,502434538.88208556
bulk_modulus,1,5,31,6076,7595,0.7286251331873725,62673,15662,0.7177031662502658,498794210.89960843
compressibility,1,1,28,5432,6804,0.6449579245446566,62078,15521,0.6424264959654234,6.175085449691726e-11
compressibility,1,2,20,3880,4860,0.6471396836087819,62075,15524,0.6630691629784522,6.005063661181009e-11
compressibility,1,3,10,1950,2430,0.6547635653612149,62081,15518,0.6266341927808214,6.292583415127621e-11
compressibility,1,4,15,2925,3645,0.6461686606708252,62081,15518,0.6376624666018992,6.198680352434737e-11
compressibility,1,5,17,3298,4131,0.6638733868751172,62081,15518,0.6394740644029144,6.124529480011471e-11
density,1,1,104,20384,25480,0.9828243752407302,62468,15614,0.9848999488608585,0.015438058925157044
density,1,2,195,38220,47580,0.9850575620237333,62457,15625,0.9840886373557624,0.015872106536397954
density,1,3,186,36456,45384,0.9844047728897716,62463,15619,0.9854612411694542,0.015215737406094582
density,1,4,88,17248,21560,0.9841163228902486,62471,15611,0.9840664712941344,0.016150466491858688
density,1,5,183,35868,44835,0.9848190315341606,62469,15613,0.9838187691368186,0.016138113812905
isentropic_bulk_modulus,1,1,32,6272,7840,0.7369602783809478,62670,15666,0.7214868759537538,508283884.3132174
isentropic_bulk_modulus,1,2,28,5488,6860,0.7404693525949,62671,15665,0.7427485322775544,483087363.58949924
isentropic_bulk_modulus,1,3,18,3528,4410,0.7456446023203074,62669,15667,0.7343206319172786,491797130.64247674
isentropic_bulk_modulus,1,4,18,3528,4410,0.7456132783402458,62660,15676,0.7360060073105084,492249110.92511934
isentropic_bulk_modulus,1,5,37,7252,9065,0.7404205298829314,62674,15662,0.7440360307913709,481743178.5751077
isentropic_compressibility,1,1,11,2145,2673,0.6761630989734123,62086,15521,0.6638742854022008,5.740099665778216e-11
isentropic_compressibility,1,2,12,2340,2916,0.6693254322753206,62084,15523,0.6774740889424984,5.593482064893289e-11
isentropic_compressibility,1,3,16,3120,3888,0.6749456866878935,62083,15524,0.6711907389438574,5.646781430456659e-11
isentropic_compressibility,1,4,20,3900,4860,0.6715295989166498,62090,15517,0.6711618467274567,5.6040011819960206e-11
isentropic_compressibility,1,5,30,5850,7290,0.6828419921593862,62085,15522,0.6855222731843744,5.500282680367681e-11
qm_dipole_monomer1,1,1,43,8428,10492,0.5407915797081697,62428,15614,0.5468973844623812,1.4560357343793253
qm_dipole_monomer1,1,2,21,4116,5124,0.5376218999395527,62441,15601,0.5376144858734815,1.4972746239232273
qm_dipole_monomer1,1,3,48,9408,11712,0.5337131042563595,62435,15607,0.5426763885929101,1.4866385005120484
qm_dipole_monomer1,1,4,27,5292,6588,0.5406470583050389,62428,15614,0.5298525025091299,1.4972902371595826
qm_dipole_monomer1,1,5,37,7252,9028,0.5488375201393431,62436,15606,0.5466699647054936,1.469232934109892
qm_homo_monomer1,1,1,89,17444,21805,0.8988366597544921,62549,15635,0.8973666589754361,0.25621426206341025
qm_homo_monomer1,1,2,123,24108,30135,0.8991225923615941,62548,15636,0.8983278500369605,0.25502598867504334
qm_homo_monomer1,1,3,79,15484,19355,0.8958545509061012,62549,15635,0.8917097962171896,0.2646988017617877
qm_homo_monomer1,1,4,159,31164,38955,0.8929366909031472,62542,15642,0.9008331090604307,0.2535703113325236
