task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
CLTE,1,1,18,2034,2538,0.7183579798674578,35981,8997,0.703504141894121,1.3538214557924641e-05
CLTE,1,2,21,2373,2961,0.7225426408780369,35979,8999,0.7078853753379262,1.330230479528913e-05
CLTE,1,3,35,3955,4935,0.7299088096065502,35984,8994,0.7144415086531248,1.3191001544564965e-05
CLTE,1,4,30,3390,4230,0.7103764842877791,35984,8994,0.7256062667649262,1.3017645695247674e-05
CLTE,1,5,30,3390,4230,0.7147894381606887,35984,8994,0.7312392585277124,1.2922338399293263e-05
Cp,1,1,26,5096,6370,0.9122509339504498,62687,15680,0.9133990375572445,160.1254851236638
Cp,1,2,12,2352,2940,0.9112392667106518,62696,15671,0.9065422350998427,164.74959850410423
Cp,1,3,26,5096,6370,0.9131661519141507,62698,15669,0.9106623617277144,161.88777872221868
Cp,1,4,45,8820,11025,0.9181663493124986,62692,15675,0.9035004479005668,169.80945894801027
Cp,1,5,18,3528,4410,0.9128275612146471,62695,15672,0.9126270019423234,162.27342550343167
Cv,1,1,33,6468,8085,0.9418737498213917,62696,15673,0.9367824988390597,125.46603258794327
Cv,1,2,37,7252,9065,0.9372283452550344,62694,15675,0.9368590610114174,125.44908456004241
Cv,1,3,46,9016,11270,0.9385517091037672,62698,15671,0.9391783921497507,124.49667874162458
Cv,1,4,48,9408,11760,0.937382399985032,62691,15678,0.935640296775126,125.7503382428321
Cv,1,5,35,6860,8575,0.9366608211073354,62697,15672,0.9353291742243975,128.9813915158668
Rg,1,1,126,24066,30114,0.8260068019601214,61007,15261,0.8206902172229247,2.097537041494348
Rg,1,2,179,34189,42781,0.838985893469082,61007,15261,0.8326842979743256,2.0491910722461157
Rg,1,3,85,16235,20315,0.8277084678705637,61017,15251,0.8282334488611277,2.0279915226104923
Rg,1,4,167,31897,39913,0.825591554674155,61022,15246,0.8283413946380804,2.0396843813700216
Rg,1,5,156,29796,37284,0.8274724603246498,61019,15249,0.8369284298790789,2.0040232094071326
bulk_modulus,1,1,36,7056,8820,0.7314420706181118,62669,15666,0.7017479815344894,518750227.40220886
bulk_modulus,1,2,62,12152,15190,0.715132438530101,62670,15665,0.7232204337543129,491905478.0767878
bulk_modulus,1,3,27,5292,6615,0.7282624347222431,62668,15667,0.7237537773012634,491987118.87127614
bulk_modulus,1,4,36,7056,8820,0.7255325492889491,62660,15675,0.7084010257913933,509750851.26663536
bulk_modulus,1,5,31,6076,7595,0.7303334071093516,62673,15662,0.7155019455506357,500735118.4409541
compressibility,1,1,41,7954,9963,0.647175328711715,62078,15521,0.6512374695706601,6.098530729178432e-11
compressibility,1,2,36,6984,8748,0.6516148605187375,62075,15524,0.6637567603777725,5.998933063339783e-11
compressibility,1,3,19,3705,4617,0.6572112602863192,62081,15518,0.6411442823454613,6.169097654621715e-11
compressibility,1,4,20,3900,4860,0.6522777238011986,62081,15518,0.6345305491655017,6.225412311200186e-11
compressibility,1,5,53,10282,12879,0.6696209062921297,62081,15518,0.6495080828548352,6.038700306570014e-11
density,1,1,181,35476,44345,0.9851169825522271,62468,15614,0.9863647209032511,0.014670181976822027
density,1,2,139,27244,33916,0.9867206607568144,62457,15625,0.9853305065929222,0.015240121907054425
density,1,3,193,37828,47092,0.9862252672213865,62463,15619,0.9856213603862559,0.015131717952556642
density,1,4,130,25480,31850,0.9862295216747823,62471,15611,0.9853617444090486,0.015480099592844687
density,1,5,173,33908,42385,0.9865004626274064,62469,15613,0.9865708289529741,0.01470183687228946
isentropic_bulk_modulus,1,1,47,9212,11515,0.7425902406203332,62670,15666,0.7378581442453768,493118950.2999252
isentropic_bulk_modulus,1,2,28,5488,6860,0.7456998448708875,62671,15665,0.7446970566346465,481254338.6035408
isentropic_bulk_modulus,1,3,36,7056,8820,0.7489438668342601,62669,15667,0.739328013710848,487140521.0889056
isentropic_bulk_modulus,1,4,30,5880,7350,0.7468959993353921,62660,15676,0.7427427555301318,485927776.66495496
isentropic_bulk_modulus,1,5,32,6272,7840,0.7439645700245845,62674,15662,0.7504642537566406,475655518.2564445
isentropic_compressibility,1,1,48,9360,11664,0.6802991772954672,62086,15521,0.6720283777390161,5.670047509705715e-11
isentropic_compressibility,1,2,20,3900,4860,0.6719526811620218,62084,15523,0.685168858721761,5.526355087427436e-11
isentropic_compressibility,1,3,27,5265,6561,0.677129589765317,62083,15524,0.6601259642699342,5.741005349070982e-11
isentropic_compressibility,1,4,20,3900,4860,0.6744658621846911,62090,15517,0.6771984613705082,5.552325470254463e-11
isentropic_compressibility,1,5,51,9945,12393,0.6845765701218893,62085,15522,0.6906778329687142,5.4550104434357364e-11
