task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
CLTE,1,1,18,2034,2538,0.7017410421569594,35981,8997,0.6921800339096287,1.379432551727973e-05
CLTE,1,2,18,2034,2538,0.7042277255287277,35979,8999,0.6951847444825454,1.3588408485923368e-05
CLTE,1,3,22,2486,3102,0.7145538401084948,35984,8994,0.7003005732547694,1.3513666220049333e-05
CLTE,1,4,13,1469,1833,0.6875165975298072,35984,8994,0.7034639507735936,1.3532689004327996e-05
CLTE,1,5,30,3390,4230,0.6980233794696027,35984,8994,0.715368046629749,1.3298419268731513e-05
Cp,1,1,30,5880,7350,0.900548474781557,62687,15680,0.9031784593004172,169.31096843117447
Cp,1,2,19,3724,4655,0.8996223171111601,62696,15671,0.898384770259397,171.78928470821566
Cp,1,3,19,3724,4655,0.9015853300683873,62698,15669,0.9002374115018972,171.07269023094827
Cp,1,4,11,2156,2695,0.907328700420266,62692,15675,0.891163289589323,180.33786873821288
Cp,1,5,18,3528,4410,0.9021879562710523,62695,15672,0.901060534912833,172.68060595344218
Cv,1,1,44,8624,10780,0.9299011385719655,62696,15673,0.9253642257546311,136.32673193685864
Cv,1,2,25,4900,6125,0.9274425048480346,62694,15675,0.9256648154506729,136.11600384687816
Cv,1,3,24,4704,5880,0.9279915676383433,62698,15671,0.9271883706451496,136.2163353324764
Cv,1,4,21,4116,5145,0.9263670383799583,62691,15678,0.9250793170721003,135.67599312319328
Cv,1,5,49,9604,12005,0.9275190304020469,62697,15672,0.924428876183175,139.42825598906603
Rg,1,1,109,20819,26051,0.7994982405559127,61007,15261,0.800898687556921,2.2102668403142194
Rg,1,2,90,17190,21510,0.8080687641190883,61007,15261,0.8093478290343041,2.187434122864879
Rg,1,3,111,21201,26529,0.810097114840715,61017,15251,0.8081157059953032,2.143465766307995
Rg,1,4,101,19291,24139,0.8038796599487079,61022,15246,0.8082812545869398,2.1555716822551947
Rg,1,5,64,12224,15296,0.8046139424231931,61019,15249,0.8071817924868796,2.1791525871564956
bulk_modulus,1,1,17,3332,4165,0.7146055886705323,62669,15666,0.6989442811969848,521182764.3542263
bulk_modulus,1,2,14,2744,3430,0.6988799315701024,62670,15665,0.7041556266661926,508564807.44012594
bulk_modulus,1,3,21,4116,5145,0.7122996063221521,62668,15667,0.7052119749565884,508230210.29879594
bulk_modulus,1,4,12,2352,2940,0.7135934794596202,62660,15675,0.7013981718565779,515835461.71931803
bulk_modulus,1,5,20,3920,4900,0.7118995791304892,62673,15662,0.7001654857318201,514054555.9041751
compressibility,1,1,15,2910,3645,0.6280881779215859,62078,15521,0.6405228239613439,6.19150128129389e-11
compressibility,1,2,13,2522,3159,0.6302065081221309,62075,15524,0.6393383274102517,6.212941031026939e-11
compressibility,1,3,26,5070,6318,0.641996228806763,62081,15518,0.6233777607696838,6.319965252076933e-11
compressibility,1,4,13,2535,3159,0.6331369931757093,62081,15518,0.6185589150466502,6.359988265870194e-11
compressibility,1,5,9,1746,2187,0.6446310852635655,62081,15518,0.6343110436255062,6.16822767687279e-11
density,1,1,173,33908,42385,0.9748293535411103,62468,15614,0.97653589952063,0.019244447183587286
density,1,2,99,19404,24156,0.9769315602187478,62457,15625,0.9755747355204467,0.019665297475765186
