task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
CLTE,1,1,140,15820,19740,0.7032121726540428,35981,8997,0.6929905677336182,1.3776152334107981e-05
CLTE,1,2,93,10509,13113,0.704925355721488,35979,8999,0.6982865363257108,1.3519094059927274e-05
CLTE,1,3,125,14125,17625,0.7064340498874864,35984,8994,0.6960564047867412,1.3609016163486261e-05
CLTE,1,4,165,18645,23265,0.6851164718598057,35984,8994,0.7090213224248645,1.3405281421840876e-05
CLTE,1,5,182,20566,25662,0.6934988786027634,35984,8994,0.7118701907981493,1.3379882215992544e-05
Cp,1,1,173,33908,42385,0.8975037607440736,62687,15680,0.9012179479170832,171.01654220626014
Cp,1,2,92,18032,22540,0.8989161882876768,62696,15671,0.8982745121659972,171.88245983454033
Cp,1,3,130,25480,31850,0.900802353819891,62698,15669,0.9034945875724979,168.25681588330139
Cp,1,4,124,24304,30380,0.9031982271347937,62692,15675,0.8871532133656301,183.63008187355027
Cp,1,5,195,38220,47775,0.8988426866146083,62695,15672,0.8949314733398285,177.948817389872
Cv,1,1,200,39200,49000,0.9271904824974994,62696,15673,0.9199189244673655,141.21227548303037
Cv,1,2,164,32144,40180,0.9247818911140142,62694,15675,0.9267406886323454,135.1273918733363
Cv,1,3,141,27636,34545,0.9260423276864616,62698,15671,0.924995894772848,138.25197194543017
Cv,1,4,160,31360,39200,0.9237815885733978,62691,15678,0.9195306652745214,140.61036995789098
Cv,1,5,160,31360,39200,0.9219422001081785,62697,15672,0.922577130667357,141.1261474402274
Rg,1,1,189,36099,45171,0.830228951372765,61007,15261,0.8322707157092246,2.028673208167988
Rg,1,2,179,34189,42781,0.8382147497857245,61007,15261,0.827686252189795,2.0795725171316057
Rg,1,3,142,27122,33938,0.8299826132384084,61017,15251,0.8347255950527386,1.9892970495992364
Rg,1,4,200,38200,47800,0.8281281849282773,61022,15246,0.8269086506467423,2.0481787793971047
Rg,1,5,187,35717,44693,0.8286123800859982,61019,15249,0.8372935835431661,2.0017782241859527
bulk_modulus,1,1,132,25872,32340,0.7135022397205673,62669,15666,0.6985277559157861,521543180.6303907
bulk_modulus,1,2,136,26656,33320,0.7003412725819339,62670,15665,0.7076237712551121,505575100.52655005
bulk_modulus,1,3,99,19404,24255,0.7117639312706336,62668,15667,0.7064957058432833,507122392.801784
bulk_modulus,1,4,97,19012,23765,0.7113804802296146,62660,15675,0.7089272419532464,509290698.3085965
bulk_modulus,1,5,190,37240,46550,0.7173406929456164,62673,15662,0.7091686839195632,506277917.5477442
compressibility,1,1,174,33756,42282,0.6400132530572661,62078,15521,0.6440223176690358,6.16129058702715e-11
compressibility,1,2,110,21340,26730,0.6369529750327505,62075,15524,0.6588225088446479,6.042788875799029e-11
compressibility,1,3,131,25545,31833,0.6450601641975875,62081,15518,0.6239757082801229,6.314946285815784e-11
compressibility,1,4,159,31005,38637,0.639023589570197,62081,15518,0.6341571434559007,6.228591798608081e-11
compressibility,1,5,163,31622,39609,0.657531723554344,62081,15518,0.6366069760292845,6.148833965455332e-11
density,1,1,200,39200,49000,0.9635604081898234,62468,15614,0.9456648262797118,0.02928491819162855
density,1,2,191,37436,46604,0.9685850772424892,62457,15625,0.9628312659310169,0.02425882534227364
density,1,3,195,38220,47580,0.9631505999043891,62463,15619,0.9661977797552845,0.023200746129337754
density,1,4,135,26460,33075,0.9620301845159931,62471,15611,0.9551666544299173,0.027091288524266278
density,1,5,191,37436,46795,0.9632715567538378,62469,15613,0.9605192300000369,0.02520808206361757
isentropic_bulk_modulus,1,1,187,36652,45815,0.7276438378978947,62670,15666,0.7266978976351908,503506398.66077846
isentropic_bulk_modulus,1,2,116,22736,28420,0.7329760577398565,62671,15665,0.7295531343715719,495322120.10909206
isentropic_bulk_modulus,1,3,174,34104,42630,0.7328242155233107,62669,15667,0.7254808676550222,499911795.96123207
isentropic_bulk_modulus,1,4,94,18424,23030,0.7333725770910495,62660,15676,0.7213206172404014,505755178.40430915
isentropic_bulk_modulus,1,5,177,34692,43365,0.7328808340165687,62674,15662,0.7305105727354488,494307296.85151875
isentropic_compressibility,1,1,96,18720,23328,0.6695444315426422,62086,15521,0.6624894532494625,5.751912067422226e-11
isentropic_compressibility,1,2,200,39000,48600,0.6663376027140722,62084,15523,0.6695958033945931,5.6613854180621725e-11
isentropic_compressibility,1,3,115,22425,27945,0.6662266431904973,62083,15524,0.661183905762472,5.73206323974583e-11
isentropic_compressibility,1,4,121,23595,29403,0.6675918610037066,62090,15517,0.6699704911392019,5.6141434389136657e-11
isentropic_compressibility,1,5,122,23790,29646,0.6756358799385145,62085,15522,0.6798498423419428,5.549666995833578e-11
qm_dipole_monomer1,1,1,173,33908,42212,0.5405321385126705,62428,15614,0.5496698785804496,1.4515742232145232
qm_dipole_monomer1,1,2,174,34104,42456,0.5396799665133034,62441,15601,0.5470978128074223,1.4818408514355865
qm_dipole_monomer1,1,3,177,34692,43188,0.5319916837995586,62435,15607,0.5408594704177629,1.4895887341478684
qm_dipole_monomer1,1,4,191,37436,46604,0.536223065239368,62428,15614,0.5340797308117069,1.4905437593519695
qm_dipole_monomer1,1,5,153,29988,37332,0.5467199015112669,62436,15606,0.5331488362608332,1.4909827904517705
qm_homo_monomer1,1,1,200,39200,49000,0.886362341386007,62549,15635,0.8887038633509039,0.2668081626656672
qm_homo_monomer1,1,2,187,36652,45815,0.8862551521762947,62548,15636,0.8870095843639141,0.2688464086386406
qm_homo_monomer1,1,3,169,33124,41405,0.8870787672222176,62549,15635,0.8791799058592729,0.27959343822824595
qm_homo_monomer1,1,4,170,33320,41650,0.881343518952209,62542,15642,0.8866315438250203,0.27111975999556304
