task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
CLTE,1,1,22,2486,3102,0.6902744506641647,35981,8997,0.6842237257149292,1.3971461083748058e-05
CLTE,1,2,22,2486,3102,0.6908216531715163,35979,8999,0.6956224994350294,1.3578647605836529e-05
CLTE,1,3,20,2260,2820,0.6980126716134026,35984,8994,0.682979146356123,1.3898698925281654e-05
CLTE,1,4,22,2486,3102,0.6774553474919902,35984,8994,0.7091455907098985,1.3402418618897074e-05
CLTE,1,5,16,1808,2256,0.6790540337591586,35984,8994,0.7000988195892397,1.3650459854799459e-05
Cp,1,1,30,5880,7350,0.8905188870212379,62687,15680,0.8936896349963286,177.4135980985943
Cp,1,2,27,5292,6615,0.8944043508044774,62696,15671,0.8880492239240698,180.31432231706668
Cp,1,3,28,5488,6860,0.8956632516559457,62698,15669,0.894194666847497,176.17756775191236
Cp,1,4,25,4900,6125,0.8978315380228434,62692,15675,0.8815210899226458,188.15672904311126
Cp,1,5,34,6664,8330,0.8932184746462685,62695,15672,0.8943917104108194,178.405315331866
Cv,1,1,39,7644,9555,0.921656603838285,62696,15673,0.9168685868503952,143.87657279268637
Cv,1,2,24,4704,5880,0.9191425124419047,62694,15675,0.9184283985232046,142.5875059951856
Cv,1,3,81,15876,19845,0.9202784956383885,62698,15671,0.9180673894533963,144.4964620414537
Cv,1,4,51,9996,12495,0.918317244540162,62691,15678,0.9169311488212976,142.86348749551524
Cv,1,5,35,6860,8575,0.9178327208473327,62697,15672,0.9207725887552731,142.76133075140527
Rg,1,1,85,16235,20315,0.8154494621798279,61007,15261,0.8183486255589644,2.111188399675134
Rg,1,2,80,15280,19120,0.8268654277332739,61007,15261,0.82521677444924,2.094420982068348
Rg,1,3,81,15471,19359,0.8231872787606351,61017,15251,0.8309258404614555,2.012034652019214
Rg,1,4,51,9741,12189,0.8227105854070793,61022,15246,0.8222583079887972,2.075510025453466
Rg,1,5,78,14898,18642,0.8247529735640413,61019,15249,0.8265687725799116,2.0666991908317995
bulk_modulus,1,1,30,5880,7350,0.7067185137479298,62669,15666,0.6930915958268986,526224416.0581309
bulk_modulus,1,2,27,5292,6615,0.6909644039654284,62670,15665,0.6996493147977003,512423407.8769601
bulk_modulus,1,3,14,2744,3430,0.7034356936356378,62668,15667,0.6998869763472619,512799956.0887225
bulk_modulus,1,4,12,2352,2940,0.7068438508926123,62660,15675,0.6970275980368176,519596837.1154077
bulk_modulus,1,5,14,2744,3430,0.7092527676589055,62673,15662,0.6988570436201349,515174971.32544345
compressibility,1,1,13,2522,3159,0.6305833796972757,62078,15521,0.6435089071521936,6.165732061595048e-11
compressibility,1,2,16,3104,3888,0.6252638514538422,62075,15524,0.6450001283648068,6.163981596620772e-11
compressibility,1,3,22,4290,5346,0.6358260254930272,62081,15518,0.625117536565135,6.305351072615135e-11
compressibility,1,4,11,2145,2673,0.6320980043104999,62081,15518,0.620796180919551,6.34130922081521e-11
compressibility,1,5,7,1358,1701,0.645819472397826,62081,15518,0.6221113803278882,6.27027198657672e-11
density,1,1,171,33516,41895,0.9681086064387501,62468,15614,0.9675369353863884,0.022635924841597547
density,1,2,142,27832,34648,0.9692425063050925,62457,15625,0.9677736954229492,0.022588434682486096
