task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Cp,1,1,40,880,1080,0.9641174292437532,854,222,0.9317078645379626,187.3355837337856
Cp,1,2,50,1100,1350,0.9722555832481033,861,215,0.9351322015515318,178.13459239913416
Cp,1,3,64,1408,1728,0.9535974988827315,863,213,0.9403007540067029,170.82321099694272
Cp,1,4,78,1716,2106,0.9684837338405913,863,213,0.9518772142726853,145.65846903382013
Cp,1,5,38,836,1026,0.96843252502022,863,213,0.9364866880702374,169.8973125115962
Cp,2,1,58,1276,1566,0.9733270671817476,862,214,0.9553538812845068,144.40569492649254
Cp,2,2,81,1782,2187,0.9654388508770664,859,217,0.9611892219299226,147.6242452817349
Cp,2,3,82,1804,2214,0.9581329249573309,859,217,0.934635412794195,171.1548956440998
Cp,2,4,111,2442,2997,0.9587738306765053,863,213,0.82420286124594,271.7640908058031
Cp,2,5,79,1738,2133,0.9737891797407477,861,215,0.9464834503022869,159.67773490969256
Cp,3,1,198,4356,5346,0.9575980504302163,861,215,0.873633057336124,246.68813566928728
Cp,3,2,70,1540,1890,0.9575341900565952,861,215,0.9499756375299833,156.8533201049228
Cp,3,3,98,2156,2646,0.9599721543367832,861,215,0.9690431211955037,121.29829502035928
Cp,3,4,66,1452,1782,0.9444221976139677,861,215,0.9621767876175391,130.070920445066
Cp,3,5,98,2156,2646,0.9445682868598232,860,216,0.9279805115292732,188.39582325912275
Cv,1,1,86,1892,2322,0.970958676804979,854,222,0.9458243375316052,151.50368180523574
Cv,1,2,147,3234,3969,0.9797608144793248,861,215,0.9538464792887924,140.2535574902089
Cv,1,3,97,2134,2619,0.9622804039684393,863,213,0.957781127604664,135.91197783259634
Cv,1,4,74,1628,1998,0.9758781823059139,863,213,0.9541413887815733,133.62362152932988
Cv,1,5,71,1562,1917,0.9734047914745073,863,213,0.9439990475475797,148.92460130059683
Cv,2,1,145,3190,3915,0.9797544983747399,862,214,0.9613390054448596,125.82002661039635
Cv,2,2,144,3168,3888,0.9672512997397177,859,217,0.9681886150055394,125.01097923966036
Cv,2,3,106,2332,2862,0.9636702407686891,859,217,0.9465748346048274,144.8706596873397
Cv,2,4,100,2200,2700,0.9656981843841462,863,213,0.8291671427095886,246.62184612059264
Cv,2,5,144,3168,3888,0.9807102302720088,861,215,0.9489957261952312,144.58474315482857
Cv,3,1,89,1958,2403,0.9622191010719354,861,215,0.8556936061112341,246.57578023325854
Cv,3,2,51,1122,1377,0.9604502426772845,861,215,0.9510749431746746,145.0308261173016
Cv,3,3,50,1100,1350,0.964087821776674,861,215,0.9756614074285763,99.54575168641304
Cv,3,4,29,638,783,0.9437582005359244,861,215,0.9606769710278225,124.86409848647683
Cv,3,5,44,968,1188,0.9553122360624031,860,216,0.9200010673542167,183.0403052032136
Rg,1,1,71,1562,1917,0.9128890836654255,856,221,0.6970990675893367,5.060356597214415
Rg,1,2,20,440,540,0.546828271059232,862,215,0.6362227671082374,5.585459016491964
Rg,1,3,5,110,135,0.5115810782557,863,214,0.6051090912913897,4.0720416305510945
Rg,1,4,71,1562,1917,0.7517580263132442,864,213,0.772220046673929,2.5799220866226316
Rg,1,5,93,2046,2511,0.8301573969665081,863,214,0.6914155329155423,5.179744259429083
Rg,2,1,54,1188,1458,0.736579654999834,863,214,0.5062537880954,6.3165007609680215
Rg,2,2,115,2530,3105,0.8239040731180778,860,217,0.7160213706150187,5.629259394120106
Rg,2,3,138,3036,3726,0.9137753736941843,859,218,0.7706302405706653,2.9735565292000463
Rg,2,4,30,660,810,0.8163669422331923,864,213,0.6739522320562112,4.546570346885371
Rg,2,5,138,3036,3726,0.8643389175032028,862,215,0.7846421081879787,2.8037810086405246
Rg,3,1,169,3718,4563,0.9080091109942175,862,215,0.755345131420432,4.134450118929671
Rg,3,2,78,1716,2106,0.8208143311817377,862,215,0.6993224474565082,3.7090834128152856
Rg,3,3,63,1386,1701,0.7512255469677673,861,216,0.6958201229005465,5.500950157475636
Rg,3,4,105,2310,2835,0.8936418051481236,861,216,0.7931340451566087,3.5459977877955335
Rg,3,5,102,2244,2754,0.8492219238862352,862,215,0.8322680840877358,3.03169396772613
bulk_modulus,1,1,130,2860,3510,0.711156871113665,854,222,0.7306515850477946,464755569.62587124
bulk_modulus,1,2,200,4400,5400,0.6539389830330722,861,215,0.6979696545909372,493905758.1388509
bulk_modulus,1,3,95,2090,2565,0.7673669658421733,863,213,0.7418677595274326,361126551.9800445
bulk_modulus,1,4,94,2068,2538,0.6401413938848051,863,213,0.7707397961255134,387472057.14767575
bulk_modulus,1,5,74,1628,1998,0.7432106403191954,863,213,0.7329528614000269,432525940.35310763
bulk_modulus,2,1,75,1650,2025,0.7164865529771585,862,214,0.8109937027941695,390178016.36277556
bulk_modulus,2,2,185,4070,4995,0.6667643836656163,859,217,0.6017697313665502,524694253.01815504
bulk_modulus,2,3,158,3476,4266,0.6975638001972606,859,217,0.7525265359841719,378859469.215843
bulk_modulus,2,4,149,3278,4023,0.7120684093934476,863,213,0.6509898991792717,512854180.30637956
