task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Cp,1,1,77,1694,2079,0.9709001915497826,854,222,0.9445920194707169,168.74118403038847
Cp,1,2,15,330,405,0.975894502742824,861,215,0.957831427228328,143.62436982788353
Cp,1,3,18,396,486,0.9644248221433407,863,213,0.9657271327868239,129.43081245155986
Cp,1,4,68,1496,1836,0.9702290458730746,863,213,0.9599293771167787,132.91482008354956
Cp,1,5,66,1452,1782,0.9720040046288787,863,213,0.9577929401539476,138.4990132667343
Cp,2,1,57,1254,1539,0.9822803260544976,862,214,0.9610052374075532,134.95705924794757
Cp,2,2,38,836,1026,0.9756311234943281,859,217,0.9665890450945446,136.97015893554942
Cp,2,3,67,1474,1809,0.970916136510427,859,217,0.9524436800801632,145.98968940246795
Cp,2,4,41,902,1107,0.9690925883724328,863,213,0.9383350235672372,160.95536417454872
Cp,2,5,47,1034,1269,0.9782819628783348,861,215,0.9483185375731635,156.9161729616132
Cp,3,1,31,682,837,0.9678703337545965,861,215,0.9453720931305903,162.19550113457043
Cp,3,2,60,1320,1620,0.9709151416577062,861,215,0.9731889887273455,114.8311018784667
Cp,3,3,71,1562,1917,0.968664895303427,861,215,0.97474195020439,109.56605390500971
Cp,3,4,49,1078,1323,0.9642932029328922,861,215,0.9694027358352457,116.98826653050017
Cp,3,5,25,550,675,0.9665697491378054,860,216,0.9115835300693923,208.74344173984662
Cv,1,1,19,418,513,0.9740485005323714,854,222,0.9758926938886849,101.06375097808261
Cv,1,2,34,748,918,0.9843389002548083,861,215,0.9566957405656973,135.85535946434084
Cv,1,3,66,1452,1782,0.9702964040324524,863,213,0.9694263253172876,115.65868167219514
Cv,1,4,68,1496,1836,0.9796946266731276,863,213,0.9581898187198339,127.58917054363273
Cv,1,5,39,858,1053,0.9748332155125654,863,213,0.9710940691537596,106.99468858340033
Cv,2,1,38,836,1026,0.9851187035557666,862,214,0.9644344217563167,120.67802631847132
Cv,2,2,21,462,567,0.9753323241334074,859,217,0.9705374146900365,120.30738713756763
Cv,2,3,71,1562,1917,0.9775719123288457,859,217,0.9582011890692449,128.14139977184675
Cv,2,4,32,704,864,0.9736895209729414,863,213,0.9316837029475181,155.95812351536904
Cv,2,5,25,550,675,0.98436200750633,861,215,0.9653462571004474,119.17749647109905
Cv,3,1,85,1870,2295,0.9796105896738554,861,215,0.9330991219707234,167.8895007966781
Cv,3,2,17,374,459,0.9763881674520817,861,215,0.963640016337615,125.02777171534738
Cv,3,3,62,1364,1674,0.975072859643091,861,215,0.9717537532749222,107.23964661222713
Cv,3,4,43,946,1161,0.9653892301243061,861,215,0.9801291896314079,88.7609401701609
Cv,3,5,25,550,675,0.973135893920746,860,216,0.9539341840094419,138.8973689343327
Rg,1,1,50,1100,1350,0.9414514965531087,856,221,0.7225778071883093,4.842854454552195
Rg,1,2,7,154,189,0.6540567400515339,862,215,0.8100103212301754,4.036510775479784
Rg,1,3,15,330,405,0.5757099123358083,863,214,0.7450646697472078,3.27181436508665
Rg,1,4,30,660,810,0.7886573406019355,864,213,0.8016150745424693,2.4077044476542517
Rg,1,5,50,1100,1350,0.9238914938113088,863,214,0.745066408361831,4.707982276529665
Rg,2,1,90,1980,2430,0.6973532087300452,863,214,0.7387636836723044,4.594533686364989
Rg,2,2,23,506,621,0.9182094289396617,860,217,0.6776052506392065,5.997944073053356
Rg,2,3,37,814,999,0.8783036346219945,859,218,0.8147248309649308,2.672493937358337
Rg,2,4,31,682,837,0.8994009745628373,864,213,0.8662318193374263,2.912190022396726
Rg,2,5,69,1518,1863,0.8906957616560904,862,215,0.7912253101726843,2.760594495724069
Rg,3,1,83,1826,2241,0.8853450690408429,862,215,0.696930971608549,4.601629024986562
Rg,3,2,23,506,621,0.6926272752589826,862,215,0.7116541657782194,3.632226625892547
Rg,3,3,103,2266,2781,0.7707830417874217,861,216,0.8368099255126675,4.0292047775363855
Rg,3,4,21,462,567,0.8680540433232972,861,216,0.8290472933373372,3.223531659293958
Rg,3,5,59,1298,1593,0.7545123128722566,862,215,0.8886415027150147,2.470240209158307
bulk_modulus,1,1,34,748,918,0.8029678086111443,854,222,0.7410452506480997,455700317.6001267
bulk_modulus,1,2,26,572,702,0.7584043125188918,861,215,0.8292609173647927,371351576.12932235
bulk_modulus,1,3,38,836,1026,0.807418626071843,863,213,0.7289571198136429,370047349.2992415
bulk_modulus,1,4,24,528,648,0.7633169332859531,863,213,0.7984608791236126,363291913.6882798
bulk_modulus,1,5,23,506,621,0.7656663186327006,863,213,0.7676332665941169,403464354.01913494
bulk_modulus,2,1,39,858,1053,0.7470675590565481,862,214,0.7775500171814351,423292767.1968492
bulk_modulus,2,2,21,462,567,0.8363375759849582,859,217,0.7060654968506002,450779812.02378947
bulk_modulus,2,3,97,2134,2619,0.7431467933004681,859,217,0.8183679046557214,324571306.96839964
bulk_modulus,2,4,22,484,594,0.7827519637006108,863,213,0.8431270919872036,343834044.1181442
bulk_modulus,2,5,9,198,243,0.7434298958715256,861,215,0.7281076694984081,415680068.37991005
bulk_modulus,3,1,24,528,648,0.7701220164881465,861,215,0.7782948032642435,413266939.7469907
bulk_modulus,3,2,10,220,270,0.7985092962153195,861,215,0.8233960822190493,362801849.2272247
bulk_modulus,3,3,23,506,621,0.8056940386370828,861,215,0.7754074573641169,354284075.33308905
bulk_modulus,3,4,47,1034,1269,0.8181445678906429,861,215,0.810960461359776,378533274.34864753
bulk_modulus,3,5,13,286,351,0.7798122733628631,860,216,0.7271689177096359,419313997.3866551
compressibility,1,1,34,748,918,0.7089822861542452,854,222,0.6218424055429606,5.958108845009128e-11
compressibility,1,2,51,1122,1377,0.7448265472893425,861,215,0.6529714301693044,6.325399522238991e-11
compressibility,1,3,112,2464,3024,0.6829793092133554,863,213,0.5907254420483696,5.693420405482057e-11
compressibility,1,4,92,2024,2484,0.7190799392138525,863,213,0.641329121324438,7.224252834642493e-11
compressibility,1,5,20,440,540,0.6752365333361863,863,213,0.5649835650401317,7.63077641530706e-11
compressibility,2,1,72,1584,1944,0.6339759903452382,862,214,0.6686132489695107,6.4759317303505e-11
compressibility,2,2,34,748,918,0.6053176541273995,859,217,0.5518618609895918,6.246284183695881e-11
compressibility,2,3,80,1760,2160,0.6799384129097151,859,217,0.7394527245100527,5.0990655829933663e-11
