task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Cp,1,1,16,352,432,0.9767242028213801,854,222,0.9636294820940919,136.71295610453402
Cp,1,2,12,264,324,0.9767632061633007,861,215,0.9692786338608872,122.58969010990809
Cp,1,3,27,594,729,0.9656455042184294,863,213,0.9765085199338507,107.15628488447034
Cp,1,4,33,726,891,0.9755828297488537,863,213,0.9578694763975008,136.2883674586887
Cp,1,5,21,462,567,0.9733413084796692,863,213,0.9468747150449827,155.3834519925202
Cp,2,1,85,1870,2295,0.9834475927617883,862,214,0.9684992939349392,121.29771231722154
Cp,2,2,42,924,1134,0.9755344614692103,859,217,0.9740773348629578,120.64833712520897
Cp,2,3,21,462,567,0.9767957548361039,859,217,0.9347175375092657,171.04734149701736
Cp,2,4,12,264,324,0.9596663121951332,863,213,0.9236238238335269,179.12868006393532
Cp,2,5,100,2200,2700,0.9741809540695062,861,215,0.9652913759120881,128.59349773716716
Cp,3,1,6,132,162,0.9605122261748137,861,215,0.9146588761620706,202.72658404747534
Cp,3,2,11,242,297,0.9705694623993989,861,215,0.9721134229342093,117.11176858737782
Cp,3,3,56,1232,1512,0.9749182618332779,861,215,0.969585629419746,120.23074262015547
Cp,3,4,28,616,756,0.9508659232693404,861,215,0.9631730798404601,128.34640483906907
Cp,3,5,62,1364,1674,0.9590089931378133,860,216,0.9397857885100209,172.2644872692688
Cv,1,1,63,1386,1701,0.9789756771431934,854,222,0.9709913091628193,110.86261962466305
Cv,1,2,95,2090,2565,0.9823068778702483,861,215,0.9719368606710324,109.36531147752878
Cv,1,3,146,3212,3942,0.9783954009549676,863,213,0.9831934595448123,85.7518661927828
Cv,1,4,93,2046,2511,0.9818843687758863,863,213,0.9642089299663985,118.04840678320149
Cv,1,5,47,1034,1269,0.9736349572091095,863,213,0.9648783218239727,117.93870883084323
Cv,2,1,88,1936,2376,0.9857974716934066,862,214,0.9749675392040501,101.24300663248152
Cv,2,2,42,924,1134,0.9768277124798999,859,217,0.9824671242190383,92.80757953265316
Cv,2,3,20,440,540,0.9832208482799282,859,217,0.95644568208709,130.80462753000086
