task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Cp,1,1,15,330,405,0.9757641766266724,854,222,0.9670542432015523,130.11718992110397
Cp,1,2,43,946,1161,0.9774712609683445,861,215,0.9687515897121216,123.63676958243632
Cp,1,3,114,2508,3078,0.9720520969980027,863,213,0.9771018866951419,105.7943094497715
Cp,1,4,31,682,837,0.9778969326205921,863,213,0.958689628667397,134.95528927024893
Cp,1,5,65,1430,1755,0.9760436199250335,863,213,0.9540630186642871,144.4891897468151
Cp,2,1,73,1606,1971,0.9854006304464127,862,214,0.9713809013903187,115.61666597107664
Cp,2,2,34,748,918,0.978953005977183,859,217,0.9830027563814556,97.6946463609678
Cp,2,3,24,528,648,0.9771776872262724,859,217,0.9441339433197666,158.23118241107713
Cp,2,4,28,616,756,0.9641001018162247,863,213,0.9124056917266592,191.83335124551715
Cp,2,5,14,308,378,0.9742745376616274,861,215,0.9620895988183904,134.3938825276794
Cp,3,1,78,1716,2106,0.9645367613511185,861,215,0.928706961520712,185.29132460196675
Cp,3,2,37,814,999,0.9756746870265942,861,215,0.9760122678672122,108.61693156934902
Cp,3,3,40,880,1080,0.975093874873088,861,215,0.970672821121792,118.06230474788264
Cp,3,4,35,770,945,0.9551670547337794,861,215,0.9642648009304732,126.42970096515427
Cp,3,5,12,264,324,0.9648558357160169,860,216,0.9457258939529022,163.54700428031475
Cv,1,1,93,2046,2511,0.9817590093423701,854,222,0.9773045297117829,98.05972365261029
Cv,1,2,42,924,1134,0.9845704639080521,861,215,0.9726417247049387,107.9831085791245
Cv,1,3,84,1848,2268,0.9791512474233313,863,213,0.975841342410352,102.81129200065075
Cv,1,4,35,770,945,0.9836182278734933,863,213,0.9517213342540064,137.10409247659075
Cv,1,5,33,726,891,0.9790288742620016,863,213,0.9703317941321596,108.39628079913163
Cv,2,1,108,2376,2916,0.9889046511295291,862,214,0.9768110879549216,97.44362871124137
Cv,2,2,27,594,729,0.9809076622781892,859,217,0.9865026531065693,81.4293696967117
Cv,2,3,99,2178,2673,0.9850743686589615,859,217,0.9595294877991983,126.08889842546388
