task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Cp,1,1,31,682,837,0.970269780640015,854,222,0.9496897456147692,160.79153750459412
Cp,1,2,21,462,567,0.968726371624577,861,215,0.9542824481403438,149.5461263680179
Cp,1,3,81,1782,2187,0.9628135871810674,863,213,0.9692492276339256,122.60000060774293
Cp,1,4,46,1012,1242,0.9660258012782976,863,213,0.9410105020729498,161.26781839679532
Cp,1,5,40,880,1080,0.9628140944006932,863,213,0.908643284649413,203.76255022209548
Cp,2,1,56,1232,1512,0.975499616312687,862,214,0.9568466698335374,141.97099432534793
Cp,2,2,81,1782,2187,0.9700678843817964,859,217,0.965605496785694,138.97159310377782
Cp,2,3,56,1232,1512,0.9670806839137907,859,217,0.9417900045005808,161.51648230457965
Cp,2,4,18,396,486,0.9389942136286499,863,213,0.8607373912423197,241.88193450130694
Cp,2,5,18,396,486,0.9711078844142493,861,215,0.9512119065019834,152.46046291639445
Cp,3,1,11,242,297,0.9548856314593885,861,215,0.8957162659643124,224.0989441691992
Cp,3,2,36,792,972,0.9601411270701234,861,215,0.954925320224226,148.89127865177892
Cp,3,3,37,814,999,0.9627959073964114,861,215,0.9620190037420143,134.3566878492552
Cp,3,4,59,1298,1593,0.9484456879309203,861,215,0.9514178267076236,147.41425340324514
Cp,3,5,54,1188,1458,0.9641585338326757,860,216,0.909212720992005,211.52356335490796
Cv,1,1,85,1870,2295,0.970524436884388,854,222,0.9590706253201554,131.68570299208278
Cv,1,2,75,1650,2025,0.9730344828074596,861,215,0.9660205645097102,120.34264365274595
Cv,1,3,45,990,1215,0.9672511914349812,863,213,0.974942373622205,104.70667830293239
Cv,1,4,58,1276,1566,0.9736635512132733,863,213,0.9481728891936873,142.05328729849904
Cv,1,5,33,726,891,0.9621932033005143,863,213,0.9426121391783158,150.75744118783004
Cv,2,1,62,1364,1674,0.9796364218874887,862,214,0.9638824623004849,121.61085141731925
Cv,2,2,62,1364,1674,0.9714488148982321,859,217,0.9732645280665277,114.60426905977005
Cv,2,3,95,2090,2565,0.9749188802136467,859,217,0.9459411345607833,145.72731508204583
Cv,2,4,26,572,702,0.9421678263309339,863,213,0.8679916023296926,216.7936821720275
Cv,2,5,95,2090,2565,0.9767671293324378,861,215,0.9583021464564964,130.73023245076755
Cv,3,1,78,1716,2106,0.9562334499663566,861,215,0.9014297864882743,203.78887770819034
Cv,3,2,53,1166,1431,0.9643853750490166,861,215,0.9632993577339712,125.61210214253542
Cv,3,3,96,2112,2592,0.9687619559920344,861,215,0.9703924957676944,109.79331552795549
Cv,3,4,117,2574,3159,0.9466433371185387,861,215,0.9654182036518241,117.0948726903658
Cv,3,5,81,1782,2187,0.9722578346809281,860,216,0.9362401407836957,163.40987947495944
Rg,1,1,37,814,999,0.8429893969313457,856,221,0.5071183257899019,6.455087781285075
Rg,1,2,5,110,135,0.47374944547682374,862,215,0.6950337658525578,5.11407379383086
Rg,1,3,4,88,108,0.4471937722774896,863,214,0.6240621291915132,3.9731199828478974
Rg,1,4,45,990,1215,0.617600952118035,864,213,0.7982263911079175,2.4281808047042395
Rg,1,5,52,1144,1404,0.8445958118119793,863,214,0.46574126893009626,6.8154902541036435
Rg,2,1,12,264,324,0.548126428599899,863,214,0.5701174919091747,5.8938564155116
Rg,2,2,97,2134,2619,0.9183909087824699,860,217,0.5548940521247392,7.047581887372794
Rg,2,3,42,924,1134,0.8784571502516976,859,218,0.6477530809914969,3.6849510330170716
Rg,2,4,55,1210,1485,0.8542259978106922,864,213,0.6585644219492395,4.652621100687924
Rg,2,5,61,1342,1647,0.8409261246783145,862,215,0.30517161629442313,5.036194213310991
Rg,3,1,120,2640,3240,0.7501174740024528,862,215,0.5045786618172642,5.883397334473443
Rg,3,2,41,902,1107,0.6102870532310292,862,215,0.45445894626376293,4.996084971187601
Rg,3,3,33,726,891,0.4922057582867416,861,216,0.6754393943600994,5.682250459857814
Rg,3,4,16,352,432,0.7490136297846433,861,216,0.5808261870207645,5.047670772001236
Rg,3,5,32,704,864,0.6714378536200627,862,215,0.743872367447175,3.746327354263951
bulk_modulus,1,1,24,528,648,0.7813787882534251,854,222,0.7591087943808507,439519212.12520164
bulk_modulus,1,2,14,308,378,0.7401779883634843,861,215,0.7941546321119537,407745661.71829444
bulk_modulus,1,3,23,506,621,0.8106652443412988,863,213,0.7293036557456487,369810715.6766804
bulk_modulus,1,4,59,1298,1593,0.7437165272757136,863,213,0.7910126512344421,369944052.43976384
bulk_modulus,1,5,15,330,405,0.7641264297450565,863,213,0.7823958664771998,390437717.26260984
bulk_modulus,2,1,31,682,837,0.7488460068081948,862,214,0.7944949000772994,406851537.4519876
bulk_modulus,2,2,19,418,513,0.8207934101431972,859,217,0.747567780504542,417745294.7378479
bulk_modulus,2,3,11,242,297,0.7661690531606286,859,217,0.7719481940716426,363689351.6328431
bulk_modulus,2,4,39,858,1053,0.7834102010336748,863,213,0.8093839050848131,379013505.6481321
bulk_modulus,2,5,40,880,1080,0.7863331866503918,861,215,0.7459046370436957,401845483.9810808
bulk_modulus,3,1,21,462,567,0.7408176849177195,861,215,0.820050438548363,372321507.22562045
bulk_modulus,3,2,25,550,675,0.791467569765731,861,215,0.8121640620625953,374161130.4679363
bulk_modulus,3,3,17,374,459,0.7954267332190328,861,215,0.7349727279189165,384856874.9049449
bulk_modulus,3,4,42,924,1134,0.816178860964522,861,215,0.7658346962793041,421297624.30036205
bulk_modulus,3,5,7,154,189,0.8102592560898179,860,216,0.6990593926706745,440385320.16751844
compressibility,1,1,59,1298,1593,0.7546219299057725,854,222,0.6396545667895782,5.816095522813214e-11
compressibility,1,2,13,286,351,0.7413558119055397,861,215,0.6756056904282084,6.115640666738823e-11
compressibility,1,3,45,990,1215,0.7467868730357641,863,213,0.674830972801988,5.0748179271283086e-11
compressibility,1,4,30,660,810,0.6767998611165064,863,213,0.6490017647428781,7.146564951185295e-11
compressibility,1,5,58,1276,1566,0.6278529577766665,863,213,0.5117364981641521,8.084311274880364e-11
compressibility,2,1,6,132,162,0.5886618968678625,862,214,0.680359162716791,6.360127485802815e-11
compressibility,2,2,119,2618,3213,0.6289609368840225,859,217,0.5574071140285516,6.207518185518933e-11
compressibility,2,3,11,242,297,0.7139509424778626,859,217,0.7314436158501824,5.1768439059834074e-11
compressibility,2,4,50,1100,1350,0.6747895968527653,863,213,0.6828375562490865,5.407512716877471e-11
compressibility,2,5,12,264,324,0.6139884622669185,861,215,0.584241160743239,8.154673332766882e-11
compressibility,3,1,8,176,216,0.5064850203882778,861,215,0.6851766005044836,6.270886930003698e-11
compressibility,3,2,31,682,837,0.6962132526237442,861,215,0.6228233783125884,6.680986536673715e-11
compressibility,3,3,68,1496,1836,0.5771333429258938,861,215,0.6523634472364789,5.474826952721846e-11
compressibility,3,4,79,1738,2133,0.7197357648547845,861,215,0.4857852307621995,8.742639079863e-11
compressibility,3,5,35,770,945,0.6126001535247636,860,216,0.6555017577828539,5.561799253838705e-11
density,1,1,24,528,648,0.9386603236709843,856,221,0.9484571938388069,0.04336913639803898
density,1,2,124,2728,3348,0.9567822886616633,862,215,0.9262137048516149,0.04783094517459157
density,1,3,61,1342,1647,0.9556622227170304,863,214,0.897886210163962,0.057789609583289124
density,1,4,198,4356,5346,0.947984158792424,864,213,0.9654445577900478,0.03383913691675664
density,1,5,44,968,1188,0.9622660146248226,863,214,0.9293301264909539,0.04521302028378055
density,2,1,61,1342,1647,0.97483348467857,863,214,0.9431685210564985,0.04457854887685342
density,2,2,55,1210,1485,0.9489000496631514,860,217,0.95857306064564,0.03936160046308589
density,2,3,120,2640,3240,0.9738848413388292,859,218,0.9238493468182298,0.04677738676969482
density,2,4,7,154,189,0.9032722055678868,864,213,0.9374821790416814,0.0437027731777476
density,2,5,88,1936,2376,0.9633980956758044,862,215,0.9623774235570637,0.03377059085831906
