task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Cp,1,1,62,1364,1674,0.9579677523003468,854,222,0.9302101798653468,189.3786301848247
Cp,1,2,104,2288,2808,0.9692886055162576,861,215,0.9276028563932122,188.18907209778428
Cp,1,3,116,2552,3132,0.9522439277598913,863,213,0.9644951710009033,131.73651514989396
Cp,1,4,47,1034,1269,0.9671357122399973,863,213,0.9419093561892005,160.03444051832824
Cp,1,5,96,2112,2592,0.9671442170671325,863,213,0.9209584924879175,189.53164699669696
Cp,2,1,165,3630,4455,0.9762046245347338,862,214,0.9599433612205863,136.78224201360047
Cp,2,2,156,3432,4212,0.9719372476042071,859,217,0.9591452312650164,151.46172329597618
Cp,2,3,110,2420,2970,0.9692790116427994,859,217,0.9326877475862488,173.6861250876248
Cp,2,4,180,3960,4860,0.9581385238013597,863,213,0.5912184227334483,414.4115276371707
Cp,2,5,155,3410,4185,0.975523461369005,861,215,0.9535118677418459,148.823447021504
Cp,3,1,191,4202,5157,0.9519462312402106,861,215,0.7511754998331487,346.16096579684165
Cp,3,2,80,1760,2160,0.9576345865307935,861,215,0.9483933363445006,159.31469119354782
Cp,3,3,116,2552,3132,0.9608565459053848,861,215,0.9659672879519767,127.18163170096261
Cp,3,4,70,1540,1890,0.9446141266994926,861,215,0.9540072310993338,143.43191139942326
Cp,3,5,77,1694,2079,0.941944275301964,860,216,0.9222944663975117,195.69161959031655
Cv,1,1,41,902,1107,0.9591800970460935,854,222,0.9324395948774534,169.187079739075
Cv,1,2,113,2486,3051,0.9770280387397832,861,215,0.9435638809364538,155.09222925664503
Cv,1,3,105,2310,2835,0.9587288382597497,863,213,0.9700662715502645,114.44183818404444
Cv,1,4,74,1628,1998,0.9756053078533823,863,213,0.9452589635854878,145.99208016558399
Cv,1,5,82,1804,2214,0.9708835125302999,863,213,0.9251118712405406,172.21668642265098
Cv,2,1,158,3476,4266,0.9781236806990048,862,214,0.970324336867201,110.23346981647731
Cv,2,2,89,1958,2403,0.9721971379933302,859,217,0.9618066326861149,136.97800700955648
Cv,2,3,165,3630,4455,0.9785076863331661,859,217,0.949767475638869,140.47531086419946
Cv,2,4,117,2574,3159,0.9616529595629334,863,213,0.578883843051613,387.2102045042478
Cv,2,5,54,1188,1458,0.979112062806643,861,215,0.934672304211227,163.6318549732035
Cv,3,1,161,3542,4347,0.9554952615008538,861,215,0.7268185924334594,339.2604221578247
Cv,3,2,174,3828,4698,0.9652566112293643,861,215,0.9476806035089151,149.97746694138556
Cv,3,3,84,1848,2268,0.9666933039336767,861,215,0.9773420061611284,96.0474252584407
Cv,3,4,32,704,864,0.944730325075216,861,215,0.9537477929050306,135.41922844575535
Cv,3,5,77,1694,2079,0.9503608011390046,860,216,0.9231601198710289,179.38989443055863
