task,repeat,fold,selected_epoch,selected_steps,refit_steps,best_validation_r2,n_outer_train,n_test,R2,RMSE
Cp,1,1,52,1144,1404,0.9543170780805071,854,222,0.9504523873381843,159.56818245537616
Cp,1,2,27,594,729,0.9631157503951945,861,215,0.9502863855747269,155.94496415227465
Cp,1,3,94,2068,2538,0.9582352301035841,863,213,0.9641629413677357,132.3514296104545
Cp,1,4,9,198,243,0.9505707140689457,863,213,0.9198409992438712,187.9907620639322
Cp,1,5,73,1606,1971,0.9597789584744508,863,213,0.9480343583685359,153.67820393613988
Cp,2,1,45,990,1215,0.9698819962593287,862,214,0.9525235790580184,148.91260186371656
Cp,2,2,78,1716,2106,0.9599735722125042,859,217,0.9548895450865307,159.15493844470518
Cp,2,3,28,616,756,0.9546943749175932,859,217,0.9343827036000288,171.48543158990816
Cp,2,4,44,968,1188,0.9438332525078414,863,213,0.8903831332880477,214.59760074139353
Cp,2,5,53,1166,1431,0.969545449277586,861,215,0.9484380148709521,156.73468846644184
Cp,3,1,22,484,594,0.9546711305150479,861,215,0.8935231642244816,226.44310012400655
Cp,3,2,24,528,648,0.9586967523314681,861,215,0.9412732407612135,169.94991523673733
Cp,3,3,21,462,567,0.967385514141916,861,215,0.9575625493443566,142.02040810534737
Cp,3,4,58,1276,1566,0.9388225338574586,861,215,0.9248223552410644,183.37721202201655
Cp,3,5,102,2244,2754,0.9458920937373594,860,216,0.9393435033473841,172.8959879457836
Cv,1,1,60,1320,1620,0.9600763030794176,854,222,0.951742674916194,142.98902154614507
Cv,1,2,58,1276,1566,0.9664150218166294,861,215,0.9611173593170897,128.73283808557883
Cv,1,3,136,2992,3672,0.9594576884717425,863,213,0.967140961912643,119.90349451138457
Cv,1,4,128,2816,3456,0.9563868463808579,863,213,0.9387890454629225,154.3786947932949
Cv,1,5,24,528,648,0.9639385567351023,863,213,0.9484025590336946,142.94955928816736
Cv,2,1,66,1452,1782,0.9721468537821526,862,214,0.9569761149812565,132.72968807773165
Cv,2,2,70,1540,1890,0.9632099194436431,859,217,0.9568805030750831,145.54380040110897
Cv,2,3,58,1276,1566,0.9692485086589233,859,217,0.9494005544919427,140.98742508707707
Cv,2,4,97,2134,2619,0.9498014400593231,863,213,0.8924103111052998,195.71817967903368
Cv,2,5,84,1848,2268,0.9730423745859031,861,215,0.9553121494732556,135.33618078669826
Cv,3,1,35,770,945,0.951830281341867,861,215,0.890031806097189,215.24901617776774
Cv,3,2,24,528,648,0.9609223145024284,861,215,0.9444671015582267,154.51470677425465
Cv,3,3,74,1628,1998,0.9721625973355882,861,215,0.9570922941774552,132.17296948479944
Cv,3,4,67,1474,1809,0.9385091428673723,861,215,0.9532428173322071,136.15646639049874
Cv,3,5,27,594,729,0.9528109578233425,860,216,0.938524866502052,160.45541392443843
Rg,1,1,57,1254,1539,0.8279577947455092,856,221,0.6582595050108544,5.375007060793215
Rg,1,2,42,924,1134,0.6324835678923703,862,215,0.7094650665016947,4.991605922697663
Rg,1,3,46,1012,1242,0.5126647434407481,863,214,0.7625247408285885,3.1577869587438894
Rg,1,4,15,330,405,0.7699606250706346,864,213,0.7679738376406323,2.6038581359341424
Rg,1,5,28,616,756,0.8888527219082291,863,214,0.6963176758604318,5.138437094559173
Rg,2,1,41,902,1107,0.6640979587102676,863,214,0.5714270968205163,5.88487197128946
Rg,2,2,109,2398,2943,0.8822054847925842,860,217,0.6923177157773315,5.859488111196065
Rg,2,3,175,3850,4725,0.9527024921118096,859,218,0.8271707657084605,2.581170675692964
Rg,2,4,75,1650,2025,0.9451829657868718,864,213,0.8461426287516037,3.123219110351817
Rg,2,5,63,1386,1701,0.8580511472548827,862,215,0.7418807205082982,3.069544375524103
Rg,3,1,41,902,1107,0.863859756302083,862,215,0.7392217231626462,4.268512239121289
Rg,3,2,24,528,648,0.7687287238887579,862,215,0.7711686357316485,3.2357418938005056
Rg,3,3,8,176,216,0.5659174730814975,861,216,0.6613123804165371,5.804597771395277
Rg,3,4,37,814,999,0.8783470995975744,861,216,0.7067870676258619,4.2216819330390685
Rg,3,5,32,704,864,0.7383020429714457,862,215,0.8378729110583164,2.980610988191111
bulk_modulus,1,1,22,484,594,0.7141434049126121,854,222,0.7151955082150234,477904157.00564873
bulk_modulus,1,2,52,1144,1404,0.6572253293363477,861,215,0.7539033041865268,445832465.98202235
bulk_modulus,1,3,44,968,1188,0.8137140726594141,863,213,0.7446724433233209,359159319.88743395
bulk_modulus,1,4,53,1166,1431,0.7157721917500568,863,213,0.7785609228331233,380805474.11983687
bulk_modulus,1,5,25,550,675,0.751436897293065,863,213,0.7112912051659581,449726212.6262031
bulk_modulus,2,1,7,154,189,0.7247241751740681,862,214,0.7562535434570855,443091904.06851673
bulk_modulus,2,2,37,814,999,0.7191203301402364,859,217,0.6778974272871494,471885106.89378893
bulk_modulus,2,3,39,858,1053,0.7756547311646267,859,217,0.749570370427771,381115562.66144276
bulk_modulus,2,4,63,1386,1701,0.7624202535555877,863,213,0.7494537819494729,434529061.4236674
bulk_modulus,2,5,19,418,513,0.7582724259119059,861,215,0.7423042660319041,404682418.450067
bulk_modulus,3,1,46,1012,1242,0.7202235733911655,861,215,0.7846363708727486,407313597.2198105
bulk_modulus,3,2,24,528,648,0.7356642654436212,861,215,0.7957929975086248,390125771.3788114
bulk_modulus,3,3,27,594,729,0.7612726570603996,861,215,0.7893179832461634,343137117.9793081
bulk_modulus,3,4,33,726,891,0.7609690695753073,861,215,0.6976002958225193,478760617.10363716
bulk_modulus,3,5,15,330,405,0.7820720747552327,860,216,0.6867624357041052,449292693.7908142
compressibility,1,1,22,484,594,0.6989730543356828,854,222,0.6296381585286985,5.896375552663437e-11
compressibility,1,2,57,1254,1539,0.6742405217787075,861,215,0.5992984267065715,6.796978090872272e-11
compressibility,1,3,25,550,675,0.7293375193815367,863,213,0.6747256396175223,5.0756398126797213e-11
compressibility,1,4,53,1166,1431,0.675914776081983,863,213,0.6533808332056853,7.101844610622913e-11
compressibility,1,5,11,242,297,0.6308139852741061,863,213,0.4702203306084368,8.420997535580218e-11
compressibility,2,1,8,176,216,0.627554279981217,862,214,0.6283628397986405,6.85794910223198e-11
compressibility,2,2,25,550,675,0.5710472166331093,859,217,0.5398080767555844,6.329731412348769e-11
compressibility,2,3,62,1364,1674,0.724084334991574,859,217,0.7287699744856183,5.202549393354411e-11
compressibility,2,4,41,902,1107,0.6878109462643008,863,213,0.6382724586149225,5.7749397819303684e-11
compressibility,2,5,6,132,162,0.5386090836705462,861,215,0.4485144822386702,9.391887435523251e-11
compressibility,3,1,8,176,216,0.4530870743810723,861,215,0.6556268822114506,6.558584061603406e-11
compressibility,3,2,74,1628,1998,0.6117648752342576,861,215,0.6094094908004555,6.798749761716814e-11
compressibility,3,3,15,330,405,0.4638148611129973,861,215,0.6412013866989743,5.562026545007889e-11
compressibility,3,4,24,528,648,0.618768704224552,861,215,0.43230082771638967,9.186062739651372e-11
compressibility,3,5,12,264,324,0.6319322425597754,860,216,0.5668581816502289,6.236441631877872e-11
density,1,1,25,550,675,0.9499244097065925,856,221,0.9601783299006429,0.038120314907329866
density,1,2,194,4268,5238,0.9547112444976781,862,215,0.9273109806079383,0.04747396612952422
density,1,3,81,1782,2187,0.9437006370597023,863,214,0.9341865018224058,0.04639434532708165
density,1,4,68,1496,1836,0.9407586777081101,864,213,0.9626761158084011,0.03516855032329639
density,1,5,46,1012,1242,0.9547230390365081,863,214,0.9516366385988966,0.03740284189118121
density,2,1,93,2046,2511,0.9747684346804519,863,214,0.9341449429230185,0.047987266671328306
density,2,2,111,2442,2997,0.9272613775972083,860,217,0.9655225408445169,0.03590863948604525
density,2,3,200,4400,5400,0.9641700484479759,859,218,0.873978869948266,0.060175654781031936
density,2,4,15,330,405,0.8976159777156498,864,213,0.9423604207938571,0.041963091963860395
density,2,5,119,2618,3213,0.9648070794808539,862,215,0.9589538408094112,0.03527367061486404
density,3,1,106,2332,2862,0.9531418842468163,862,215,0.9591579539123617,0.03548853709066603
density,3,2,78,1716,2106,0.962439044824812,862,215,0.9110935568058605,0.0574349888080641
density,3,3,91,2002,2457,0.9437852372254545,861,216,0.9570802063006926,0.03577679233922228
density,3,4,47,1034,1269,0.9391383759368813,861,216,0.9591176103641819,0.03764461269758825
density,3,5,45,990,1215,0.945793765353193,862,215,0.9493212756109463,0.038882849372457874
isentropic_bulk_modulus,1,1,31,682,837,0.721904501911253,854,222,0.7408911756719196,457400488.14360815
isentropic_bulk_modulus,1,2,52,1144,1404,0.6655812724042564,861,215,0.7382215775870135,462531943.7919951
isentropic_bulk_modulus,1,3,154,3388,4158,0.8226830913045826,863,213,0.7444645369422842,362959054.1468881
isentropic_bulk_modulus,1,4,48,1056,1296,0.7335610405350509,863,213,0.7828438597952564,382395833.25417733
isentropic_bulk_modulus,1,5,25,550,675,0.7492663176820156,863,213,0.7023984427783678,462493267.8733306
isentropic_bulk_modulus,2,1,19,418,513,0.7352008362084981,862,214,0.7876011246050791,417017859.6826661
isentropic_bulk_modulus,2,2,87,1914,2349,0.7080615372244679,859,217,0.6657957533002044,483163558.92738426
isentropic_bulk_modulus,2,3,19,418,513,0.7800548662547249,859,217,0.7599771821202804,378216430.3141071
isentropic_bulk_modulus,2,4,78,1716,2106,0.7696246747488412,863,213,0.7334552207717295,453543561.8609524
isentropic_bulk_modulus,2,5,49,1078,1323,0.7579681951368119,861,215,0.7285353210003729,417654342.048439
isentropic_bulk_modulus,3,1,21,462,567,0.7294277290283402,861,215,0.767162820740301,429648439.49268275
isentropic_bulk_modulus,3,2,24,528,648,0.7269922338968409,861,215,0.8035896824686691,383952289.1320587
isentropic_bulk_modulus,3,3,20,440,540,0.7769207698447501,861,215,0.761376077439688,367219050.8910363
isentropic_bulk_modulus,3,4,36,792,972,0.7677314135146996,861,215,0.6717943136968044,505159204.8527215
isentropic_bulk_modulus,3,5,22,484,594,0.8018174909975486,860,216,0.6773643451189755,458911325.3682581
isentropic_compressibility,1,1,22,484,594,0.7125378190442535,854,222,0.6215380575611567,5.6775395632029003e-11
isentropic_compressibility,1,2,57,1254,1539,0.6599879162351059,861,215,0.6210324457448627,6.290940262139668e-11
isentropic_compressibility,1,3,49,1078,1323,0.7506256722098736,863,213,0.6126102177830607,5.272674851137182e-11
isentropic_compressibility,1,4,41,902,1107,0.6832613563650152,863,213,0.7070110062421145,6.186185872675112e-11
isentropic_compressibility,1,5,25,550,675,0.6410353043976568,863,213,0.5380245832648157,7.606687386134206e-11
isentropic_compressibility,2,1,6,132,162,0.62534220750984,862,214,0.6129086490405713,6.670415133991799e-11
isentropic_compressibility,2,2,62,1364,1674,0.5774376911954184,859,217,0.5355135636066783,6.001913304588436e-11
isentropic_compressibility,2,3,19,418,513,0.7300221833719169,859,217,0.7736913359540757,4.529012569337225e-11
isentropic_compressibility,2,4,54,1188,1458,0.6907723435513231,863,213,0.6906587198090515,5.087445216815416e-11
isentropic_compressibility,2,5,17,374,459,0.5348816119683215,861,215,0.5682301498345808,8.002211975911893e-11
isentropic_compressibility,3,1,8,176,216,0.4535709071180334,861,215,0.682506670658957,6.0290930039661e-11
isentropic_compressibility,3,2,74,1628,1998,0.6493128807764557,861,215,0.65913789110268,6.039110038162564e-11
